BV号：BV114421Q7dw
标题：BV114421Q7dw
链接：https://www.bilibili.com/video/BV114421Q7dw
识别语言：zh
语言置信度：1
分段数：80
生成时间：2026-04-03 09:13:14

[00:00:00 - 00:00:01] 不知道大家有沒有感覺
[00:00:01 - 00:00:03] 這幾年中外合作半學
[00:00:03 - 00:00:04] 那是越來越火了
[00:00:04 - 00:00:06] 咱們好些同學和家長也都很關注
[00:00:06 - 00:00:08] 問我這種學校到底能不能選
[00:00:08 - 00:00:10] 其實之前我就回答過這個問題
[00:00:10 - 00:00:12] 而且明明白白的說了可以選
[00:00:12 - 00:00:14] 但是你要會選
[00:00:14 - 00:00:15] 就好比咱們今天要講的
[00:00:15 - 00:00:18] 深圳大學深圳南特金融科技學院
[00:00:18 - 00:00:21] 就是一個合作方檔次高實力強
[00:00:21 - 00:00:23] 各方面條件都很不錯的好選擇
[00:00:23 - 00:00:24] 深大南特
[00:00:24 - 00:00:26] 它是由深圳大學和法國南特
[00:00:26 - 00:00:28] 高等商學院合作舉辦的
[00:00:28 - 00:00:29] 雖說22年才設立
[00:00:29 - 00:00:31] 但實力可一點都不含糊
[00:00:31 - 00:00:36] 畢竟這是咱們國家第一個金融科技中外合作半學機構
[00:00:36 - 00:00:38] 那在這方面的經驗肯定是最多的
[00:00:38 - 00:00:40] 深大呢大家都知道
[00:00:40 - 00:00:42] 要錢有錢要實力有實力
[00:00:42 - 00:00:43] 這新年的發展相當快
[00:00:43 - 00:00:49] 法國南特高等商學院是世界一流歐洲頂級的高等商學院
[00:00:49 - 00:00:51] 各方面半學實力也都沒話說
[00:00:51 - 00:00:53] 絕對算的上是強強聯合了
[00:00:53 - 00:00:55] 當然了講到中外合作半學
[00:00:55 - 00:00:58] 很多同學都很關心畢業證、學位證到底怎麼拿
[00:00:58 - 00:01:01] 只要你能拿到毕业和学位的授与条件
[00:01:01 - 00:01:03] 就能够一次拿三个证
[00:01:03 - 00:01:04] 深大毕业证学位证
[00:01:04 - 00:01:06] 还有法国南特的学位证
[00:01:06 - 00:01:08] 这中法双学位有多香
[00:01:08 - 00:01:10] 不用我多说了吧
[00:01:10 - 00:01:11] 拿证戒一块大家都清楚了
[00:01:11 - 00:01:12] 那接下来呢
[00:01:12 - 00:01:14] 咱们再看一看深大南特的人才培养
[00:01:14 - 00:01:16] 名字叫做金融科技学院
[00:01:16 - 00:01:18] 那啥最厉害不难猜吧
[00:01:18 - 00:01:18] 对
[00:01:18 - 00:01:20] 那就是金融科技了
[00:01:20 - 00:01:21] 现在不论是国内还是国际
[00:01:21 - 00:01:23] 都推了很多政策
[00:01:23 - 00:01:25] 支持数字经济和金融科技的发展
[00:01:25 - 00:01:26] 金融机构呢
[00:01:26 - 00:01:28] 肯定也要往这方面转型
[00:01:28 - 00:01:31] 目前光人才缺口就达到了上百万
[00:01:31 - 00:01:35] 而且据说在最新的全球金融中心指数报告当中
[00:01:35 - 00:01:40] 深圳的金融科技中心排名已经排在了全球第四国内第一
[00:01:40 - 00:01:42] 有这样一个底子在金融科技这一块
[00:01:42 - 00:01:44] 深圳南特尼已经先任一步了
[00:01:44 - 00:01:45] 现在呢
[00:01:45 - 00:01:48] 它金融科技大数据管理应用
[00:01:48 - 00:01:51] 区分链信息管理与信息系统这三个本科专业
[00:01:51 - 00:01:53] 分别对应了金融科技产业前
[00:01:53 - 00:01:56] 中后每一段的人才培养
[00:01:56 - 00:01:59] 产品、数据、信息系统都覆盖了
[00:01:59 - 00:02:01] 另外在实资这一块
[00:02:01 - 00:02:03] 除了国内学术大佬
[00:02:03 - 00:02:06] 还有法方的精英教室组织的国际化实资队伍
[00:02:06 - 00:02:08] 给咱们同学上课附导
[00:02:08 - 00:02:13] 而且它还和微中银行、平安银行签订了专属的实习计划
[00:02:13 - 00:02:15] 还建设了实践基地
[00:02:15 - 00:02:17] 可以说从学习一到实践再到就业
[00:02:17 - 00:02:20] 都有很好的平台和资源提供给大家
[00:02:20 - 00:02:22] 虽说学院是全英文授课
[00:02:22 - 00:02:26] 但一入学就应于水平分析考试
[00:02:26 - 00:02:28] 不同等级有不同的课程
[00:02:28 - 00:02:30] 能够照顾到各种水平的同学
[00:02:30 - 00:02:32] 而且像什么暑期下令
[00:02:32 - 00:02:33] 学期交换项目
[00:02:33 - 00:02:35] 全球学习计划
[00:02:35 - 00:02:37] 这种国际交流的路子也很多
[00:02:37 - 00:02:40] 课程学分中外户人不说
[00:02:40 - 00:02:42] 还能享受到国际名校资源
[00:02:42 - 00:02:45] 今年正好是中法建交60年
[00:02:45 - 00:02:47] 两国的合作遍布各国领域
[00:02:47 - 00:02:50] 那么金融方面的合作也肯定少不了
[00:02:50 - 00:02:52] 那學青榮科技就很有前景
[00:02:52 - 00:02:54] 如果說你想搭上這波紅利
[00:02:54 - 00:02:56] 選深大南特就對了
