BV号：BV1sMZNBvEtH
标题：BV1sMZNBvEtH
链接：https://www.bilibili.com/video/BV1sMZNBvEtH
识别语言：zh
语言置信度：1
分段数：75
生成时间：2026-04-03 00:14:39

[00:00:00 - 00:00:01] 各位同学 我跟你说
[00:00:01 - 00:00:02] 你高三还剩半年的时间
[00:00:02 - 00:00:04] 我希望你能够怎么样呢
[00:00:04 - 00:00:05] 来 送你一个单词
[00:00:05 - 00:00:07] 这个单词叫做Enjoy
[00:00:07 - 00:00:10] 我希望你能够Enjoy这个过程
[00:00:10 - 00:00:12] 享受这个过程
[00:00:12 - 00:00:13] 什么叫享受这个过程呢
[00:00:13 - 00:00:17] 孩子 你不要把成绩作为一个物标
[00:00:17 - 00:00:19] 成绩只是你升级打怪
[00:00:19 - 00:00:21] 回来games的一个结果
[00:00:21 - 00:00:22] 它是一个玩游戏的结果
[00:00:22 - 00:00:24] 什么叫玩游戏呢
[00:00:24 - 00:00:25] 你高三你在玩一个游戏
[00:00:25 - 00:00:26] 这个游戏叫什么呢
[00:00:26 - 00:00:28] 这个游戏叫升级打怪
[00:00:28 - 00:00:30] 你高三你在学什么
[00:00:30 - 00:00:30] 各位家长
[00:00:30 - 00:00:31] 各位同学
[00:00:31 - 00:00:32] 你在学的不是数学
[00:00:32 - 00:00:33] 你在学的不是语文
[00:00:33 - 00:00:34] 你在学的不是物理
[00:00:34 - 00:00:35] 你在学的不是化学
[00:00:35 - 00:00:36] 你在学的是什么
[00:00:36 - 00:00:39] 你在学的是学习的方法
[00:00:39 - 00:00:40] 模拟考试的作用是什么
[00:00:40 - 00:00:43] 孩子模拟考试的作用不是给你压力
[00:00:43 - 00:00:44] 模拟考试的作用是告诉你
[00:00:44 - 00:00:47] 你在整个高中阶段学习共产当中
[00:00:47 - 00:00:49] 哪是有问题的
[00:00:49 - 00:00:50] 我们要发现问题
[00:00:50 - 00:00:51] 分析问题
[00:00:51 - 00:00:52] 解决问题
[00:00:52 - 00:00:54] 验证结果
[00:00:54 - 00:00:55] 你每次模拟考试完以后的话
[00:00:55 - 00:00:56] 你做个副盘
[00:00:56 - 00:00:58] 你看看你能有问题
[00:00:58 - 00:01:00] 我这个知识点有问题
[00:01:00 - 00:01:00] 好了
[00:01:00 - 00:01:02] 去解决它
[00:01:02 - 00:01:03] 然后下次模型考试读的时候
[00:01:03 - 00:01:05] 看有没有解决完
[00:01:05 - 00:01:06] 你发现问题
[00:01:06 - 00:01:07] 分析问题
[00:01:07 - 00:01:08] 解决问题
[00:01:08 - 00:01:09] 看看它有没有变化
[00:01:09 - 00:01:10] 有变化
[00:01:10 - 00:01:11] 哎
[00:01:11 - 00:01:13] 你看我们就打怪成功
[00:01:13 - 00:01:14] 就是这样
[00:01:14 - 00:01:15] 等你打怪成功以后
[00:01:15 - 00:01:16] 你会慢慢发现你的成绩
[00:01:16 - 00:01:17] 它就提高了
[00:01:17 - 00:01:19] 所以说我给我女儿也这样行
[00:01:19 - 00:01:20] 我说姑娘
[00:01:20 - 00:01:22] 你每次考多少分
[00:01:22 - 00:01:23] 这个不重要
[00:01:23 - 00:01:24] 爸爸不在了
[00:01:24 - 00:01:26] 因为成绩是你学习的结果
[00:01:26 - 00:01:28] 你每次考完试以后
[00:01:28 - 00:01:29] 你发现你哪有问题
[00:01:29 - 00:01:32] 并且能够针对性的解决这个问题
[00:01:32 - 00:01:33] 下次考试这个问题不出现了以后
[00:01:33 - 00:01:35] 你的成绩自然而然就高了
[00:01:35 - 00:01:38] 所以说我希望各位高三的同学
[00:01:38 - 00:01:41] 能够 enjoy 盛弦这一百多天
[00:01:41 - 00:01:42] 升级大怪
[00:01:42 - 00:01:44] 多考一分遇到最好的自己
[00:01:44 - 00:01:46] 少考一分遇到正确的人物
[00:01:46 - 00:01:48] 在将来的学习和工作当中
[00:01:48 - 00:01:50] 你要保持持续学习
[00:01:50 - 00:01:52] 要保持你的思维高度
[00:01:52 - 00:01:53] 你将来就会不错
[00:01:53 - 00:01:54] 没有必要因为高考这个事
[00:01:54 - 00:01:56] 而过于紧张过于焦虑
