BV号：BV1cK4y1R7vy
标题：BV1cK4y1R7vy
链接：https://www.bilibili.com/video/BV1cK4y1R7vy
识别语言：zh
语言置信度：1
分段数：27
生成时间：2026-04-04 00:03:06

[00:00:00 - 00:00:01] 我跟你说中国的大学有的改名啊
[00:00:01 - 00:00:02] 改的啊
[00:00:02 - 00:00:03] 乱七八糟啊
[00:00:03 - 00:00:05] 中国改名次数最多的学校
[00:00:05 - 00:00:07] 就在我们唐山
[00:00:07 - 00:00:08] 刚学校叫什么
[00:00:08 - 00:00:10] 华北理工和华北理工不够大体
[00:00:10 - 00:00:11] 华北理工
[00:00:11 - 00:00:14] 哇 这一改名这分上涨不好啊
[00:00:14 - 00:00:15] 这跟谁学的知道吗
[00:00:15 - 00:00:16] 西南一科大
[00:00:16 - 00:00:17] 这个学校的原来名字叫
[00:00:17 - 00:00:19] 卢州医学院
[00:00:19 - 00:00:20] 当年有个小孩说的是一个孩子
[00:00:20 - 00:00:21] 当年高好
[00:00:21 - 00:00:22] 考的分不高
[00:00:22 - 00:00:23] 爆了卢州医学院
[00:00:23 - 00:00:24] 觉得学校一般
[00:00:24 - 00:00:25] 回家复读
[00:00:25 - 00:00:27] 第二年多考了50分
[00:00:27 - 00:00:27] 爆了个学校
[00:00:27 - 00:00:28] 西南一科大
[00:00:30 - 00:00:32] 还是他
[00:00:32 - 00:00:35] 所以说你会发现你叫河北理工大没人报
[00:00:35 - 00:00:36] 华北理工大
[00:00:36 - 00:00:37] 哇 这就不一样了
[00:00:37 - 00:00:40] 以为在北京玩要看不出汤山
