BV号：BV1jK411J7uW
标题：BV1jK411J7uW
链接：https://www.bilibili.com/video/BV1jK411J7uW
识别语言：zh
语言置信度：1
分段数：239
生成时间：2026-04-04 01:45:33

[00:00:00 - 00:00:03] 这是一个教你怎么在高考的志愿填冒当中
[00:00:03 - 00:00:05] 如何选学校 如何选专业
[00:00:05 - 00:00:08] 如何报志愿不后悔的付费专栏
[00:00:11 - 00:00:13] 而值得关注和注意的是什么呢
[00:00:13 - 00:00:17] 烟草行业也是属于食品行业的一部分
[00:00:17 - 00:00:20] 在这里边我再次强调一下这个行业
[00:00:20 - 00:00:21] 烟草行业
[00:00:21 - 00:00:22] 就是大家如果你们有兴趣的话
[00:00:22 - 00:00:24] 你可以再往上去搜一下
[00:00:24 - 00:00:26] 原来我也让大家搜过
[00:00:26 - 00:00:27] 你再去往上搜一下
[00:00:27 - 00:00:30] 就是中国烟草一年的利润和纳税
[00:00:30 - 00:00:31] 你去搜一下
[00:00:31 - 00:00:33] 你就知道燕草这个行业
[00:00:33 - 00:00:33] 它的
[00:00:34 - 00:00:36] 我给你推荐的点在哪里了
[00:00:36 - 00:00:38] 它可能是整个所有国有企业当中
[00:00:39 - 00:00:41] 可能是待遇最好的一个行业
[00:00:41 - 00:00:42] 也相对比较神秘一些
[00:00:42 - 00:00:43] 对不对
[00:00:43 - 00:00:44] 那么像这个行业
[00:00:44 - 00:00:45] 大家注意
[00:00:45 - 00:00:47] 它是属于食品行业的一部分
[00:00:47 - 00:00:49] 那么中国燕草系统里边
[00:00:49 - 00:00:52] 唯一一个具备招研究生资格的
[00:00:52 - 00:00:53] 一个科研单位
[00:00:53 - 00:00:55] 叫做郑州燕草研究院
[00:00:55 - 00:00:58] 郑州燕草研究院招收研究生
[00:00:58 - 00:01:00] 只招收一个专业
[00:01:00 - 00:01:01] 这个专业叫
[00:01:01 - 00:01:03] 食品科学与工程
[00:01:03 - 00:01:05] 然后烟草方向
[00:01:05 - 00:01:07] 食品科学工程烟草方向
[00:01:07 - 00:01:09] 在这里边再带大家回忆一下
[00:01:09 - 00:01:11] 郑州烟草研究院
[00:01:11 - 00:01:11] 我们原来讲过
[00:01:11 - 00:01:13] 烟草众职是在哪个需求
[00:01:13 - 00:01:14] 最好来着
[00:01:14 - 00:01:16] 是在河南农业大学
[00:01:16 - 00:01:18] 是在河南农业大学
[00:01:18 - 00:01:20] 所以说河南省份
[00:01:20 - 00:01:23] 跟烟草还是很有缘分的
[00:01:23 - 00:01:23] 还是很有缘分的
[00:01:23 - 00:01:25] 所以说整个食品科学与工程
[00:01:25 - 00:01:27] 带了大家来了解一下
[00:01:27 - 00:01:29] 那老师我学了食品以后的话
