BV号：BV1SJ41187ds
标题：BV1SJ41187ds
链接：https://www.bilibili.com/video/BV1SJ41187ds
识别语言：zh
语言置信度：1
分段数：338
生成时间：2026-04-04 03:58:08

[00:00:02 - 00:00:05] 小学国内有一些小学要出中和高中
[00:00:05 - 00:00:08] 跟这些女老师签订合同的时候
[00:00:08 - 00:00:10] 会有一个规定
[00:00:10 - 00:00:13] 说不准这些女老师在几年之内怀孕
[00:00:13 - 00:00:15] 或者不是要分批怀孕
[00:00:15 - 00:00:17] 这个是一定会被告的
[00:00:17 - 00:00:19] 是这个东西跟你是男是女没什么关系
[00:00:19 - 00:00:21] 你比如说让我照顾孩子
[00:00:21 - 00:00:23] 你让我生孩子我都可以
[00:00:23 - 00:00:25] 加油加油
[00:00:25 - 00:00:25] 我觉得这有
[00:00:26 - 00:00:35] 大家好
[00:00:35 - 00:00:37] 欢迎收看小型独逼脱口秀大开眼界
[00:00:37 - 00:00:39] 我是让学习变得更快乐的张雪峰老师
[00:00:39 - 00:00:42] 关注大开眼界了解不同职业背后的故事
[00:00:42 - 00:00:45] 为你的专业选择提供更多的帮助
[00:00:45 - 00:00:47] 我们本期请到的嘉宾是我们
[00:00:47 - 00:00:49] 规则HR在北京的创刊人
[00:00:49 - 00:00:51] 我们的张连老师张老师给大家打个招呼
[00:00:51 - 00:00:52] 好 大家好
[00:00:52 - 00:00:55] 张老师 我不知道最近你有没有看一些
[00:00:55 - 00:00:57] 网上的一些话题
[00:00:57 - 00:00:59] 包括微博若苏经常有这样的一个议题
[00:00:59 - 00:01:02] 就是说咱们国内有一些小学
[00:01:02 - 00:01:06] 初中 高中跟这些女老师签订合同的时候
[00:01:06 - 00:01:07] 会有一个规定
[00:01:07 - 00:01:11] 說不准這些女老師在幾年之內懷孕
[00:01:11 - 00:01:13] 或者說是要分批懷孕
[00:01:13 - 00:01:15] 我想問一下
[00:01:15 - 00:01:17] 您所共職的國外的公司
[00:01:17 - 00:01:18] 有沒有過這樣的說
[00:01:18 - 00:01:21] 對於女性員工什麼時候懷孕
[00:01:21 - 00:01:23] 都有過這樣的嚴格規定的
[00:01:23 - 00:01:24] 有沒有過這樣的
[00:01:24 - 00:01:25] 肯定沒有
[00:01:25 - 00:01:26] 因為這個是一定會被告的
[00:01:26 - 00:01:27] 是啊
[00:01:27 - 00:01:28] 對
[00:01:28 - 00:01:29] 這會被告的
[00:01:29 - 00:01:30] 一定會被告的
[00:01:30 - 00:01:32] 當然我們國內可能現在還沒有這樣的一切
[00:01:32 - 00:01:35] 其實我們國內也有這種反對歧視法
[00:01:35 - 00:01:38] 您去找法律是名文規定的
[00:01:38 - 00:01:45] 不能因為年齡、性別、婚否等等等等這些個人情況來歧視員工
[00:01:45 - 00:01:47] 或者對員工差別對待
[00:01:47 - 00:01:50] 甚至在簽合作的時候把這碗都簽進去是不是
[00:01:50 - 00:01:52] 對 但是這個事就提起來我就很氣
[00:01:52 - 00:01:55] 但是因為很多這個東西是執行不下來的
[00:01:55 - 00:01:56] 你到網站上去搜一下
[00:01:56 - 00:01:59] 比如說招聘網站這種職位描述
[00:01:59 - 00:02:02] 還經常會遇到說身高1.68以上
[00:02:02 - 00:02:06] 然后笼帽交好 生命甜美等等等等的这些
[00:02:06 - 00:02:08] 这都算歧视对吗
[00:02:08 - 00:02:10] 都算是歧视啊对啊
[00:02:10 - 00:02:13] 就这个跟工作其实很多时候是没有关系的
[00:02:13 - 00:02:15] 我之前做一个求职节目
[00:02:15 - 00:02:16] 可能你说的就求职节目
[00:02:16 - 00:02:18] 中年我记得有一个女老板啊
[00:02:18 - 00:02:20] 然后上去以后就
[00:02:20 - 00:02:22] 肯定被吐槽的很惨是吧
[00:02:22 - 00:02:25] 对我猜一下
[00:02:25 - 00:02:27] 肯定有问她说怎么平衡事业和家庭
[00:02:27 - 00:02:28] 对确实是
[00:02:28 - 00:02:31] 就是为什么有的时候今儿是女生被问这种问题呢
[00:02:31 - 00:02:33] 对呀 我也奇怪呀
[00:02:33 - 00:02:35] 我觉得您这个问题问得特别好
[00:02:35 - 00:02:37] 就是我们在国外也是一样
[00:02:37 - 00:02:39] 就是说女的高管一上台
[00:02:39 - 00:02:41] 一定会被问到这个问题
[00:02:41 - 00:02:43] 所以大家就是我觉得约定俗成的
[00:02:43 - 00:02:46] 觉得这是这个女性的责任
[00:02:46 - 00:02:49] 对呀 这个其实可能很大程度上是现实
[00:02:49 - 00:02:52] 包括我自己也是两个小孩的母亲
[00:02:52 - 00:02:54] 但是我觉得像我刚才讲的
[00:02:54 - 00:02:56] 你就是要给她一个平等的平台 对吧
[00:02:56 - 00:02:58] 如果有一天说男性高管上台
[00:02:58 - 00:02:59] 也被问到说
[00:02:59 - 00:03:01] 您怎么样平衡是一个家庭
[00:03:01 - 00:03:04] 你怎麼樣去照顧自己的妻子孩子等等
[00:03:04 - 00:03:06] 我覺得這才是一個比較良好的環境
[00:03:06 - 00:03:09] 我記得後來好像是新西蘭的一個
[00:03:09 - 00:03:10] 一個議長啊還是一個副總理啊
[00:03:10 - 00:03:12] 在開這個會議的時候
[00:03:12 - 00:03:14] 然後一邊點開會議
[00:03:14 - 00:03:16] 但是我孩子
[00:03:16 - 00:03:18] 是一個男的一個副總理
