BV号：BV1QXBiYoEa4
标题：BV1QXBiYoEa4
链接：https://www.bilibili.com/video/BV1QXBiYoEa4
识别语言：zh
语言置信度：1
分段数：67
生成时间：2026-04-03 07:32:11

[00:00:00 - 00:00:01] 来 我给大家讲个故事吧
[00:00:01 - 00:00:03] 讲个中国哲学当中的一个故事
[00:00:03 - 00:00:05] 就是我们直播间家长曾经问过的
[00:00:05 - 00:00:07] 我觉得这个故事非常适用于你这个情况
[00:00:07 - 00:00:09] 我们说你当鸡头好还是当凤围好
[00:00:09 - 00:00:11] 有的时候当鸡头好
[00:00:11 - 00:00:12] 有的时候当凤围好
[00:00:12 - 00:00:14] 我们叫将该当鸡头当鸡头
[00:00:14 - 00:00:15] 该当凤围当凤围
[00:00:15 - 00:00:17] 那么我们讲一个当鸡头好的案例
[00:00:17 - 00:00:18] 就是你这种情况
[00:00:18 - 00:00:19] 每一个学校 每一个高中
[00:00:19 - 00:00:21] 都会把这个高中学习比较好的孩子
[00:00:21 - 00:00:22] 给他聚集到一个班
[00:00:22 - 00:00:25] 叫什么青北班 火箭班
[00:00:25 - 00:00:26] 什么什么什么什么
[00:00:26 - 00:00:28] 强基班 滥地巴巴哥的各种各样的班
[00:00:28 - 00:00:29] 我们当年上高中的时候
[00:00:29 - 00:00:31] 我们那个班叫天才班
[00:00:31 - 00:00:32] 也不知道大家想起个这边
[00:00:32 - 00:00:33] 叫天才班
[00:00:33 - 00:00:34] 如果说你是这个班里边
[00:00:34 - 00:00:35] 照数第一
[00:00:35 - 00:00:36] 大家你会发现
[00:00:36 - 00:00:37] 如果你上过高中的话
[00:00:37 - 00:00:38] 你会发现
[00:00:38 - 00:00:39] 我们高中阶段
[00:00:39 - 00:00:40] 老师在讲课的时候
[00:00:40 - 00:00:42] 其实他一个班的数学也好
[00:00:42 - 00:00:42] 物理也好
[00:00:42 - 00:00:43] 他只给这个班的
[00:00:43 - 00:00:45] 七十五名同学在讲课
[00:00:45 - 00:00:46] 大家有没有这种感受
[00:00:46 - 00:00:47] 有的话可以可能有
[00:00:47 - 00:00:49] 因为你的孩子在这个班机当中
[00:00:49 - 00:00:51] 他不是上游的那一段
[00:00:51 - 00:00:52] 所以说这个班
[00:00:52 - 00:00:53] 他制定复习计划也好
[00:00:53 - 00:00:55] 老师在讲课的时候也好
[00:00:55 - 00:00:57] 他就不是针对我们的孩子去讲课
[00:00:57 - 00:00:59] 他是针对上面的那帮孩子取讲课的
[00:00:59 - 00:01:01] 比如说在课团经常发生的一个现象
[00:01:01 - 00:01:02] 一次考试
[00:01:02 - 00:01:03] 考试以后老师讲题
[00:01:03 - 00:01:05] 前面五道题大家做的都很好
[00:01:05 - 00:01:06] 我们就不讲了
[00:01:06 - 00:01:08] 你的孩子第五题是不会的
[00:01:08 - 00:01:10] 你的孩子在这边讲啊
[00:01:10 - 00:01:10] 对吧
[00:01:10 - 00:01:12] 再加上像你这样的一个孩子
[00:01:12 - 00:01:14] 他性格相对比较内向
[00:01:14 - 00:01:15] 可能也不是很大
[00:01:15 - 00:01:16] 然后的话平时呢
[00:01:16 - 00:01:17] 跟同学交流跟老师交流
[00:01:17 - 00:01:19] 那可能也不是特别的积极
[00:01:19 - 00:01:20] 就导致这个不会的题
[00:01:20 - 00:01:21] 老师不讲他就过去了
[00:01:21 - 00:01:23] 然后的话慢慢慢慢给自己
[00:01:23 - 00:01:24] 意味来挖了一个很大的坑
[00:01:24 - 00:01:26] 所以说有的时候你们会发现
[00:01:26 - 00:01:27] 当机头会比较好一些
[00:01:27 - 00:01:29] 就比如说你在分班的时候
[00:01:29 - 00:01:30] 你在一个班机里边垫垫
[00:01:30 - 00:01:32] 你不要去所谓的
[00:01:32 - 00:01:33] 冻着那个最牛的那个班
[00:01:33 - 00:01:35] 然后去选择那个东西
[00:01:35 - 00:01:36] 我个人觉得是没有意义的
