BV号：BV1Jq4y1P7sR
标题：BV1Jq4y1P7sR
链接：https://www.bilibili.com/video/BV1Jq4y1P7sR
识别语言：zh
语言置信度：1
分段数：62
生成时间：2026-04-03 22:20:52

[00:00:00 - 00:00:02] 大家好 我是上学习变得更快来的张雪峰老师
[00:00:02 - 00:00:06] 有很多朋友就很疑惑说985、R1O、双一流
[00:00:06 - 00:00:08] 这些称呼到底是个什么意思
[00:00:08 - 00:00:10] 它又是根据什么来划分的
[00:00:10 - 00:00:13] 那么双一流在考功课留学当中有什么优势
[00:00:13 - 00:00:14] 我们今天的就来聊一聊
[00:00:14 - 00:00:16] 首先 985和R1O这两个词
[00:00:16 - 00:00:18] 相信大家都已经耳熟能详了
[00:00:18 - 00:00:21] 那么985其实是时任国家主席江南边同志
[00:00:21 - 00:00:25] 在98年5月4号北京大学孝庆
[00:00:25 - 00:00:27] 一百周年孝庆会的时候
[00:00:27 - 00:00:32] 提出我国要在国内建设一批世界一流知名高校的计划
[00:00:32 - 00:00:34] 叫做985计划
[00:00:34 - 00:00:36] 因为它是在98年5月份提出的
[00:00:36 - 00:00:38] 所以叫做985
[00:00:38 - 00:00:40] 那985共产的建设分为两期
[00:00:40 - 00:00:41] 一共是39所高校
[00:00:41 - 00:00:43] 那么首批985呢
[00:00:43 - 00:00:44] 又被称为叫二加七
[00:00:44 - 00:00:46] 就是清华一个北大一个
[00:00:46 - 00:00:48] 那么其余的七所院校呢
[00:00:48 - 00:00:50] 包括像中国科学纪录大学
[00:00:50 - 00:00:51] 南京大学负担大学
[00:00:51 - 00:00:52] 上海交通大学
[00:00:52 - 00:00:53] 西安交通大学
[00:00:53 - 00:00:56] 浙江大学和哈尔滨工业大学
[00:00:56 - 00:00:58] 那么03年这九所高校的校长
[00:00:58 - 00:01:02] 召开了首届的一流大学建设系列研讨会
[00:01:02 - 00:01:05] 在会议上就成立了九校联盟
[00:01:05 - 00:01:09] 这就是我们传说当中的那些C9联盟
[00:01:09 - 00:01:13] 那这个R-21共同大学则是面向二十一世纪
[00:01:13 - 00:01:16] 我们重点建设一百所左右的高等院校
[00:01:16 - 00:01:18] 和一批重点学科的建设工程
[00:01:18 - 00:01:20] 于1995年11月份
[00:01:20 - 00:01:23] 经过国务院批软后正式启动
[00:01:23 - 00:01:26] 是新中国成立以来由国家立项在高等教育领域
[00:01:26 - 00:01:28] 进行的重点建筑工作
[00:01:28 - 00:01:32] 是中国政府实施科教新国战略的重大举措
[00:01:32 - 00:01:33] 所以大家注意
[00:01:33 - 00:01:35] 985一定是R1
[00:01:35 - 00:01:38] 但是R1它不一定是985
[00:01:38 - 00:01:40] 那双一流这个说法
[00:01:40 - 00:01:43] 是由国务院在2015年10月24日印发
[00:01:43 - 00:01:50] 统筹推进世界一流大学和一流学科的建设总体方案当中来提出的
[00:01:50 - 00:01:54] 那么方案中就要求坚持以一流为目标
[00:01:54 - 00:01:55] 以学科为基础
[00:01:55 - 00:01:57] 以技巧为杠杆
[00:01:57 - 00:01:59] 以改革为动力的击北原则
[00:01:59 - 00:02:03] 加快建成一批世界一流大学和一流学科
[00:02:03 - 00:02:04] 简单来说
[00:02:04 - 00:02:06] 双一流顾名思义就是
[00:02:06 - 00:02:09] 它就有两个一流高层的
[00:02:09 - 00:02:11] 其中一流大学是着重学校
[00:02:11 - 00:02:13] 整体重点建设
[00:02:13 - 00:02:15] 那么一流学科那则是建设
[00:02:15 - 00:02:19] 高校重在优势学科这方面的建设
[00:02:19 - 00:02:20] 那么在我们毕业以后
[00:02:20 - 00:02:22] 考公务员和留学当中
[00:02:22 - 00:02:23] 包括考研当中
[00:02:23 - 00:02:26] 那么双一流高学的同学有了怎样的优势呢
[00:02:26 - 00:02:28] 记得点赞加关注
[00:02:28 - 00:02:30] 我们下集接着聊
