BV号：BV1eW411h78v
标题：BV1eW411h78v
链接：https://www.bilibili.com/video/BV1eW411h78v
识别语言：zh
语言置信度：1
分段数：82
生成时间：2026-04-04 12:12:52

[00:00:00 - 00:00:02] 我是张雪峰老师
[00:00:02 - 00:00:04] 你还说干嘛来了
[00:00:04 - 00:00:05] 靠眼
[00:00:05 - 00:00:07] 可不能让你好
[00:00:07 - 00:00:08] 放学别走
[00:00:08 - 00:00:09] 为什么呀
[00:00:09 - 00:00:11] 是因为老师的人群中多看了你呀
[00:00:11 - 00:00:17] 快灭了
[00:00:17 - 00:00:19] 为什么我还没有女朋友
[00:00:19 - 00:00:22] 该
[00:00:22 - 00:00:25] 你就没有想过为什么吗
[00:00:25 - 00:00:27] 女男的就没有想过为什么吗
[00:00:27 - 00:00:28] 这位同学
[00:00:28 - 00:00:30] 难得是因为你自己长得丑
[00:00:30 - 00:00:32] 还是因为你没有甜
[00:00:32 - 00:00:33] 还是因为你
[00:00:33 - 00:00:36] 没有让人喜欢的亮点呢
[00:00:36 - 00:00:38] 我估计可能就是总归就是
[00:00:38 - 00:00:40] 你什么有什么让人喜欢的亮点
[00:00:40 - 00:00:42] 又没有钱又长得丑
[00:00:42 - 00:00:42] 怎么办
[00:00:42 - 00:00:45] 赶紧把亮点找出来
[00:00:45 - 00:00:46] 如果说老师
[00:00:46 - 00:00:47] 我觉得我挺有亮点的呀
[00:00:47 - 00:00:48] 那怎么还没有人喜欢我呢
[00:00:48 - 00:00:49] 那你就不要着急了
[00:00:49 - 00:00:51] 你的女朋友在上幼儿园喽
[00:00:51 - 00:00:52] 对不对
[00:00:52 - 00:00:53] 你看张老师的老婆
[00:00:53 - 00:00:54] 我老婆就比我小七岁
[00:00:54 - 00:00:55] 我上大学的时候
[00:00:55 - 00:00:56] 她就在上小学
[00:00:56 - 00:00:57] 是吧
[00:00:57 - 00:00:58] 这个就不一定喽
[00:00:58 - 00:00:58] 对吧
[00:00:58 - 00:00:59] 然后最牛X的
[00:00:59 - 00:01:00] 你看某某的
[00:01:00 - 00:01:01] 什么什么
[00:01:01 - 00:01:03] 叉叉冬和叉叉
[00:01:03 - 00:01:04] 你妹是吧
[00:01:04 - 00:01:05] 你看这个
[00:01:05 - 00:01:06] 就你懂的
[00:01:07 - 00:01:07] 张老师
[00:01:07 - 00:01:10] 怎么样衡量一个人的成功与失败
[00:01:11 - 00:01:14] 失败和成功的标准是如何衡量的
[00:01:14 - 00:01:17] 这个时候张老师就要告诉你一个名言了
[00:01:17 - 00:01:19] 这个名言不是什么名人说的
[00:01:20 - 00:01:21] 就是名人说的
[00:01:21 - 00:01:23] 这个名人叫做张雪锋老师
[00:01:23 - 00:01:23] 记住了
[00:01:24 - 00:01:26] 一个人成功与否怎么合定
[00:01:26 - 00:01:29] 我告诉你三句话记住了
[00:01:30 - 00:01:31] 一个人怎么叫成功
[00:01:31 - 00:01:33] 你在你二十五岁的时候
[00:01:33 - 00:01:35] 让你的父母认识到他们有个好孩子
[00:01:35 - 00:01:36] 在三十五岁的时候
[00:01:36 - 00:01:39] 让你的配偶认识到他们有一个好配偶
[00:01:39 - 00:01:40] 在四十五岁的时候
[00:01:40 - 00:01:42] 让你的孩子认识到他有个好爹好妈
[00:01:42 - 00:01:45] 这才叫一个成功的人
[00:01:45 - 00:01:46] 对于一个男人来讲就是
[00:01:46 - 00:01:48] 二十五岁让父母认识到个好儿子
[00:01:48 - 00:01:49] 三十五岁老婆认识到个好老公
[00:01:49 - 00:01:52] 四十五岁儿子认识到个好爹
[00:01:52 - 00:01:54] 哥就是以这个为分动目标的
[00:01:54 - 00:01:55] 当你二十五岁的时候
[00:01:55 - 00:01:57] 你能不能找到工作养活自己
[00:01:57 - 00:02:01] 比如要让你辛苦的父母继续为你去辛苦
[00:02:01 - 00:02:02] 在三十五岁的时候
[00:02:02 - 00:02:04] 你可能已经结婚成家
[00:02:04 - 00:02:06] 你的另外一半对你是否满意
[00:02:06 - 00:02:08] 你们这个家庭是否和和谐的
[00:02:08 - 00:02:09] 在四岁的时候
[00:02:09 - 00:02:11] 你的孩子需要很多去支持
[00:02:11 - 00:02:13] 比如说他要去上各种辅导班
[00:02:13 - 00:02:15] 比如说他有自己的梦想
[00:02:15 - 00:02:16] 比如说他有出国
[00:02:16 - 00:02:18] 你作为父母能不能满足孩子的需求
[00:02:18 - 00:02:20] 这是你衡量你成功
[00:02:20 - 00:02:22] 是否的一个重要标准
[00:02:22 - 00:02:24] 所以说三点
[00:02:24 - 00:02:25] 奋斗吧 骚年
