BV号：BV16Y4y1M7MC
标题：BV16Y4y1M7MC
链接：https://www.bilibili.com/video/BV16Y4y1M7MC
识别语言：zh
语言置信度：1
分段数：63
生成时间：2026-04-03 17:41:22

[00:00:00 - 00:00:02] 所以说的话你要学会这种叫举一反三
[00:00:02 - 00:00:05] 交通大学一般甜点除了交通内专业一半
[00:00:05 - 00:00:06] 还有什么样的专业是比较不错的
[00:00:06 - 00:00:07] 首先第一
[00:00:07 - 00:00:10] 它的电气专业一定也不错
[00:00:10 - 00:00:13] 我们说火车跑得快全靠和走带
[00:00:13 - 00:00:15] 车头是由谁带的
[00:00:15 - 00:00:16] 车头是由电带的
[00:00:16 - 00:00:20] 所以说这种学校的电气专业一般都差
[00:00:20 - 00:00:22] 它的土地专业也差
[00:00:22 - 00:00:24] 你作为交通运输
[00:00:24 - 00:00:27] 你要不要运载工具啊
[00:00:27 - 00:00:29] 运载工具是什么装备啊
[00:00:29 - 00:00:31] 他是机械装备呀
[00:00:31 - 00:00:33] 那机械装备有了以后的话
[00:00:33 - 00:00:36] 他的自动化专业插得了吗
[00:00:36 - 00:00:38] 一定不会差呀
[00:00:38 - 00:00:39] 铁路交通也好
[00:00:39 - 00:00:40] 公路交通也好
[00:00:40 - 00:00:41] 各种交通也好
[00:00:41 - 00:00:44] 他有没有信号团输啊
[00:00:44 - 00:00:45] 你可以报他的电子信机类
[00:00:45 - 00:00:47] 但分流的时候
[00:00:47 - 00:00:48] 一定要分信息方向
[00:00:48 - 00:00:49] 不要分电子方向
[00:00:49 - 00:00:50] 建筑类大学的话
[00:00:50 - 00:00:51] 除了图件类专业
[00:00:51 - 00:00:52] 还有什么专业值得上
[00:00:52 - 00:00:54] 工程造价工程管理
[00:00:54 - 00:00:55] 他的这种专业一定不差
[00:00:55 - 00:00:56] 能动专业
[00:00:56 - 00:00:58] 其中有一个方向叫治疗方向
[00:00:58 - 00:01:00] 他的能动专业一定也不差
[00:01:00 - 00:01:01] 再比如像一科大学
[00:01:01 - 00:01:02] 一科大学的心理学都不差
[00:01:02 - 00:01:04] 你心理有事
[00:01:04 - 00:01:06] 和心理有病
[00:01:06 - 00:01:07] 它是不一样
[00:01:07 - 00:01:08] 那一科大学的心理学的话
[00:01:08 - 00:01:10] 主要是研究心里边的病
[00:01:10 - 00:01:11] 它不是研究心里边的事
[00:01:11 - 00:01:14] 一科大学药学专业肯定也不差
[00:01:14 - 00:01:16] 当然一科大学这不可能还会有一类专业
[00:01:16 - 00:01:18] 大家要注意一下生物医学工程
[00:01:18 - 00:01:20] 大家你快发现生物医学工程这个专业
[00:01:20 - 00:01:21] 赵森院校分成了解
[00:01:21 - 00:01:23] 一种是一科大学在手
[00:01:23 - 00:01:25] 一种是他的电子信息专业比较强
[00:01:25 - 00:01:26] 他也会招
[00:01:26 - 00:01:29] 如果你要抱一科大学的生物医学功能
[00:01:29 - 00:01:30] 修医疗气息
[00:01:30 - 00:01:31] 它不是研发医疗气息
[00:01:31 - 00:01:33] 但是如果说你到了一个学校
[00:01:33 - 00:01:34] 它没有医学类
[00:01:34 - 00:01:35] 它直接有一个生意功
[00:01:35 - 00:01:36] 它是做研发的
[00:01:36 - 00:01:37] 一个教你怎么修
[00:01:37 - 00:01:38] 一个教你怎么研发
[00:01:38 - 00:01:39] 这是他们两个的差别
[00:01:39 - 00:01:41] 一个名字叫到有特点的学校
[00:01:41 - 00:01:43] 你要去学会判断
[00:01:43 - 00:01:45] 它大概什么端也会比较好
[00:01:45 - 00:01:47] 跟这张老师多学习多了解
