BV号：BV1r5wEzkExy
标题：BV1r5wEzkExy
链接：https://www.bilibili.com/video/BV1r5wEzkExy
识别语言：zh
语言置信度：1
分段数：51
生成时间：2026-04-03 00:02:23

[00:00:00 - 00:00:01] 报志院吗
[00:00:01 - 00:00:02] 谁还不中个采访了
[00:00:02 - 00:00:03] 地理90
[00:00:03 - 00:00:04] 生物30
[00:00:04 - 00:00:07] 老师想留他在生物货建班
[00:00:07 - 00:00:08] 怎么选
[00:00:08 - 00:00:09] 加长你究竟啥
[00:00:09 - 00:00:10] 你生物30分
[00:00:10 - 00:00:12] 你老是都蛮看得起你的
[00:00:12 - 00:00:14] 还让你留中国货建班
[00:00:14 - 00:00:15] 每颗学的好
[00:00:15 - 00:00:16] 还就选哪一分
[00:00:16 - 00:00:18] 孩子一门心思
[00:00:18 - 00:00:20] 想报生物医学工程
[00:00:20 - 00:00:21] 劝都劝不退
[00:00:21 - 00:00:22] 还让他学
[00:00:22 - 00:00:24] 你为什么要劝劝他呢
[00:00:24 - 00:00:25] 加长你留学这个专业吗
[00:00:25 - 00:00:26] 这专业其实还是不错的
[00:00:26 - 00:00:28] 生物医学工程说白了就是什么
[00:00:28 - 00:00:29] 就一楼七切
[00:00:29 - 00:00:31] 那医院里边大多数的
[00:00:31 - 00:00:32] 那什么核四共生泥
[00:00:32 - 00:00:32] 这个机器
[00:00:32 - 00:00:34] 那个手术机器人
[00:00:34 - 00:00:35] 都是哪产的
[00:00:35 - 00:00:36] 那大多数都是国外产生
[00:00:36 - 00:00:37] 咱们国家的这个领域
[00:00:37 - 00:00:39] 是不是卡脖子的
[00:00:39 - 00:00:40] 那咱们家还得学这个专业
[00:00:40 - 00:00:41] 专门怎么样
[00:00:41 - 00:00:43] 就解决我们国家在医疗气质行业
[00:00:43 - 00:00:45] 被卡脖子的局面
[00:00:45 - 00:00:46] 咱们家还得大有可为
[00:00:46 - 00:00:48] 你为什么要去劝推他呢
[00:00:48 - 00:00:49] 我觉得这专业挺不错的
[00:00:49 - 00:00:51] 怎么看待黑龙江考生
[00:00:51 - 00:00:54] 389分简陋郑州大学
[00:00:54 - 00:00:55] 怎么看
[00:00:55 - 00:00:56] 反而看
[00:00:56 - 00:00:57] 做得看
[00:00:57 - 00:00:58] 一边吃饺子一边看
[00:00:58 - 00:01:00] 报制院嘛 对吧
[00:01:00 - 00:01:01] 谁还不中个彩票呢
[00:01:01 - 00:01:02] 对吧 你怎么看
[00:01:02 - 00:01:04] 有的时候有的人就能中酸酸的彩票
[00:01:04 - 00:01:06] 那个同学呢 就是中了的彩票
[00:01:06 - 00:01:07] 你觉得你也能行
[00:01:07 - 00:01:09] 哎 你今天可三门多分
[00:01:09 - 00:01:10] 你报程来的一些试试看
[00:01:10 - 00:01:11] 你能不能中彩票呢
