BV号：BV11P411n7B1
标题：BV11P411n7B1
链接：https://www.bilibili.com/video/BV11P411n7B1
识别语言：zh
语言置信度：1
分段数：37
生成时间：2026-04-03 17:27:46

[00:00:00 - 00:00:02] 其实你说你在这个社会上遇到的人也好
[00:00:02 - 00:00:03] 遇到的事也好
[00:00:03 - 00:00:06] 包括说你将来学的科目也好
[00:00:06 - 00:00:07] 专业科也好
[00:00:07 - 00:00:08] 难道每个人
[00:00:08 - 00:00:10] 每个事你都会喜欢吗
[00:00:10 - 00:00:11] 绝对不是的
[00:00:11 - 00:00:13] 就是你一定会遇到你不喜欢的东西
[00:00:13 - 00:00:14] 一定会遇到你不喜欢的事
[00:00:14 - 00:00:16] 但是你遇到你不喜欢的人
[00:00:16 - 00:00:17] 你不喜欢的事呢
[00:00:17 - 00:00:17] 你发现
[00:00:17 - 00:00:19] 网络这个人他会决定你的命运
[00:00:19 - 00:00:21] 这个事会决定你的命运
[00:00:21 - 00:00:22] 就跟什么一样
[00:00:22 - 00:00:24] 就跟你现在上高中一样
[00:00:24 - 00:00:25] 你说你不喜欢语文
[00:00:25 - 00:00:26] 不喜欢外语
[00:00:26 - 00:00:27] 但是他会决定你的命运
[00:00:27 - 00:00:28] 你要不要跟他相处好
[00:00:28 - 00:00:30] 你跟他相處好以後你會發現怎麼樣
[00:00:30 - 00:00:32] 你的命運就會不一樣
[00:00:32 - 00:00:34] 如果說你現在能明白這個道理
[00:00:34 - 00:00:36] 好好把語言和英語好好學一下的話
[00:00:36 - 00:00:38] 你到社會上你會發現這個人
[00:00:38 - 00:00:39] 你不一定喜歡他
[00:00:39 - 00:00:41] 但是你能夠忍住
[00:00:41 - 00:00:44] 並且跟他抱一善良
[00:00:44 - 00:00:46] 他如果對你回報善良的話
[00:00:46 - 00:00:48] 你會發現他會舉領你的人生高度
[00:00:48 - 00:00:49] 所以說這個世界就是這樣
[00:00:49 - 00:00:51] 不會說你遇到的每一個人
[00:00:51 - 00:00:52] 每一個事兒
[00:00:52 - 00:00:55] 每一個科目你都會喜歡他
[00:00:55 - 00:00:55] 往往有的時候
[00:00:55 - 00:00:57] 我們把我們最短的短版補齊
[00:00:57 - 00:01:01] 要跟他稍微好好的咬一流
