BV号：BV1EN411875t
标题：BV1EN411875t
链接：https://www.bilibili.com/video/BV1EN411875t
识别语言：zh
语言置信度：1
分段数：19
生成时间：2026-04-03 14:06:36

[00:00:00 - 00:00:01] 大家注意一下啊
[00:00:01 - 00:00:03] 做成光位及控制工程
[00:00:03 - 00:00:05] 这个是属于机械打类
[00:00:05 - 00:00:08] 它一一学合所属于机械
[00:00:08 - 00:00:10] 但是这个专业的原来的名字叫做
[00:00:10 - 00:00:12] 就是就是化工流体系
[00:00:12 - 00:00:13] 叫化工流体机械
[00:00:13 - 00:00:14] 然后的话呢
[00:00:14 - 00:00:15] 它是化工加机械
[00:00:15 - 00:00:17] 那因为它后面加了控制工程
[00:00:17 - 00:00:19] 所以说它是跟自动化行为
[00:00:19 - 00:00:20] 所以说如果你要往外爬坑
[00:00:20 - 00:00:21] 你就不想要走
[00:00:21 - 00:00:22] 不想要走化工
[00:00:22 - 00:00:24] 又不想走机械
[00:00:24 - 00:00:25] 那你可以往自动化上去实施
[00:00:25 - 00:00:27] 自动化上大学最重要的专业课
[00:00:27 - 00:00:29] 最重要的专业课叫做
[00:00:29 - 00:00:30] 自從控制原理
