BV号：BV1os411h7Aj
标题：BV1os411h7Aj
链接：https://www.bilibili.com/video/BV1os411h7Aj
识别语言：zh
语言置信度：1
分段数：125
生成时间：2026-04-04 13:32:52

[00:00:05 - 00:00:06] 啊?干啥呀?
[00:00:10 - 00:00:13] 好,欢迎大家来到张老师课堂,我是张雪峰老师
[00:00:17 - 00:00:18] 叫做逻辑规定
[00:00:18 - 00:00:22] 不知道是什么叫逻辑推理吗?
[00:00:22 - 00:00:23] 就是恶心的脑筋筋腿弯
[00:00:24 - 00:00:25] 什么叫恶心的脑筋腿弯?
[00:00:25 - 00:00:27] 我再给你出题让你们感受一下
[00:00:27 - 00:00:28] 给你出个最简单的
[00:00:28 - 00:00:30] 出哪了我看你出五个吧
[00:00:30 - 00:00:31] 给大家出一个题大家听好了啊
[00:00:31 - 00:00:32] 说
[00:00:33 - 00:00:36] 说这个台湾有个大哥叫做周九伦
[00:00:36 - 00:00:39] 说这个周九伦有一天大家想着淡水
[00:00:39 - 00:00:41] 干嘛呢?跑到大连天演会
[00:00:41 - 00:00:43] 咱们学校都用五位同学
[00:00:43 - 00:00:44] 特别喜欢做丢丢丢
[00:00:44 - 00:00:46] 就跟喜欢我一样喜欢做丢丢丢
[00:00:46 - 00:00:48] 然后买了五位同学门票
[00:00:48 - 00:00:50] 这五位同学分别到小冰小玉小明小方小强
[00:00:50 - 00:00:52] 五位同学他们特别喜欢做丢丢丢
[00:00:52 - 00:00:53] 买了五张丢丢丢丢的门票
[00:00:53 - 00:00:55] 去看一看周俊磊的演长会
[00:00:55 - 00:00:56] 然后的话呢
[00:00:56 - 00:00:57] 这五个门票有个特点
[00:00:57 - 00:00:59] 首先第一同学他是I-DLE
[00:00:59 - 00:01:01] 第二个是眼神或者人像
[00:01:01 - 00:01:03] 有一张门票是靠边的
[00:01:03 - 00:01:04] 现在我们已经知道了
[00:01:04 - 00:01:06] 小红呢是不懂做边的
[00:01:06 - 00:01:08] 但是小红显得小玉
[00:01:08 - 00:01:10] 成名前來手放,手不前來手放
[00:01:10 - 00:01:14] 問,以下哪有排六數據對五個人的排列一段
[00:01:14 - 00:01:16] 這種題就是個五個體理題
[00:01:16 - 00:01:18] 大家覺得這種題很難嗎?
[00:01:18 - 00:01:19] 它難度不是很難,對吧?
