BV号：BV1tr4y1t74M
标题：BV1tr4y1t74M
链接：https://www.bilibili.com/video/BV1tr4y1t74M
识别语言：zh
语言置信度：1
分段数：54
生成时间：2026-04-03 19:29:27

[00:00:00 - 00:00:01] 我们高考前还有一个月了
[00:00:01 - 00:00:03] 作为家场一定要做好的事叫做后勤
[00:00:03 - 00:00:06] 而不是传递情绪
[00:00:06 - 00:00:07] 最近各个省份
[00:00:07 - 00:00:10] 各个地势都在进行一个事叫做模拟考试
[00:00:10 - 00:00:11] 有的还得考得好
[00:00:11 - 00:00:12] 有的还得考得不好
[00:00:12 - 00:00:15] 你不要把你对于负面情绪传递给孩子
[00:00:15 - 00:00:17] 这个是很可怕的事
[00:00:17 - 00:00:18] 我前两天有一个学生
[00:00:18 - 00:00:21] 那个学生刚刚在二摩的时候考了460
[00:00:21 - 00:00:23] 然后我跟这个学生沟通
[00:00:23 - 00:00:25] 我说老弟加加油
[00:00:25 - 00:00:27] 一定要往480洗劲
[00:00:27 - 00:00:28] 结果家长在旁边来了一句
[00:00:28 - 00:00:30] 我觉得我们家孩子考不上400吧
[00:00:30 - 00:00:32] 你对他都没信心
[00:00:32 - 00:00:34] 你还指望谁对他有信心
[00:00:34 - 00:00:36] 我说家长你不能这样说啊
[00:00:36 - 00:00:38] 我说你以后你在孩子面前少说这样的话
[00:00:38 - 00:00:39] 我在这激励他
[00:00:39 - 00:00:40] 现在考400了
[00:00:40 - 00:00:41] 努努力再加20分
[00:00:41 - 00:00:42] 结果你在旁边来立局
[00:00:42 - 00:00:44] 我觉得我们家孩子考到400吧
[00:00:44 - 00:00:45] 真真真
[00:00:45 - 00:00:46] 这是去妈妈这个
[00:00:46 - 00:00:48] 你对他都没信心
[00:00:48 - 00:00:49] 那你让他怎么办
[00:00:49 - 00:00:50] 很多家长说
[00:00:50 - 00:00:51] 我们家孩子
[00:00:51 - 00:00:52] 哎呀这个二伯没考好
[00:00:52 - 00:00:54] 哎呀我都发愁
[00:00:54 - 00:00:56] 你千万不要把这种焦虑全体传给他
[00:00:56 - 00:00:58] 摸烤的目的是什么
[00:00:58 - 00:01:01] 摸烤的目的是为了让孩子查缺补漏
[00:01:01 - 00:01:03] 即使他摸烤烤得不好
[00:01:03 - 00:01:04] 你应该想的是什么
[00:01:04 - 00:01:06] 幸亏这不是高考
[00:01:06 - 00:01:06] 孩子啊
[00:01:06 - 00:01:09] 你已经在摸烤把你的欢迎区域都用完了
[00:01:09 - 00:01:10] 到高考的时候
[00:01:10 - 00:01:11] 都是好运气
[00:01:11 - 00:01:13] 得丢
[00:01:13 - 00:01:13] 能明白吧
[00:01:13 - 00:01:15] 你把你的焦力群就给
[00:01:15 - 00:01:15] 哎呀了
[00:01:15 - 00:01:16] 孩子你咋搞的
[00:01:16 - 00:01:18] 这次怎么回事啊
[00:01:18 - 00:01:19] 怎么讨计点分
[00:01:19 - 00:01:20] 完毒的
[00:01:20 - 00:01:21] 你以为他心里压力不大吗
[00:01:21 - 00:01:23] 所以说千万千万别别别搞这种事
[00:01:23 - 00:01:24] 能明白吧
