BV号：BV1nyFdenEbG
标题：BV1nyFdenEbG
链接：https://www.bilibili.com/video/BV1nyFdenEbG
识别语言：zh
语言置信度：1
分段数：21
生成时间：2026-04-03 05:58:24

[00:00:00 - 00:00:02] 最后我们的孩子在这个社会上
[00:00:02 - 00:00:04] 他能奋到什么样的高度
[00:00:04 - 00:00:06] 跟他当年高考考多少分
[00:00:06 - 00:00:07] 有一定的关系
[00:00:07 - 00:00:08] 但其实关系并不大
[00:00:08 - 00:00:12] 跟他的格局和持续学习能力关系是很大
[00:00:12 - 00:00:13] 所以说各位朋友
[00:00:13 - 00:00:15] 你说老师我们家孩子高考考多少分
[00:00:15 - 00:00:16] 考到什么样的学校
[00:00:16 - 00:00:18] 考到什么样的专业
[00:00:18 - 00:00:20] 只能代表他有一个很好的起点
[00:00:20 - 00:00:22] 但并不代表他将来在这个社会上
[00:00:22 - 00:00:24] 一定就会有多高的高
[00:00:24 - 00:00:26] 而是要去增强我们孩子
[00:00:26 - 00:00:28] 在大学以后的持续学习能力
[00:00:28 - 00:00:30] 和在思考一些事情上的格局
[00:00:30 - 00:00:31] 这个是很重要的
[00:00:31 - 00:00:33] 所以说有些时候
[00:00:33 - 00:00:34] 就是你要去培养孩子
[00:00:34 - 00:00:36] 这种所谓的思维格局
[00:00:36 - 00:00:37] 这个很重要
