BV号：BV1K34y1B7Ca
标题：BV1K34y1B7Ca
链接：https://www.bilibili.com/video/BV1K34y1B7Ca
识别语言：zh
语言置信度：1
分段数：55
生成时间：2026-04-03 20:49:57

[00:00:00 - 00:00:01] 他考虑的第二个难点是什么
[00:00:01 - 00:00:04] 大多数的科研院所招生人数都不会太多
[00:00:05 - 00:00:06] 一般就是10个20个
[00:00:06 - 00:00:08] 然后的话有的招数多的也有
[00:00:08 - 00:00:10] 但是大多数是10个20个
[00:00:10 - 00:00:11] 这么一个情况
[00:00:11 - 00:00:14] 但是它的优点也非常的明显
[00:00:14 - 00:00:15] 优点非常的明显
[00:00:15 - 00:00:17] 第一就是这种科研院所
[00:00:17 - 00:00:20] 大多数的科研院所是没有所谓的院校歧视的
[00:00:20 - 00:00:22] 就不是说我只要22985的
[00:00:22 - 00:00:23] 我给大家举个例子
[00:00:23 - 00:00:25] 比如说我在视频当中经常讲的
[00:00:25 - 00:00:26] 郑州研讨研究院
[00:00:26 - 00:00:27] 郑州研讨研究院
[00:00:27 - 00:00:29] 只招一个专业叫食品科学研究中程
[00:00:30 - 00:00:31] 他在招的时候
[00:00:31 - 00:00:33] 大家有兴趣可以看他的官方网站
[00:00:33 - 00:00:36] 他每一年会列出来他所招的学生当中
[00:00:36 - 00:00:38] 他们的本科学校是哪个学校的
[00:00:38 - 00:00:41] 然后你会发现大多数都是非双一楼的
[00:00:41 - 00:00:43] 像河南农委大学
[00:00:43 - 00:00:45] 山东农委大学很多人考的都是这个学校
[00:00:45 - 00:00:47] 然后的话分也不会特别的高
[00:00:47 - 00:00:49] 就是这种科学所报口的招个人少
[00:00:49 - 00:00:52] 报口的热度其实也不是特别的高
[00:00:52 - 00:00:53] 这是他第一个特点
[00:00:53 - 00:00:55] 就是大家一般关注度不是那么很大
[00:00:55 - 00:00:59] 然后第二个课点就是这种单位很有意思
[00:00:59 - 00:01:00] 它的工作生态比较好解决
[00:01:01 - 00:01:03] 大多数的人他考科研院所研究所
[00:01:03 - 00:01:05] 他毕业以后他工作是干嘛
[00:01:05 - 00:01:08] 留在科研院所继续搞科研
[00:01:08 - 00:01:11] 那么这个时候就要讲到两个地方的科研所
[00:01:11 - 00:01:12] 一个是北京一个是上海
[00:01:12 - 00:01:15] 因为北京的科研所一定在北京
[00:01:15 - 00:01:16] 上海的科研所一定在上海
[00:01:16 - 00:01:16] 对吧
[00:01:16 - 00:01:19] 那你留在当地搞科研的话怎么样
[00:01:19 - 00:01:23] 顺带相应比较好解决的就是互扣问题
[00:01:23 - 00:01:26] 然后我很多学生都是考北京的一些科研所
[00:01:26 - 00:01:28] 然后毕业以后留在的科研所搞科研
[00:01:28 - 00:01:31] 然后的话这种科研所它都是有一些互苦名额的
[00:01:31 - 00:01:33] 然后的话基本上你能留在那个所里边
[00:01:33 - 00:01:35] 它都是可以做互口的
[00:01:35 - 00:01:37] 所以说的话像我经常有学生就是说
[00:01:37 - 00:01:40] 老实说我要去考北京的这个高校
[00:01:40 - 00:01:42] 然后的话毕业想留在北京能够给互口
[00:01:42 - 00:01:45] 大家也都看到了北京是不最近出台的一些政策嘛对吧
[00:01:45 - 00:01:48] 然后的话呢那如果说你要想最直接成绩
[00:01:48 - 00:01:49] 是很理想
[00:01:49 - 00:01:51] 那但是还行啊
[00:01:51 - 00:01:53] 平常国家现在能考到一些科研院所的话
[00:01:53 - 00:01:56] 那这个时候我大概就可能会也能推荐一些科研院所
[00:01:56 - 00:01:58] 这样的话对它留在北京是有帮助的
