BV号：BV1FA411V7CW
标题：BV1FA411V7CW
链接：https://www.bilibili.com/video/BV1FA411V7CW
识别语言：zh
语言置信度：1
分段数：49
生成时间：2026-04-04 00:06:12

[00:00:00 - 00:00:01] 所以说大家你会发现
[00:00:01 - 00:00:05] 这些排名你到底是以什么为导向
[00:00:05 - 00:00:07] 到底你参照什么因素
[00:00:07 - 00:00:08] 到底参照什么参数
[00:00:08 - 00:00:10] 这个很重要
[00:00:10 - 00:00:11] 非常的重要
[00:00:11 - 00:00:13] 那么除了我们说全世界
[00:00:13 - 00:00:14] 大家都比较认可的一些
[00:00:14 - 00:00:15] 排名指数以外
[00:00:15 - 00:00:17] 我们自己中国也有一些本土化的排名
[00:00:17 - 00:00:20] 本土化的排名其实主要就来源于三种
[00:00:20 - 00:00:22] 第一种就是来源于某些高效
[00:00:22 - 00:00:23] 比如说你规划你这个排名有什么
[00:00:23 - 00:00:25] 人大版、五大版
[00:00:25 - 00:00:26] 后来就是
[00:00:26 - 00:00:30] 怎么说呢,很多人把这个东西当成生意去做
[00:00:30 - 00:00:32] 然后第二呢,来自于民间组织和学术团队
[00:00:32 - 00:00:35] 比如像软科版、校语会版、武术联版
[00:00:35 - 00:00:39] 这个就是民间机构啊,包括相应的学术团队
[00:00:39 - 00:00:41] 然后第三呢,就是国际教育组织机构所做的
[00:00:41 - 00:00:44] 世界大学排名中的入榜的中国高校的排名
[00:00:44 - 00:00:47] 你会发现每一年,这些排名公布的时候
[00:00:47 - 00:00:49] 就有一些大学就开始说
[00:00:49 - 00:00:52] 你看我今年这个排名,比去年又上升了多少多少多少
[00:00:52 - 00:00:55] 然后我们已经排在全世界的1%
[00:00:55 - 00:00:57] 甚至1,000分之一等等
[00:00:57 - 00:01:00] 就是各种各样说自己学校有多么的好
[00:01:00 - 00:01:01] 排名有多么的靠前
[00:01:01 - 00:01:02] 但是我告诉大家
[00:01:02 - 00:01:03] 像这种排名
[00:01:05 - 00:01:07] 它没有绝对的公正与权威
[00:01:08 - 00:01:10] 关于这个排名你仅做参考
[00:01:10 - 00:01:12] 我给大家举个最简单的例子
[00:01:12 - 00:01:13] 你就说上边这个
[00:01:13 - 00:01:14] 你能说你最后报志愿的时候
[00:01:14 - 00:01:17] 你说老师我分考的很高
[00:01:17 - 00:01:18] 人大排名很靠后
[00:01:18 - 00:01:19] 对外经贸很靠后
[00:01:19 - 00:01:20] 我不报人大
[00:01:20 - 00:01:21] 我不报对外经贸
[00:01:21 - 00:01:22] 我报福建农林吗
[00:01:22 - 00:01:24] 当然福建农林也很好
[00:01:24 - 00:01:25] 但是你会发现大多数人不会这么来
[00:01:25 - 00:01:27] 你要是只看排名的话
[00:01:27 - 00:01:28] 你按这个来报名的话
[00:01:28 - 00:01:29] 你按这个来报志愿的话
[00:01:29 - 00:01:33] 真的可能跟你想象的完全不太一样
[00:01:33 - 00:01:35] 可能跟你想象的是完全不太一样的
[00:01:35 - 00:01:36] 这个大家一定要去注意
