BV号：BV19D4y1c74C
标题：BV19D4y1c74C
链接：https://www.bilibili.com/video/BV19D4y1c74C
识别语言：zh
语言置信度：1
分段数：36
生成时间：2026-04-03 20:57:39

[00:00:00 - 00:00:02] 大家好,我上学习病的更快乐的张雪峰老师
[00:00:02 - 00:00:05] 现在回想起我的高中求学阶段
[00:00:05 - 00:00:06] 我真的是十分的无助的
[00:00:06 - 00:00:09] 我的父母是非常非常普通的小县城的居民
[00:00:09 - 00:00:12] 对于我学习上的事情他们是一概不懂的
[00:00:12 - 00:00:14] 他们能做的就是负担我的生活
[00:00:14 - 00:00:17] 以及给予我他们自认为需要的管教
[00:00:17 - 00:00:19] 比如说在我出现问题的时候
[00:00:19 - 00:00:21] 每天训斥我在我成绩下滑的时候
[00:00:21 - 00:00:23] 给我挨声探戚甚至跟我说
[00:00:23 - 00:00:24] 如果你考康大学
[00:00:24 - 00:00:26] 将来没有人管你这样的话
[00:00:26 - 00:00:28] 我多希望他们在我土于低谷的时候
[00:00:28 - 00:00:30] 能够帮帮我安慰安慰我
[00:00:30 - 00:00:32] 但是他们当时真的不懂得
[00:00:32 - 00:00:34] 怎么跟高中阶段的我来进行沟通
[00:00:34 - 00:00:36] 这些年我做生学规划的
[00:00:36 - 00:00:38] 高考志愿填爆职业工作
[00:00:38 - 00:00:39] 也遇到了很多家长跟我说
[00:00:39 - 00:00:41] 看着孩子拼命努力
[00:00:41 - 00:00:42] 他们也很心疼
[00:00:42 - 00:00:43] 可是作为家长
[00:00:43 - 00:00:44] 实在是不知道怎么做
[00:00:44 - 00:00:46] 才能够帮助这多孩子
[00:00:46 - 00:00:47] 有些孩子甚至出现了
[00:00:47 - 00:00:49] 像叛逆 厌业学
[00:00:49 - 00:00:50] 拒绝和家长沟通
[00:00:50 - 00:00:51] 等这样的情况
[00:00:51 - 00:00:52] 针对这些问题
[00:00:52 - 00:00:53] 根据我这十几年来
[00:00:53 - 00:00:55] 跟高中生 大学生
[00:00:55 - 00:00:56] 以及家长的沟通经验
[00:00:56 - 00:00:58] 我写了这本新书
[00:00:58 - 00:01:00] 高中三年关键期
[00:01:00 - 00:01:04] 写这本书就是为了给各位家长和考生解决先恩的问题
[00:01:04 - 00:01:09] 希望所有的家长和孩子都能够一起决胜高中三年的关键期
