BV号：BV11y2RYsEtz
标题：BV11y2RYsEtz
链接：https://www.bilibili.com/video/BV11y2RYsEtz
识别语言：zh
语言置信度：1
分段数：28
生成时间：2026-04-03 07:59:55

[00:00:00 - 00:00:02] 生物学里边大家经常听说说老师
[00:00:02 - 00:00:04] 我听说生物学有两个非常非常重要的研究方向
[00:00:04 - 00:00:05] 一个叫生物统计
[00:00:05 - 00:00:06] 一个叫生物信息
[00:00:06 - 00:00:09] 他们两个在绑个队段学的内容是有差别的
[00:00:09 - 00:00:10] 生物信息
[00:00:10 - 00:00:12] 它在专业大律上属于生物学类
[00:00:12 - 00:00:15] 但是生物统计学属于统计学类
[00:00:15 - 00:00:17] 那属于生物学类和属于统计学类
[00:00:17 - 00:00:19] 有什么差别差别非常大
[00:00:19 - 00:00:21] 它如果属于生物学类的话
[00:00:21 - 00:00:22] 那你家还得考虑研究生
[00:00:22 - 00:00:24] 它将来可以去高中初中当生物老师
[00:00:24 - 00:00:26] 但是如果你学的是生物统计学
[00:00:26 - 00:00:28] 你是当不了生物老师了
[00:00:28 - 00:00:29] 知道吧
[00:00:29 - 00:00:29] 那你求老师呢
[00:00:29 - 00:00:30] 那他就我考工考编
[00:00:30 - 00:00:31] 他能考什么
[00:00:31 - 00:00:33] 他能考统计类的工作
[00:00:33 - 00:00:35] 比如说各龙杠的统计局
[00:00:35 - 00:00:36] 比如说大数据局
[00:00:36 - 00:00:37] 他可能找统计学
[00:00:37 - 00:00:38] 那找统计学的话
[00:00:38 - 00:00:39] 虽然你那个叫生物统计学
[00:00:39 - 00:00:41] 但是在一级小伙伴当中
[00:00:41 - 00:00:42] 它属于统计学
[00:00:42 - 00:00:43] 那你就可以好
