BV号：BV1t341187s7
标题：BV1t341187s7
链接：https://www.bilibili.com/video/BV1t341187s7
识别语言：zh
语言置信度：1
分段数：44
生成时间：2026-04-03 21:36:54

[00:00:00 - 00:00:02] 下面分这四个学科
[00:00:02 - 00:00:03] 包括物流管理
[00:00:03 - 00:00:04] 物流工程
[00:00:04 - 00:00:05] 采购管理
[00:00:05 - 00:00:06] 工业量管理
[00:00:06 - 00:00:08] 那么我们现在大部分的大学
[00:00:08 - 00:00:09] 开设的主要是前两个
[00:00:09 - 00:00:11] 除了政治和外域以外
[00:00:11 - 00:00:12] 那专业上
[00:00:12 - 00:00:13] 如果你要考研的话
[00:00:13 - 00:00:15] 它还是要考高速的
[00:00:15 - 00:00:16] 包括还要考运筹学
[00:00:16 - 00:00:17] 那么概率统计
[00:00:17 - 00:00:19] 以及统计学相关的等等
[00:00:19 - 00:00:21] 那目标是培养多领域
[00:00:21 - 00:00:23] 多方面的物流方向的人才
[00:00:23 - 00:00:24] 物流相关的专业
[00:00:24 - 00:00:26] 目前在就业与发展上的
[00:00:26 - 00:00:27] 也相对比较乐观
[00:00:27 - 00:00:29] 咱就说今年的双十一期间
[00:00:29 - 00:00:31] 不仅在国内带动了高速协会
[00:00:31 - 00:00:33] 我们央视名嘴也当了主播们
[00:00:33 - 00:00:36] 带着消费者们一起参与了一场叫
[00:00:36 - 00:00:37] 云上进博会
[00:00:37 - 00:00:40] 叫进口商品博览会
[00:00:40 - 00:00:42] 带来了像东亚、欧洲、非洲、南美等
[00:00:42 - 00:00:44] 20多个国家的进口好物
[00:00:44 - 00:00:46] 拨了4个小时
[00:00:46 - 00:00:48] 那么超过将近1.1亿次人为官
[00:00:48 - 00:00:50] 12万罐的阿富汗松子
[00:00:50 - 00:00:52] 塞尔维亚奶酪和咖啡豆
[00:00:52 - 00:00:54] 也直接被秒空了
[00:00:54 - 00:00:56] 那么就说这正式这速度
[00:00:56 - 00:00:58] 不仅为当下的疫情时期
[00:00:58 - 00:01:00] 其经济困难的国家
[00:01:00 - 00:01:01] 身处的元首
[00:01:01 - 00:01:03] 也妥妥的张写了我们的大国风范
[00:01:03 - 00:01:05] 所以说对这个专业感兴趣的同学呢
[00:01:05 - 00:01:07] 不妨自己多去了解和关注一下
[00:01:07 - 00:01:09] 当然更多详情呢
[00:01:09 - 00:01:12] 也可以在咱们平台首页搜索张雪峰
[00:01:12 - 00:01:14] 讲考研院校规划
[00:01:14 - 00:01:16] 我上学期变得更快乐的张雪峰老师
[00:01:16 - 00:01:17] 我们下期再见
