BV号：BV1h44y1k78e
标题：BV1h44y1k78e
链接：https://www.bilibili.com/video/BV1h44y1k78e
识别语言：zh
语言置信度：1
分段数：100
生成时间：2026-04-03 22:43:42

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪芳老师
[00:00:02 - 00:00:03] 在高考这院填补的工程当中
[00:00:03 - 00:00:07] 经常有家长问我说张老师是不是叫学院的
[00:00:07 - 00:00:09] 一般都没有叫大学的好
[00:00:10 - 00:00:11] 大多数是这样
[00:00:11 - 00:00:13] 但是有极个别的学校
[00:00:13 - 00:00:15] 大家一定要去了解一下
[00:00:15 - 00:00:17] 我觉得大家是有必要了解一下
[00:00:17 - 00:00:19] 学院和学校的一些平凡的规则
[00:00:19 - 00:00:22] 那么具体的院校的具体的分析
[00:00:22 - 00:00:24] 你比如说什么北京电影学院
[00:00:24 - 00:00:26] 包括我们这个案例当中出现的像
[00:00:26 - 00:00:27] 上海体育学院
[00:00:27 - 00:00:29] 这都是双一流的高校
[00:00:29 - 00:00:32] 那么接下来我们来了解一下这个案例
[00:00:32 - 00:00:35] 大家思考一下为什么要具体情况
[00:00:35 - 00:00:36] 具体分析
[00:00:36 - 00:00:36] 大家好
[00:00:36 - 00:00:38] 我是来自丰学未来的大特务老师
[00:00:38 - 00:00:40] 今天跟大家分享的一个学生案例
[00:00:40 - 00:00:42] 是来自咱们浙江省的一位考生
[00:00:42 - 00:00:44] 高考的分数是623分
[00:00:44 - 00:00:46] 未次的话在22000位左右
[00:00:46 - 00:00:49] 这个学生和家长我们在沟通的时候
[00:00:49 - 00:00:50] 有以下的第一个问题
[00:00:50 - 00:00:51] 不想浪费分数
[00:00:51 - 00:00:53] 城市限定的问题
[00:00:53 - 00:00:54] 金融这户
[00:00:54 - 00:00:55] 就这三地方去
[00:00:55 - 00:00:57] 别的地方我完全不考虑
[00:00:57 - 00:00:59] 那今后考虑的话是去日本留学
[00:00:59 - 00:01:01] 因为家里边有个亲戚在那边
[00:01:01 - 00:01:03] 那我们就开始进行了第一次的院校筛选
[00:01:03 - 00:01:05] 跟家长过完了以后
[00:01:05 - 00:01:07] 我们首选的几个学校的话
[00:01:07 - 00:01:07] 有哪些
[00:01:07 - 00:01:09] 第一 上海体育学院
[00:01:09 - 00:01:10] 第二 宁波大学
[00:01:10 - 00:01:12] 第三 南京财经大学
[00:01:12 - 00:01:13] 第四 上海师范
[00:01:13 - 00:01:15] 家长最想去的学校
[00:01:15 - 00:01:17] 一开始想去的那是上海师范
[00:01:17 - 00:01:19] 我们说你为什么不考虑一下
[00:01:19 - 00:01:20] 上海体育学院呢
[00:01:20 - 00:01:22] 家长说他是个学院
[00:01:22 - 00:01:24] 学院肯定没有大学好
[00:01:24 - 00:01:24] 对吧
[00:01:24 - 00:01:25] 出去一看
[00:01:25 - 00:01:28] 你们孩子怎么上学院是不是个三本呢
[00:01:28 - 00:01:29] 现在野鸡大学这么多
[00:01:29 - 00:01:31] 一听就不是什么好学校
[00:01:31 - 00:01:33] 这个问题和观念在我们今年田报的时候
[00:01:33 - 00:01:35] 遇到的特别多的家长
[00:01:35 - 00:01:39] 学院和学校的评判标准是什么
[00:01:39 - 00:01:40] 大家其实真的不清楚
[00:01:40 - 00:01:42] 他跟这个学校的占地有多伤目
[00:01:42 - 00:01:44] 他的硬件设施 价值多少钱
[00:01:44 - 00:01:45] 他的学生人数
[00:01:45 - 00:01:47] 但其实跟他的教育能力
[00:01:47 - 00:01:50] 教学能力和科研能力没有太大的关系
[00:01:50 - 00:01:50] 这个学校的话
[00:01:50 - 00:01:52] 我们给他的理由和建议
[00:01:52 - 00:01:53] 为什么呢
[00:01:53 - 00:01:53] 第一
[00:01:53 - 00:01:54] 上海提议学院的话
[00:01:54 - 00:01:57] 你既然今后想要考虑留学
[00:01:57 - 00:02:00] 国外对于国内的高校认可双一留
[00:02:00 - 00:02:03] 我们记住我们现在高校的认可标准就是
[00:02:03 - 00:02:06] 双一留而且要看这个学校的双一留专业
[00:02:06 - 00:02:08] 第二个所处的城市是上海
[00:02:09 - 00:02:11] 留日的除了环博海经济圈以外
[00:02:11 - 00:02:13] 或者是青岛以外的话
[00:02:13 - 00:02:14] 首选肯定是上海
[00:02:15 - 00:02:19] 所以我们就把上海体育学院这个专业放在了最前面
[00:02:19 - 00:02:21] 所以孩子的录取结果出来以后的话
[00:02:21 - 00:02:24] 他是这个学校这个专业压着线进去的
[00:02:24 - 00:02:25] 没有浪费分数对吧
[00:02:25 - 00:02:28] 那也满足了孩子的兴趣爱好
[00:02:28 - 00:02:29] 也没有学数学对吧
[00:02:29 - 00:02:32] 当然本科期间的同时类的数学还是要学一点
[00:02:32 - 00:02:33] 但今后考研或者留学
[00:02:33 - 00:02:35] 包括今后的专业课也都不需要了
[00:02:35 - 00:02:39] 那家长和学生也都比较喜欢上海这个城市
[00:02:39 - 00:02:41] 所以这个专业到最后的话
[00:02:41 - 00:02:42] 孩子被陆去走了
[00:02:42 - 00:02:43] 也是非常的开心
[00:02:43 - 00:02:44] 非常的满意
[00:02:44 - 00:02:44] 同时呢
[00:02:44 - 00:02:46] 我们也对接了那边的一些留学资源
[00:02:46 - 00:02:49] 还有一孩子结合他的兴趣爱好
[00:02:49 - 00:02:54] 也为他今后的留学和就业已经准备好了机会
[00:02:54 - 00:02:56] 那么根据吴老师的这个案例
[00:02:56 - 00:02:59] 我们可以看出并不是说所有的学员都不入大学的
[00:02:59 - 00:03:03] 并且报告双一流的院校也为他的留学计划做好了准备
[00:03:03 - 00:03:05] 所以说在志愿铁幕共产当中
[00:03:05 - 00:03:07] 合适的志愿才是好志愿
[00:03:07 - 00:03:08] 那么屏幕前的你
[00:03:08 - 00:03:12] 志愿是否和你的人生规划相符合呢
[00:03:12 - 00:03:13] 快来评论区讨论起来
[00:03:13 - 00:03:16] 参与讨论还有机会允许我的生学大礼包
