BV号：BV1GE411r7KR
标题：BV1GE411r7KR
链接：https://www.bilibili.com/video/BV1GE411r7KR
识别语言：zh
语言置信度：1
分段数：391
生成时间：2026-04-04 06:05:20

[00:00:02 - 00:00:03] 刚才我站在一块儿
[00:00:03 - 00:00:05] 发现没比我高多少嘛
[00:00:05 - 00:00:06] 哎你我听说你们好像是
[00:00:06 - 00:00:08] 就是车软扣篮就是你们是吧
[00:00:08 - 00:00:10] 是所以最早就是这些蹦床什么
[00:00:10 - 00:00:12] 都是我们自己去
[00:00:12 - 00:00:13] 浊抹出来的
[00:00:13 - 00:00:14] 对我们自己弄
[00:00:14 - 00:00:15] 对
[00:00:16 - 00:00:18] 让张老师改行一下
[00:00:18 - 00:00:19] 啊
[00:00:19 - 00:00:19] 别动啊
[00:00:19 - 00:00:20] 没一点
[00:00:20 - 00:00:20] 不错不错
[00:00:20 - 00:00:22] 不错不错
[00:00:35 - 00:00:35] 大家好
[00:00:35 - 00:00:38] 欢迎收看小胸肚鼻脱口秀大开眼界
[00:00:38 - 00:00:40] 我是让学习变得更快乐的张雪芳老师
[00:00:40 - 00:00:42] 我们本期请到的嘉宾呢有点特殊
[00:00:42 - 00:00:44] 他是一个跟体育有关的人
[00:00:44 - 00:00:48] 他就是GS花式篮球别人队的创始人
[00:00:48 - 00:00:49] 我们的王滨老师
[00:00:49 - 00:00:50] 王老师跟大家打个招呼啊
[00:00:50 - 00:00:51] 哈喽大家好
[00:00:51 - 00:00:52] 我是王滨
[00:00:52 - 00:00:53] 哎王老师啊
[00:00:53 - 00:00:54] 这个首先啊
[00:00:54 - 00:00:56] 我们这个节目的路到现在
[00:00:56 - 00:00:58] 我从来没有请一个嘉宾站起来过
[00:00:58 - 00:01:00] 但是今天我要请小小的要求啊
[00:01:00 - 00:01:01] 请你站起来
[00:01:02 - 00:01:03] 你先站起来
[00:01:04 - 00:01:05] 然后呢
[00:01:05 - 00:01:07] 我再站起来
[00:01:07 - 00:01:10] 我就觉得我们请嘉宾请的很有意思
[00:01:10 - 00:01:12] 我们前一阶段请了一个嘉宾
[00:01:12 - 00:01:13] 是跟摄制品鑒定的
[00:01:13 - 00:01:14] 我以为是一个女的
[00:01:14 - 00:01:16] 但来的是个男的
[00:01:16 - 00:01:18] 但今天他们跟我说是一个打篮球的人
[00:01:18 - 00:01:20] 我以为得多狗
[00:01:20 - 00:01:22] 我以为我得养世级别的
[00:01:22 - 00:01:25] 但我真的一会发现没比我狗多少嘛
[00:01:25 - 00:01:26] 我1米8你你
[00:01:26 - 00:01:28] 我1米7老师
[00:01:28 - 00:01:29] 你这些说实话
[00:01:29 - 00:01:30] 我1米85
[00:01:30 - 00:01:31] 1米85是吧
[00:01:31 - 00:01:32] 哎
[00:01:32 - 00:01:33] 反正我这个歌啊
[00:01:33 - 00:01:34] 我硬扣来
[00:01:34 - 00:01:35] 我是扣不了的
[00:01:35 - 00:01:36] 你能扣吗
[00:01:36 - 00:01:39] 我原来是可以扣的
[00:01:39 - 00:01:42] 但是后来发现有了蹦床之后呢
[00:01:42 - 00:01:43] 我就不扣了
[00:01:43 - 00:01:44] 我就踩着蹦床扣了
[00:01:44 - 00:01:46] 扣得更容易了是不是
[00:01:46 - 00:01:46] 对对对
[00:01:46 - 00:01:46] 好好好
[00:01:46 - 00:01:47] 请坐请坐请坐
[00:01:49 - 00:01:50] 王老师
[00:01:50 - 00:01:54] 你们这个花式篮球是什么叫花式篮球啊
[00:01:55 - 00:01:58] 花式篮球其实通俗点讲就是玩球
[00:01:58 - 00:01:59] 玩球是吧
[00:01:59 - 00:02:03] 就是非正常的去打比赛
[00:02:03 - 00:02:06] 然后可以拿着球去转球啊
[00:02:06 - 00:02:09] 包括去做一些花式的运球啊
[00:02:09 - 00:02:11] 包括做一些花式的扣篮动作啊
[00:02:11 - 00:02:13] 这些都统成为华式篮球
[00:02:26 - 00:02:27] 转一个我看
[00:02:27 - 00:02:28] 可以
[00:02:28 - 00:02:30] 这就可以转
[00:02:30 - 00:02:32] 说转就转
[00:02:32 - 00:02:32] 说转就转
[00:02:34 - 00:02:35] 哎呀 意思
[00:02:35 - 00:02:37] 这玩意能有技巧吗
[00:02:37 - 00:02:38] 有技巧
[00:02:38 - 00:02:39] 他的技巧其实
[00:02:39 - 00:02:43] 转球算是华式篮球里边比较简单的一个动作
[00:02:43 - 00:02:45] 就是首先你要把这球转起来转稳
[00:02:45 - 00:02:49] 专门钉之后呢找到这个球的一个中心点
[00:02:49 - 00:02:51] 就是他的重心所在的那个点
[00:02:51 - 00:02:53] 然后给他一个缓冲
[00:02:53 - 00:02:54] 他就会落到你的指甲
[00:02:54 - 00:02:55] 来来来
[00:02:55 - 00:02:56] 我试试啊
[00:02:56 - 00:02:58] 哈哈哈哈
[00:02:58 - 00:03:01] 这个我试生功了的话咱们下次不要那边
[00:03:01 - 00:03:02] 我我我我先给你鼓掌
[00:03:02 - 00:03:04] 如果水平还可以的话
[00:03:04 - 00:03:06] 我考虑让张老师改行一下
[00:03:06 - 00:03:08] 啊就是就是下次下次
[00:03:08 - 00:03:09] 你们别带我一个呗
[00:03:09 - 00:03:10] 没问题
[00:03:10 - 00:03:12] 真正刻出来一下我们重量级的嘉宾
[00:03:12 - 00:03:13] 是吧
[00:03:13 - 00:03:14] 那我那我转了啊
[00:03:14 - 00:03:16] 这个对我没干过
[00:03:16 - 00:03:18] 我平时我也不那么拿着
[00:03:18 - 00:03:18] 但是我手很大
[00:03:18 - 00:03:19] 你看我打球
[00:03:19 - 00:03:21] 其实我觉得您可以先体验一下
[00:03:21 - 00:03:23] 我转起来放到您的指尖上
[00:03:23 - 00:03:24] 您看一看
[00:03:24 - 00:03:25] 感觉怎么样
[00:03:25 - 00:03:26] 对
[00:03:26 - 00:03:27] 你看我这条件怎么样
[00:03:27 - 00:03:28] 我先说我这
[00:03:28 - 00:03:28] 先去个牛
[00:03:28 - 00:03:29] 你告诉我条件怎么样
[00:03:29 - 00:03:31] 这个先尖条件是够了
[00:03:31 - 00:03:31] 可以了
[00:03:31 - 00:03:32] 来来来
[00:03:32 - 00:03:33] 来来来
[00:03:33 - 00:03:33] 咱感受一下
[00:03:33 - 00:03:34] 好
[00:03:35 - 00:03:36] 来
[00:03:36 - 00:03:36] 手指
[00:03:36 - 00:03:37] 来
[00:03:37 - 00:03:38] 哎别动
[00:03:38 - 00:03:38] 稳一点
[00:03:43 - 00:03:44] 哎可以可以
[00:03:44 - 00:03:44] 不错不错
[00:03:44 - 00:03:46] 不错不错
[00:03:46 - 00:03:48] 这还用这还用算这太狂面了了
[00:03:48 - 00:03:51] 咱除了钻头还有那个蹦床的扣篮表演
[00:03:51 - 00:03:53] 对其实我们这个团队呢
[00:03:53 - 00:03:56] 蹦床扣篮才是我们主要的一个表演形式
[00:03:56 - 00:03:57] 哦
[00:03:57 - 00:03:58] 那你像平时就是那个我们看
[00:03:58 - 00:04:00] 然后CBA包括春晚
[00:04:00 - 00:04:00] 对
[00:04:00 - 00:04:02] 都有那种扣篮表演是吧
[00:04:02 - 00:04:02] 是吧
[00:04:02 - 00:04:02] 是吧
[00:04:02 - 00:04:03] 就是那种
[00:04:03 - 00:04:04] 那春晚那种
[00:04:04 - 00:04:06] 哎你我听说你们好像是
[00:04:06 - 00:04:07] 就是春晚扣篮就是你们是吧
[00:04:07 - 00:04:08] 是
[00:04:08 - 00:04:11] 对我们在2018年和2019年
[00:04:11 - 00:04:12] 两年的央视春晚
[00:04:12 - 00:04:14] 然后我们都参与了
[00:04:14 - 00:04:17] 然后19年的这个节目呢
[00:04:17 - 00:04:19] 可能就是大家印象更深刻一些
[00:04:19 - 00:04:22] 因为我们也是抱了两个明星的大腿
[00:04:22 - 00:04:22] 哦
[00:04:22 - 00:04:26] 就让青春演戏白飞越起海
[00:04:26 - 00:04:38] 就像浪渡过的窗开
[00:04:38 - 00:04:41] 就是有李一峰和周一龙和我们一起
[00:04:41 - 00:04:44] 然后出演了这样的一个以篮球为主题的节目
[00:04:44 - 00:04:48] 但是我觉得你看他们两个最多叫篮球爱好者
[00:04:48 - 00:04:51] 然后的话呢肯定不是跟专一队员吧
[00:04:51 - 00:04:52] 他的专一是演员对不对
[00:04:52 - 00:04:56] 那像专业爱好者的话基本上培训培训基本上都可以做这样的
[00:04:56 - 00:04:59] 一些简单的动作是可以完成的
[00:04:59 - 00:05:02] 那像如果说我想成为一个咱们滑雪篮球的一个运动员
[00:05:02 - 00:05:04] 或者说一个表演者的话
[00:05:04 - 00:05:08] 我应该先会打球还是应该先会不闯
[00:05:08 - 00:05:12] 我觉得在蹦跚后篮这个项目上面
[00:05:12 - 00:05:14] 其实我们对于篮球的基本功
[00:05:14 - 00:05:17] 就是要求的也并不是那么高
[00:05:17 - 00:05:21] 但是对于本身的身体素质和你的这种协调性
[00:05:21 - 00:05:23] 和你这种运动能力
[00:05:23 - 00:05:25] 其实这些还是有一定要求的
[00:05:25 - 00:05:26] 因为其实
