BV号：BV1FJ411x7Rc
标题：BV1FJ411x7Rc
链接：https://www.bilibili.com/video/BV1FJ411x7Rc
识别语言：zh
语言置信度：1
分段数：24
生成时间：2026-04-04 04:30:39

[00:00:00 - 00:00:01] 那老师能不能补夸专业呢
[00:00:01 - 00:00:02] 为什么去通信
[00:00:02 - 00:00:04] 老师 我爸就干这个的
[00:00:04 - 00:00:05] 当年在天气专业的时候
[00:00:05 - 00:00:07] 他也给我添起了这个专业
[00:00:07 - 00:00:09] 希望我们负责两个一个行业
[00:00:09 - 00:00:10] 将来我工作的时候
[00:00:10 - 00:00:12] 不管是工作上技术上的支持
[00:00:12 - 00:00:13] 还是人脉的大界
[00:00:13 - 00:00:15] 都可以给我铺铺路搭大桥
[00:00:15 - 00:00:16] 是不是很正常
[00:00:16 - 00:00:16] 对吧
[00:00:17 - 00:00:18] 但是发生什么事情了
[00:00:18 - 00:00:20] 我在本科阶段学习工程当中
[00:00:20 - 00:00:21] 我发现咱们这个专业
[00:00:21 - 00:00:23] 想要长足进度和发展的话
[00:00:23 - 00:00:25] 一个本科生的学历够吗
[00:00:25 - 00:00:27] 是越越不够的
[00:00:27 - 00:00:28] 所以今天我决定考咱们学校
[00:00:28 - 00:00:29] 这个专业的研究生
[00:00:29 - 00:00:31] 如果在那世界发现有需要的话
[00:00:31 - 00:00:33] 甚至有可能我考虑会考博士
[00:00:35 - 00:00:36] 满分答案
[00:00:36 - 00:00:36] 知道吗
