BV号：BV1cx411a7q2
标题：BV1cx411a7q2
链接：https://www.bilibili.com/video/BV1cx411a7q2
识别语言：zh
语言置信度：1
分段数：23
生成时间：2026-04-04 12:53:50

[00:00:05 - 00:00:07] 大家在报社会里面说尽量
[00:00:07 - 00:00:08] 又不要以专业为导向
[00:00:08 - 00:00:10] 也不要以学学为导向
[00:00:13 - 00:00:14] 这个报考的情况
[00:00:14 - 00:00:16] 哪个学校分又低
[00:00:16 - 00:00:17] 将来就要有好
[00:00:22 - 00:00:23] 你这个大学的氛围
[00:00:23 - 00:00:25] 你怎么去读这个大学
[00:00:25 - 00:00:26] 比你上什么大学
[00:00:26 - 00:00:27] 我个人觉得要动了
[00:00:27 - 00:00:30] 一个孩子他未来发展会发展什么样
[00:00:30 - 00:00:32] 他怎么上的这个大学
[00:00:32 - 00:00:33] 比他上什么大学要动了
[00:00:38 - 00:00:39] 一个学校
[00:00:39 - 00:00:43] 他如果说从考研或者保研的比例来讲
[00:00:43 - 00:00:44] 你说这个21和985
[00:00:44 - 00:00:45] 这个名头有什么用
[00:00:46 - 00:00:50] 实际上的话我觉得大家选择的时候
[00:00:50 - 00:00:52] 首先就业
[00:00:52 - 00:00:54] 从就业的范围来讲
[00:00:54 - 00:00:55] 从中前的范围来讲
[00:00:55 - 00:00:56] 因为你提到一个非常关键的词
[00:00:56 - 00:00:57] 就叫做中前
