BV号：BV1i7411s7zG
标题：BV1i7411s7zG
链接：https://www.bilibili.com/video/BV1i7411s7zG
识别语言：zh
语言置信度：1
分段数：304
生成时间：2026-04-04 03:20:21

[00:00:02 - 00:00:06] 哎 邝老师啊 这个很多对于学法律的人来讲
[00:00:06 - 00:00:08] 包括说对于我们的性格外行人来讲
[00:00:08 - 00:00:11] 对于律师呢 都有一个所谓的普遍的认识
[00:00:11 - 00:00:14] 就说律师都是有钱人
[00:00:14 - 00:00:16] 律师永远都是重产阶级的
[00:00:16 - 00:00:20] 你你你我一直说如果你真的想挣钱的话就别当我说
[00:00:20 - 00:00:22] 哎 律师挣的都是辛苦钱
[00:00:22 - 00:00:24] 你这样挣钱
[00:00:24 - 00:00:26] 你说我们干啥行业挣的不是辛苦钱
[00:00:26 - 00:00:37] 大家好 欢迎收看小新度B透过秀大开眼界
[00:00:37 - 00:00:39] 我是让许希编的更快乐的张雪峰老师
[00:00:39 - 00:00:43] 我们本期抢头的嘉宾的意愿是我们通商律师事务所的合伙人
[00:00:43 - 00:00:44] 我们的工程老师
[00:00:44 - 00:00:45] 工程老师跟大家打个招呼
[00:00:45 - 00:00:46] 哈喽 大家好
[00:00:46 - 00:00:47] 来 工程老师啊
[00:00:47 - 00:00:50] 这个很多对于学法律的人来讲
[00:00:50 - 00:00:52] 包括说对于我们这种外行人来讲
[00:00:52 - 00:00:53] 对律师呢
[00:00:53 - 00:00:55] 都有一个所谓普遍的认识
[00:00:55 - 00:01:00] 就说律师都是有钱人
[00:01:00 - 00:01:02] 我想问一下是这样子吗
[00:01:02 - 00:01:04] 做的非常好的律师
[00:01:04 - 00:01:06] 确实很有钱
[00:01:06 - 00:01:09] 但是律师行业是一个符合
[00:01:09 - 00:01:10] 有一个28定律
[00:01:10 - 00:01:13] 就是20%的人赚走了80%的钱
[00:01:13 - 00:01:15] 剩下80%的人
[00:01:15 - 00:01:16] 剩下20%的钱
[00:01:16 - 00:01:17] 对
[00:01:17 - 00:01:18] 复合这个定律
[00:01:18 - 00:01:20] 就是它基本上就是要么就很极端
[00:01:20 - 00:01:22] 要么就是特别挣钱
[00:01:22 - 00:01:25] 要么就是可能没有大家想象的那么光鲜
[00:01:25 - 00:01:26] 对
[00:01:26 - 00:01:28] 于是或者说大多数人
[00:01:28 - 00:01:30] 不管是你是出入行
[00:01:30 - 00:01:32] 也有做了很长时间的
[00:01:32 - 00:01:35] 尤其是你不在12线城市的话
[00:01:35 - 00:01:37] 你可能收入是有限的
[00:01:37 - 00:01:38] 嗯
[00:01:38 - 00:01:43] 但是你的在一二线城市顶级的律所的非常好的律师
[00:01:43 - 00:01:45] 可以说是非常非常正前的
[00:01:45 - 00:01:46] 我们上一期节目所谈到的
[00:01:46 - 00:01:47] 加上有个实际律师
[00:01:47 - 00:01:51] 或者说是一个三年一个普通一个律师
[00:01:51 - 00:01:52] 大概他的输入大根都能说好呢
[00:01:52 - 00:01:53] 入门的话
[00:01:53 - 00:01:56] 你从一个中等的律师输入所
[00:01:56 - 00:01:58] 或者是相对好一点的律师输入所
[00:01:58 - 00:02:02] 入门可能是从年输入在十万期
[00:02:02 - 00:02:05] 然后逐渐的往上走
[00:02:05 - 00:02:06] 您说的是北京的
[00:02:06 - 00:02:09] 我可能只了解北京上海吧
[00:02:09 - 00:02:10] 就是这种一线城市
[00:02:10 - 00:02:11] 对 一线城市
[00:02:11 - 00:02:12] 对
[00:02:12 - 00:02:15] 你可能是10万或者是15万往上骑
[00:02:15 - 00:02:18] 一个相对中等往上的锁
[00:02:18 - 00:02:19] 中等往上
[00:02:19 - 00:02:19] 对
[00:02:19 - 00:02:20] 然后再高级一点呢
[00:02:20 - 00:02:22] 高级一点
[00:02:22 - 00:02:26] 现在有一个说法是相对好一点的锁
[00:02:26 - 00:02:27] 我们管它叫红旋锁
[00:02:27 - 00:02:29] 就是Red Circle
[00:02:29 - 00:02:31] 可能是做一些室外业务多一点的
[00:02:31 - 00:02:32] 免资率是15所
[00:02:32 - 00:02:33] 还有一个2万元据得不
[00:02:33 - 00:02:36] 工资是月薪在2万
[00:02:36 - 00:02:37] 那这样的话
[00:02:37 - 00:02:38] 你算下来一年
[00:02:38 - 00:02:40] 可能7788算下来
[00:02:40 - 00:02:42] 税钱应该在将近30万
[00:02:42 - 00:02:44] 30万
[00:02:44 - 00:02:47] 北上广深可能错货够活
[00:02:47 - 00:02:48] 也没有
[00:02:48 - 00:02:50] 那么
[00:02:50 - 00:02:52] 是 因为律师是这样
[00:02:52 - 00:02:54] 律师他即使是我说
[00:02:54 - 00:02:57] 最一线的最好的贺后人
[00:02:57 - 00:02:59] 最大牌的贺后人
[00:02:59 - 00:03:02] 我相信他也还是中水
[00:03:02 - 00:03:04] 对 律师永远都是中产阶级
[00:03:04 - 00:03:07] 你放到国内是中产阶级
[00:03:07 - 00:03:09] 你放到美国其实也是中产阶级
[00:03:09 - 00:03:12] 你做的很好的律师可能算是上中产
[00:03:12 - 00:03:16] 对吧 你在美国可能有达号
[00:03:16 - 00:03:18] 有豪车
[00:03:18 - 00:03:21] 但实际上还不是这种特别有钱的不好
[00:03:21 - 00:03:23] 但我觉得好像就是
[00:03:23 - 00:03:24] 就像我们在看一些电视剧的时候
[00:03:24 - 00:03:25] 我们总觉得律师好像是
[00:03:25 - 00:03:27] 哇 特别有钱
[00:03:27 - 00:03:30] 我觉得不比所谓的老板差
[00:03:30 - 00:03:34] 大多数还是有一定的差距的
[00:03:34 - 00:03:37] 我只是说如果你真的想挣钱的话就别当了
[00:03:38 - 00:03:39] 律师挣的都是辛苦钱
[00:03:40 - 00:03:41] 你这个酒吧
[00:03:41 - 00:03:44] 你说我们干啥行业挣的不是辛苦钱
[00:03:44 - 00:03:45] 你都会辛苦钱
[00:03:45 - 00:03:47] 律师来说的话
[00:03:47 - 00:03:49] 加起来我也说了有二八定律了
[00:03:49 - 00:03:51] 做的比较好的
[00:03:51 - 00:03:53] 做的像做飞速
[00:03:53 - 00:03:55] 飞速的团队比较好的顶尖的
[00:03:55 - 00:03:57] 在北京比较顶尖的团队
[00:03:57 - 00:04:01] 一个团队一年的律师费收入
[00:04:01 - 00:04:03] 应该在2000到3000万左右
[00:04:04 - 00:04:05] 但是他的团队很大
[00:04:05 - 00:04:07] 他的团队可能要20人左右
[00:04:08 - 00:04:10] 王上啊,2000万25
[00:04:10 - 00:04:11] 一人金下来
[00:04:13 - 00:04:15] 也不少了,一人一台
[00:04:15 - 00:04:16] 老板会拿的很多
[00:04:16 - 00:04:18] 我对势老板就喝不着
[00:04:18 - 00:04:21] 全亿后户人会拿的很多
[00:04:21 - 00:04:23] 我刚才也说了你这个N-TRAVEL
[00:04:23 - 00:04:24] 两万元去罗波
[00:04:24 - 00:04:25] 你放上来可能是二三十万
[00:04:25 - 00:04:28] 就是你的毕业生
[00:04:28 - 00:04:31] 或者是12年级的律师的收入
[00:04:31 - 00:04:33] 那你要是往上一点的话
[00:04:33 - 00:04:35] 你可能做到合伙人
[00:04:35 - 00:04:38] 做到合伙人一般的工资合伙人
[00:04:38 - 00:04:40] 你可能收入到50到120
[00:04:40 - 00:04:43] 150基本上是这么一个数字
[00:04:43 - 00:04:44] 你要再往上的话
[00:04:44 - 00:04:47] 要靠你做权益合伙人
[00:04:47 - 00:04:49] 你真的是做了很多的业务
