BV号：BV1eW411h73G
标题：BV1eW411h73G
链接：https://www.bilibili.com/video/BV1eW411h73G
识别语言：zh
语言置信度：1
分段数：253
生成时间：2026-04-04 12:04:37

[00:00:00 - 00:00:02] 大家好我是张雪峰老师
[00:00:02 - 00:00:06] 那么前一阶段呢在这个互联卫视录了一个节目叫快乐大本营
[00:00:06 - 00:00:12] 然后的话在中间的有一段关于我比较反感求职者问什么样问题的这一个环节上的
[00:00:12 - 00:00:15] 我说我比较反感求职者问无限一级的问题
[00:00:15 - 00:00:18] 这一段话呢在网上引起了极大的争论和意义
[00:00:18 - 00:00:21] 基本上呢我已经被喷的给喷成塞子了啊
[00:00:21 - 00:00:25] 那么咱们今天呢录这么一个视频给大家来解读来解释一下
[00:00:25 - 00:00:28] 当时我在说这段话的时候我是怎么想的
[00:00:28 - 00:00:29] 以及的话就是从求职的角度来讲
[00:00:29 - 00:00:32] 或者说从你自己的角度来讲
[00:00:32 - 00:00:33] 你怎么能够发展的更好一些
[00:00:34 - 00:00:35] 那么首先我在节目当中
[00:00:35 - 00:00:36] 我要澄清一点
[00:00:36 - 00:00:40] 我并没有说我不给员工上无嫌易经
[00:00:40 - 00:00:41] 我什么时候说过这句话
[00:00:41 - 00:00:43] 我说我不给员工上无嫌易经
[00:00:43 - 00:00:45] 没有过是你自己理解的
[00:00:45 - 00:00:48] 而根据中华人民共和国劳动法的规定
[00:00:48 - 00:00:50] 无嫌易经是企业必须得给员工上的
[00:00:50 - 00:00:53] 很多朋友在网上喷我说我是个法盲
[00:00:53 - 00:00:54] 不好意思
[00:00:54 - 00:00:55] 我还真不是法盲
[00:00:55 - 00:00:56] 因为我北京和苏州两家公司
[00:00:56 - 00:00:59] 没有抽签过任何一起劳动仲裁案件
[00:00:59 - 00:01:02] 因为我暗示给我的员工叫那无险一斤
[00:01:02 - 00:01:03] 那么我试问一下
[00:01:03 - 00:01:07] 在企业肯定会给你缴纳这种无险一斤的时候
[00:01:07 - 00:01:09] 你为什么要在面试的时候问他呢
[00:01:09 - 00:01:11] 你现在于是浪费了一个问题
[00:01:11 - 00:01:14] 浪费了一个让面试官了解你的一个机会
[00:01:14 - 00:01:16] 各位朋友你试想一下
[00:01:16 - 00:01:18] 如果你是一个面试官
[00:01:18 - 00:01:19] 你现在问两个人
[00:01:19 - 00:01:20] 一个人跟你说
[00:01:20 - 00:01:22] 我想问一下有没有无险一斤
[00:01:22 - 00:01:23] 你明明有他还在这问
[00:01:23 - 00:01:24] 另外一个人说
[00:01:24 - 00:01:24] 我想问一下
[00:01:24 - 00:01:26] 我到企业当中我怎么才能发展得更好
[00:01:26 - 00:01:28] 我的升职加薪通道是什么样的
[00:01:28 - 00:01:30] 你更喜欢哪一种
[00:01:31 - 00:01:32] 我相信你们也肯定会喜欢下一种
[00:01:32 - 00:01:33] 对不对
[00:01:33 - 00:01:34] 所以说无限一因这个东西
[00:01:34 - 00:01:36] 它是一个企业必须有的
[00:01:36 - 00:01:37] 它一定会有
[00:01:37 - 00:01:39] 你就没有必要去问它
[00:01:39 - 00:01:40] 这是第一点
[00:01:40 - 00:01:40] 第二点
[00:01:40 - 00:01:42] 关于加班费的问题
[00:01:42 - 00:01:44] 加班费加班分成很多种
[00:01:44 - 00:01:45] 有三种加班
[00:01:45 - 00:01:48] 第一种加班叫做你自己的工作没干完
[00:01:48 - 00:01:50] 然后的话需要加班给他完成
[00:01:50 - 00:01:51] 第二种加班叫做老板的压榨
[00:01:51 - 00:01:52] 对吧
[00:01:52 - 00:01:53] 第三种加班叫做
[00:01:53 - 00:01:55] 你自己主动要去加班
[00:01:55 - 00:01:57] 说实话我也比较讨厌老板的压榨
[00:01:57 - 00:02:00] 因为我自己也曾经遭到过老板的压榨
[00:02:00 - 00:02:02] 我想跟大家说一下加班是什么
[00:02:02 - 00:02:04] 加班是一种态度
[00:02:04 - 00:02:05] 试问各位朋友
[00:02:05 - 00:02:07] 如果说你现在干了一个企业
[00:02:07 - 00:02:08] 你招聘了一个员工
[00:02:08 - 00:02:11] 6点下班他5点59就站在打卡机面前
[00:02:11 - 00:02:12] 准备打卡往家冲的话
[00:02:12 - 00:02:14] 这种员工你还要吗
[00:02:14 - 00:02:16] 你也不要对不对
[00:02:16 - 00:02:17] 但是我告诉大家在现实生活当中
[00:02:17 - 00:02:20] 确实有很多这样的人去这样做
[00:02:20 - 00:02:22] 所以说你一直就是一个普通的员工
[00:02:22 - 00:02:24] 而你找老师我怎么才能够进步
