BV号：BV12Y411i7a5
标题：BV12Y411i7a5
链接：https://www.bilibili.com/video/BV12Y411i7a5
识别语言：zh
语言置信度：1
分段数：30
生成时间：2026-04-03 16:12:03

[00:00:00 - 00:00:01] 老師我們家是河北的
[00:00:01 - 00:00:03] 我上武漢大學的那個武家賽
[00:00:03 - 00:00:05] 我就想到天津一科大學
[00:00:05 - 00:00:06] 附屬醫院去當醫生
[00:00:06 - 00:00:09] 我告訴你概率不大
[00:00:09 - 00:00:12] 因為醫學這個轉業就業地域性極強
[00:00:12 - 00:00:15] 你基本上在哪上學
[00:00:15 - 00:00:18] 大概率在那個學校所在的省範圍就業
[00:00:18 - 00:00:21] 跨省就業概率不到20%
[00:00:21 - 00:00:22] 實際上的話
[00:00:22 - 00:00:23] 你最後說
[00:00:23 - 00:00:25] 老師我就是覺得酒吧股就是比什麼
[00:00:25 - 00:00:27] R1L和雙肺院效率好
[00:00:27 - 00:00:29] 实际上在医院就业的时候
[00:00:29 - 00:00:30] 真不一定这样
[00:00:30 - 00:00:31] 你以为说老师
[00:00:31 - 00:00:32] 我医学我报985
[00:00:32 - 00:00:34] 我能跨区域横扫
[00:00:34 - 00:00:37] 其实基本上是不能的
[00:00:37 - 00:00:39] 它地域性极强
[00:00:39 - 00:00:40] 因为医学讲究什么
[00:00:40 - 00:00:43] 两个字叫传承
[00:00:43 - 00:00:43] 所以说
[00:00:43 - 00:00:44] 你说老师
[00:00:44 - 00:00:45] 它是不是什么985
[00:00:45 - 00:00:46] 221
[00:00:46 - 00:00:47] 我跟你说
[00:00:47 - 00:00:47] 更一样
[00:00:47 - 00:00:49] 传承
[00:00:49 - 00:00:50] 你知道吧
