BV号：BV1eL4y1v7vn
标题：BV1eL4y1v7vn
链接：https://www.bilibili.com/video/BV1eL4y1v7vn
识别语言：zh
语言置信度：1
分段数：38
生成时间：2026-04-03 21:33:51

[00:00:00 - 00:00:02] 今天呢我们聊个很有趣的话题啊
[00:00:02 - 00:00:06] 就是谈恋爱还需要手把手的交吗
[00:00:06 - 00:00:09] 谈恋爱需要系统的去学习吗
[00:00:09 - 00:00:11] 最近啊温乐大学开设了一门叫做
[00:00:11 - 00:00:14] 跟美好的爱情说嗨嗨的恋爱选修课
[00:00:14 - 00:00:16] 哎呀老火爆了
[00:00:16 - 00:00:18] 都快感到我考研讲做了啊
[00:00:18 - 00:00:20] 这个据说爆没人说啊都超过了800人
[00:00:20 - 00:00:22] 但是最后呢因为场所及防空限制
[00:00:22 - 00:00:24] 只有50位同学呢抢到了这个机会
[00:00:24 - 00:00:26] 其中呢男生居多
[00:00:26 - 00:00:29] 事后呢统计发现大部分的同学啊
[00:00:29 - 00:00:33] 参加的原因是上大学不知道怎么和女生相处
[00:00:33 - 00:00:35] 这有的人说说恋爱是自个儿的事儿
[00:00:35 - 00:00:35] 对吧
[00:00:35 - 00:00:37] 这每个人是不同的个体
[00:00:37 - 00:00:40] 那你谈对象和我谈对象又不是一个人
[00:00:40 - 00:00:41] 这怎么能系统学习嘛
[00:00:41 - 00:00:42] 对吧
[00:00:42 - 00:00:43] 那有那种傲娇的女生
[00:00:43 - 00:00:43] 对吧
[00:00:43 - 00:00:47] 也有那种就是希望就是背就是
[00:00:47 - 00:00:48] 希望有人保护的女生
[00:00:48 - 00:00:48] 对吧
[00:00:48 - 00:00:49] 你说你这个
[00:00:49 - 00:00:51] 这怎么能系统学习呢
[00:00:51 - 00:00:51] 哎
[00:00:51 - 00:00:54] 但是还有人说说学习在恋爱当中
[00:00:54 - 00:00:57] 怎样处理亲密关系学会自我保护
[00:00:57 - 00:00:58] 这是件好事
[00:00:58 - 00:01:00] 你看这每个人的想法都有所不同
[00:01:00 - 00:01:01] 那你是支持呢
[00:01:01 - 00:01:02] 还是不支持呢
[00:01:02 - 00:01:03] 把想法留在评论区
[00:01:03 - 00:01:04] 我们一起来投论
[00:01:04 - 00:01:06] 我上学期变得更快乐的张雪芳老师
[00:01:06 - 00:01:07] 记得点赞
[00:01:07 - 00:01:08] 持续关注哦
