BV号：BV1CK4y1U71b
标题：BV1CK4y1U71b
链接：https://www.bilibili.com/video/BV1CK4y1U71b
识别语言：zh
语言置信度：1
分段数：90
生成时间：2026-04-04 00:46:57

[00:00:00 - 00:00:03] 足不出戶 线上旅游过春节第三弹
[00:00:03 - 00:00:06] 前一晚享受了冰岛的夜生活
[00:00:06 - 00:00:07] 太兴奋了是不是
[00:00:07 - 00:00:08] 也有点疲劳
[00:00:08 - 00:00:11] 咱们今天一起看点可爱的动物
[00:00:11 - 00:00:12] 咱们治愈一下
[00:00:12 - 00:00:14] 在晒一冰岛介绍中
[00:00:14 - 00:00:16] 介绍了很多在冰岛期期的
[00:00:16 - 00:00:19] 具有当地专属特色的小动物
[00:00:19 - 00:00:20] 给我一项最深的
[00:00:20 - 00:00:21] 就是冰岛马
[00:00:21 - 00:00:22] 大家可以看一下
[00:00:22 - 00:00:23] 我的天啊
[00:00:23 - 00:00:24] 反正我第一次看完以后
[00:00:24 - 00:00:25] 我就觉得
[00:00:25 - 00:00:27] 这是一个太可爱的治愈系的动物了
[00:00:27 - 00:00:29] 冰岛马虽然叫冰岛马
[00:00:29 - 00:00:32] 但是它不是原產於冰島的
[00:00:32 - 00:00:33] 公務員874年
[00:00:33 - 00:00:35] 隨著第一批維京人定居冰島開始
[00:00:35 - 00:00:38] 冰島馬才被帶入到的冰島
[00:00:38 - 00:00:39] 冰島馬的祖先
[00:00:39 - 00:00:42] 是挪威以及其他的本有國家的
[00:00:42 - 00:00:43] 因為那個時候
[00:00:43 - 00:00:44] 你想它一艘船
[00:00:44 - 00:00:45] 它地方比較有限
[00:00:45 - 00:00:47] 所以說能夠帶到冰島來的動物
[00:00:47 - 00:00:50] 絕對都是最優秀最強壯的動物
[00:00:50 - 00:00:51] 這些冰島馬
[00:00:51 - 00:00:54] 陪伴人們經歷過萬分艱難的冬季
[00:00:54 - 00:00:56] 饑餓和多次火山爆發
[00:00:56 - 00:00:59] 在这饱受自然魔力的岛屿上坚强的生活下来
[00:00:59 - 00:01:01] 繁衍生息
[00:01:01 - 00:01:04] 而现在的冰岛马已经丧失了战斗和逃亡的本能
[00:01:04 - 00:01:06] 虽然说不容易受到惊吓
[00:01:06 - 00:01:09] 但是也几乎没有提人攻击的倾向
[00:01:09 - 00:01:12] 冰岛的孩子们甚至快在麻渡的底下钻来钻去
[00:01:12 - 00:01:14] 你也不用担心任何意外会发生
[00:01:14 - 00:01:17] 自从维京人来冰岛1000多年以来
[00:01:17 - 00:01:20] 冰岛马就不曾跟其他的品种交配过
[00:01:20 - 00:01:23] 是实际上保持血统最纯正的麻种
[00:01:23 - 00:01:26] 那么为什么冰刀马不与其他马来进行配种呢
[00:01:26 - 00:01:29] 那是因为在公园982年
[00:01:29 - 00:01:33] 冰刀议会就通过了保障冰刀马血统纯正的法案
[00:01:33 - 00:01:35] 严禁马匹进口
[00:01:35 - 00:01:39] 也规定了冰刀马一旦离开冰刀的国境
[00:01:39 - 00:01:41] 就不能再返回冰刀
[00:01:41 - 00:01:45] 哪怕说被使用过的一些马龙头马鞍也被禁止入境
[00:01:45 - 00:01:47] 在严格的管控之下
[00:01:47 - 00:01:50] 冰刀马非常健康而且很长寿
[00:01:50 - 00:01:53] 他们的平均寿命长达25岁到30岁
[00:01:53 - 00:01:55] 历史上最常受的冰刀马
[00:01:55 - 00:01:56] 甚至活到了56岁
[00:01:56 - 00:01:59] 与冰刀马能够相一比的就是冰岛羊的
[00:01:59 - 00:02:02] 同样是十分质疑系的一种动物
[00:02:02 - 00:02:04] 我记得第一次在师庚看到的时候
[00:02:04 - 00:02:05] 我还没忍住发了个微博
[00:02:05 - 00:02:08] 因为这些羊长得特别像成了经的兔子
[00:02:08 - 00:02:10] 你还在耳朵它也不短
[00:02:10 - 00:02:11] 身体胖胖的
[00:02:11 - 00:02:13] 四条腿长而且瘦
[00:02:13 - 00:02:15] 看起来特别的惊悍
[00:02:15 - 00:02:17] 冰刀羊比冰刀马晚一个世纪
[00:02:17 - 00:02:18] 到达冰刀
[00:02:18 - 00:02:19] 跟冰刀马一样
[00:02:19 - 00:02:22] 到了冰刀以后被法律保护的非常好
[00:02:22 - 00:02:23] 与外界零接触
[00:02:23 - 00:02:25] 保证了品种的纯正
[00:02:25 - 00:02:28] 所以说现在冰岛草原上你看到的羊
[00:02:28 - 00:02:31] 跟1000多年前的羊其实是一模一样的
[00:02:31 - 00:02:32] 在过去
[00:02:32 - 00:02:33] 冰岛羊为冰岛人的祖先
[00:02:33 - 00:02:36] 提供羊肉和羊奶作为过冬的食物
[00:02:36 - 00:02:37] 因此
[00:02:37 - 00:02:41] 羊是冰岛人能够在恶劣环境下生存的条件之一
[00:02:41 - 00:02:42] 如今
[00:02:42 - 00:02:44] 羊肉在冰岛人的饮食当中
[00:02:44 - 00:02:46] 占比依然非常的高
[00:02:46 - 00:02:49] 80%的羊会成为餐桌上的美食
[00:02:49 - 00:02:51] 冰岛羊吃的是天然的木草
[00:02:51 - 00:02:54] 喝的是冰水融化或以后的纯净吸水
[00:02:54 - 00:02:57] 从不会被喂一些古物啊
[00:02:57 - 00:02:57] 鸡料啊
[00:02:57 - 00:02:59] 也从不打抗生素等药品
[00:02:59 - 00:03:00] 因此
[00:03:00 - 00:03:01] 肉质纹理非常的细腻
[00:03:01 - 00:03:02] 口感呢
[00:03:02 - 00:03:04] 柔嫩而不肥
[00:03:04 - 00:03:05] 相当好吃
[00:03:06 - 00:03:07] 反正我是没吃过
