BV号：BV1Mc411u7Wm
标题：BV1Mc411u7Wm
链接：https://www.bilibili.com/video/BV1Mc411u7Wm
识别语言：zh
语言置信度：1
分段数：80
生成时间：2026-04-03 14:29:24

[00:00:00 - 00:00:01] 最近我就琢磨
[00:00:01 - 00:00:03] 抱歉这个事和旅游还是有点相似的
[00:00:03 - 00:00:03] 你想吧
[00:00:03 - 00:00:05] 旅游资源丰富的城市
[00:00:05 - 00:00:06] 是不是热度就更高一点
[00:00:06 - 00:00:07] 报告也是一样
[00:00:07 - 00:00:09] 来高总教育资源越丰富的城市
[00:00:09 - 00:00:09] 这也就越关注
[00:00:09 - 00:00:10] 就说西安吧
[00:00:10 - 00:00:12] 教育资源在全国来说都算靠谐的
[00:00:12 - 00:00:14] 不光那些985、221
[00:00:14 - 00:00:15] 哪怕是双非
[00:00:15 - 00:00:16] 教育的质量也都是很不错的
[00:00:16 - 00:00:18] 今天又给大家推荐了几首高校的
[00:00:18 - 00:00:19] 就是一所位于西安的
[00:00:19 - 00:00:21] 性价比很高的本台人院校
[00:00:21 - 00:00:23] 叫西安工程大学
[00:00:23 - 00:00:24] 光听名字可能不知道
[00:00:24 - 00:00:26] 这个学校到底是干什么的
[00:00:26 - 00:00:28] 不过你看他的历史你就明白了
[00:00:28 - 00:00:30] 人家最早可以追溯到1912年
[00:00:30 - 00:00:33] 后来还参与建了大明经纪的西北联合大学
[00:00:33 - 00:00:35] 1978年独立建效之后
[00:00:35 - 00:00:38] 又成了原访职工业部的执属的
[00:00:38 - 00:00:39] 八统一条之一
[00:00:39 - 00:00:40] 说到这儿相信大家都清楚来了
[00:00:40 - 00:00:43] 西工城它的特色就是访职
[00:00:43 - 00:00:45] 100多年发展下来
[00:00:45 - 00:00:47] 人家也算是访职这块的老牌名校了
[00:00:47 - 00:00:48] 我就说一条
[00:00:48 - 00:00:50] 人家在访职领域有本校毕业
[00:00:50 - 00:00:53] 本校任教完全自治培养的院士
[00:00:53 - 00:00:57] 就凭这一点西红糖在人才培养这一块就已经难年了
[00:00:57 - 00:01:00] 之前咱们也说过如果说一个学校仿佛厉害
[00:01:00 - 00:01:02] 那什么专业基本上它也不会成啥呢
[00:01:02 - 00:01:04] 像它的计算机科学技术
[00:01:04 - 00:01:05] 电器工程及其自动化
[00:01:05 - 00:01:06] 机械工程
[00:01:06 - 00:01:08] 服装与服饰设计等等
[00:01:08 - 00:01:11] 这些相关专业全都是一流本科专业
[00:01:11 - 00:01:14] 现在全校20多个一流专业里面
[00:01:14 - 00:01:17] 不仅包括了电子信息 软件 自动化等等
[00:01:17 - 00:01:19] 这些论文理工科专业
[00:01:19 - 00:01:22] 英语工商管理这种人文管理类的专业里也有
[00:01:22 - 00:01:25] 理工类比较突出其他的也不差
[00:01:25 - 00:01:27] 可不是有些人想的只有仿之巧
[00:01:27 - 00:01:29] 再着重看一下艺术这一块
[00:01:29 - 00:01:31] 西工城这方面的实力也是相当出厚
[00:01:31 - 00:01:34] 中国最早的服装专业硕士点
[00:01:34 - 00:01:35] 就是在这个学校
[00:01:35 - 00:01:37] 学生在各种艺术类大赛里边
[00:01:37 - 00:01:39] 也拿到过很多大奖的
[00:01:39 - 00:01:41] 去年他的艺术类竞赛获奖
[00:01:41 - 00:01:43] 就排在全国前15%
[00:01:43 - 00:01:44] 反正到现在
[00:01:44 - 00:01:45] 他也不只有服装
[00:01:45 - 00:01:46] 什么动画呀
[00:01:46 - 00:01:47] 呼应主持啊
[00:01:47 - 00:01:48] 编导这些也都有了
[00:01:48 - 00:01:50] 近几年艺术类招生名额也不少
[00:01:50 - 00:01:53] 每年都有一千年左右
[00:01:53 - 00:01:56] 习工程艺术专业里边最牛的服装与服饰设计
[00:01:56 - 00:01:59] 今年还新登了中外合作办学
[00:01:59 - 00:02:01] 艺术考生可别一看名字
[00:02:01 - 00:02:03] 就说工程大学就直接下一所了
[00:02:03 - 00:02:05] 那你就错过了一所好学校了
[00:02:05 - 00:02:07] 另外张老师推荐的这所学校里边里有
[00:02:07 - 00:02:08] 还有一个
[00:02:08 - 00:02:10] 那就是他这几年的发展速度非常快
[00:02:10 - 00:02:13] 2021年学校获批称为博士授予单位
[00:02:13 - 00:02:15] 本朔博已经打通了
[00:02:15 - 00:02:18] 去年学校首次拿下中国专利奖
[00:02:18 - 00:02:21] 据说在第五轮学科评估里边也有很大的突破
[00:02:21 - 00:02:24] 今年工程科学学科又进入到了
[00:02:24 - 00:02:27] EFI全球排名前1%
[00:02:27 - 00:02:28] 可以说一年上一个台阶了
[00:02:28 - 00:02:30] 那么一所实力强
[00:02:30 - 00:02:32] 录取分数还不是很高
[00:02:32 - 00:02:34] 发展又很快的学校
[00:02:34 - 00:02:36] 还是非常建议大家多关注一下的
