BV号：BV1FJ411j7Fh
标题：BV1FJ411j7Fh
链接：https://www.bilibili.com/video/BV1FJ411j7Fh
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-04 03:46:30

[00:00:00 - 00:00:01] 比如有个武林大侠
[00:00:01 - 00:00:02] 特别牛逼
[00:00:02 - 00:00:03] 有50年的内功
[00:00:03 - 00:00:05] 还会有个武功叫九云白鼓掌
[00:00:05 - 00:00:07] 过两天没二十去医院医查
[00:00:07 - 00:00:08] 打一掌
[00:00:08 - 00:00:10] 活不了几天了
[00:00:10 - 00:00:10] 那怎么办呢
[00:00:10 - 00:00:12] 我不能把这个武功回到我的手里
[00:00:12 - 00:00:14] 武林大侠就到处抽土地对吧
[00:00:14 - 00:00:15] 同学
[00:00:15 - 00:00:16] 你见哪个武林大侠
[00:00:16 - 00:00:17] 抽土地的时候
[00:00:17 - 00:00:19] 是出庄卷的考试的
[00:00:19 - 00:00:20] 来我出庄卷的考你们一下
[00:00:20 - 00:00:21] 谁考到好我把武功穿上去
[00:00:21 - 00:00:22] 有这样的吗
[00:00:22 - 00:00:24] 是不是直接就面试了呀
[00:00:24 - 00:00:25] 对吧
[00:00:25 - 00:00:26] 然后的话有个小孩一看这位武林大侠
[00:00:26 - 00:00:28] 哎呀你是那些谁吧
[00:00:28 - 00:00:29] 我背你立士
[00:00:29 - 00:00:30] 打了大瞎一看
[00:00:30 - 00:00:30] 呵
[00:00:30 - 00:00:32] 小伙长得不错
[00:00:32 - 00:00:33] 武功也挺好
[00:00:33 - 00:00:35] 但一问江宫名声不打地才花大到一个
[00:00:35 - 00:00:36] 我不能把武功传给你
[00:00:36 - 00:00:37] 遗害武力对吧
[00:00:37 - 00:00:40] 在我留的留的留的过两天又遇到个小孩
[00:00:40 - 00:00:41] 叫令狐冲
[00:00:42 - 00:00:44] 你不想当他徒弟都不行吧
[00:00:44 - 00:00:45] 给你绑到书上
[00:00:45 - 00:00:47] 就给你那根不要啊
[00:00:47 - 00:00:48] 不行就得当他徒弟对吧
[00:00:48 - 00:00:49] 所以同学你要知道
[00:00:49 - 00:00:51] 为什么那么多人去面试
[00:00:51 - 00:00:53] 老师要你就不要别人呀
[00:00:53 - 00:00:56] 是因为老师在人群中多看了你一眼
[00:00:56 - 00:00:56] 知道吧
[00:00:56 - 00:00:58] 这个感觉一定要到位
[00:00:58 - 00:00:59] 我們
