BV号：BV1Dh4y1t7yk
标题：BV1Dh4y1t7yk
链接：https://www.bilibili.com/video/BV1Dh4y1t7yk
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 15:32:35

[00:00:00 - 00:00:01] 你到了985以后的话
[00:00:01 - 00:00:02] 你跟人家学习能力差很多
[00:00:02 - 00:00:04] 我真的不觉得是学习能力的问题
[00:00:04 - 00:00:05] 到985的孩子
[00:00:05 - 00:00:07] 你说的学习能力能差到哪里去
[00:00:07 - 00:00:07] 对吧
[00:00:07 - 00:00:08] 我真不觉得是他学习能力
[00:00:08 - 00:00:10] 而是真的眼界的问题
[00:00:10 - 00:00:12] 上周末去无效开的家长会
[00:00:12 - 00:00:15] 苏州这边像很多小学出通高通
[00:00:15 - 00:00:16] 他都有这种所谓的
[00:00:16 - 00:00:17] 就是职业神牙规划课
[00:00:17 - 00:00:19] 他在这种职业神牙规划课
[00:00:19 - 00:00:20] 这找的是谁讲
[00:00:20 - 00:00:22] 讲找的都是这个学校的家长
[00:00:22 - 00:00:24] 这个学校的家长有干各行各业的
[00:00:24 - 00:00:27] 上两天是跑到那个苏州轨道交通集团
[00:00:27 - 00:00:29] 去看整个地铁的运营
[00:00:29 - 00:00:31] 这种他具是有的时候真的就
[00:00:31 - 00:00:33] 就是他他是没办法的
[00:00:33 - 00:00:35] 他就是说很难
[00:00:35 - 00:00:36] 这个非常的难
[00:00:36 - 00:00:39] 所以说的话我觉得这个平时要给孩子
[00:00:39 - 00:00:40] 就是除了学习以外
[00:00:40 - 00:00:42] 让他多看看外边的世界
[00:00:42 - 00:00:44] 然后的话多去看看书
[00:00:44 - 00:00:44] 对吧
[00:00:44 - 00:00:46] 如果说你孩子在初中段小学段
[00:00:46 - 00:00:49] 你多带孩子去到各地去走一走
[00:00:49 - 00:00:51] 看一看让他开拓他的眼界
[00:00:51 - 00:00:52] 如果说你现在已经上高中了
[00:00:52 - 00:00:53] 没那么时间的话
[00:00:53 - 00:00:56] 你可以去让孩子多看看书
[00:00:56 - 00:00:56] 对吧
[00:00:56 - 00:00:58] 我觉得也很重要
