BV号：BV1ix411Y7fx
标题：BV1ix411Y7fx
链接：https://www.bilibili.com/video/BV1ix411Y7fx
识别语言：zh
语言置信度：1
分段数：257
生成时间：2026-04-04 12:56:14

[00:00:05 - 00:00:06] 啊,干啥呀?
[00:00:10 - 00:00:12] 好,欢迎大家来到张老师的课堂
[00:00:12 - 00:00:14] 我是张雪峰老师
[00:00:15 - 00:00:15] 拿我来举例子
[00:00:15 - 00:00:18] 我就是一个非常成功的九思逆袭的安宁,你知道吧
[00:00:18 - 00:00:19] 我跟你说人生就是这样
[00:00:19 - 00:00:20] 一对偶然时间组成的必然时间
[00:00:20 - 00:00:21] 你比如说拿我来举例子
[00:00:21 - 00:00:23] 我呢,出生在黑冬县的七角哈尔什
[00:00:23 - 00:00:24] 下边一个小县城
[00:00:24 - 00:00:25] 一个小县城
[00:00:25 - 00:00:27] 那个时候你跟我说
[00:00:27 - 00:00:29] 说你将来上大学会在郑州舱大学
[00:00:29 - 00:00:30] 你敢相信吗?
[00:00:30 - 00:00:31] 你不敢相信的
[00:00:31 - 00:00:32] 郑州在哪里?
[00:00:32 - 00:00:33] 都不知道
[00:00:33 - 00:00:34] 我那时候连我们城的城会
[00:00:34 - 00:00:34] 哈尔滨都没去过
[00:00:34 - 00:00:35] 你告诉我在郑州舱大学
[00:00:38 - 00:00:39] 你在一年前两年前
[00:00:39 - 00:00:41] 你上高一高二的时候
[00:00:41 - 00:00:41] 有人告诉你说
[00:00:41 - 00:00:43] 你将来再会在乡台上大学
[00:00:43 - 00:00:44] 你敢相信吗
[00:00:44 - 00:00:45] 你肯定也不信
[00:00:45 - 00:00:46] 你当时的乡法师
[00:00:46 - 00:00:48] 我他们才不去了是吧
[00:00:48 - 00:00:49] 可能是这样想的
[00:00:49 - 00:00:51] 但同学你不也来了吗
[00:00:51 - 00:00:52] 来了以后
[00:00:52 - 00:00:53] 认识了你身边这个人
[00:00:53 - 00:00:54] 对吗
[00:00:54 - 00:00:55] 你们两个都没有交流
[00:00:55 - 00:00:57] 我当时你他们咋想的咋不不是啊
[00:00:57 - 00:00:58] 对吧
[00:00:58 - 00:00:59] 你咋想的呀对吧
[00:00:59 - 00:01:01] 那你那不就来了吗对吧
[00:01:01 - 00:01:03] 这是一个偶然时间嘛对不对
[00:01:03 - 00:01:04] 我在上大学第一天的时候
[00:01:04 - 00:01:06] 我他们想死的心都有了
[00:01:06 - 00:01:06] 你知道吧
[00:01:06 - 00:01:07] 在郑州上大学
[00:01:07 - 00:01:08] 我第一天相死的心都有了
[00:01:08 - 00:01:08] 这个什么
[00:01:08 - 00:01:09] 不是因为老师说我恨难话
[00:01:09 - 00:01:10] 你知道吧
[00:01:10 - 00:01:11] 是我们学校新秀区
[00:01:11 - 00:01:15] 我们叫我们去那一届是中读大学新秀区的第二届学生
[00:01:15 - 00:01:16] 没见好
[00:01:16 - 00:01:17] 没见好到什么程度
[00:01:17 - 00:01:18] 我们上天大门都没有
[00:01:18 - 00:01:20] 那时候的正大大门是一个大铁门
[00:01:20 - 00:01:21] 第一个估论来回推的那一种
[00:01:21 - 00:01:22] 知道吧
[00:01:22 - 00:01:24] 而且我们是现在粉地上的
[00:01:24 - 00:01:27] 最可恨的就是我们学旅游管理的大姐姐
[00:01:27 - 00:01:28] 她从火车上把我们接到学校
