BV号：BV1Mx411Q7eN
标题：BV1Mx411Q7eN
链接：https://www.bilibili.com/video/BV1Mx411Q7eN
识别语言：zh
语言置信度：1
分段数：118
生成时间：2026-04-04 13:15:42

[00:00:05 - 00:00:06] 啊 干啥呀
[00:00:06 - 00:00:07] 啥
[00:00:07 - 00:00:12] 好 欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:00:15 - 00:00:16] 而到了第三课
[00:00:16 - 00:00:18] 咱们同学大部分人都要考数学
[00:00:18 - 00:00:20] 而同学你要注意
[00:00:20 - 00:00:22] 如果说你的专业考数学的话
[00:00:22 - 00:00:23] 数学将是你考研当中
[00:00:23 - 00:00:25] 最最重要的科目
[00:00:25 - 00:00:28] 因为它是拉分的
[00:00:28 - 00:00:30] 数学这一课它是拉分的
[00:00:32 - 00:00:35] 你和你的竞争对手差距是在哪课体现的
[00:00:35 - 00:00:37] 我告诉大家数学最拉分
[00:00:37 - 00:00:39] 政治英语它不拉分
[00:00:39 - 00:00:40] 它拉不开茶具
[00:00:40 - 00:00:42] 你们觉得政治英语拉分吗
[00:00:42 - 00:00:42] 它不拉分吧
[00:00:42 - 00:00:43] 比如说政治
[00:00:43 - 00:00:44] 政治大家有没有问过
[00:00:44 - 00:00:47] 你师兄师姐大多数人都考多少分
[00:00:47 - 00:00:48] 是不是六七十分
[00:00:48 - 00:00:50] 六十多七十多
[00:00:50 - 00:00:52] 你政治想低于六十想高于八十都很难
[00:00:52 - 00:00:53] 知道吧
[00:00:53 - 00:00:55] 老师政治低于六十你看看人多吗
[00:00:55 - 00:00:56] 很少吧
[00:00:56 - 00:00:57] 低于五十人更少
[00:00:57 - 00:00:59] 低于四十都他们不见了
[00:00:59 - 00:01:00] 为什么都拉出这枪毙了
[00:01:00 - 00:01:01] 对吧
[00:01:01 - 00:01:03] 你说你在中国政治考了不到四十分
[00:01:03 - 00:01:03] 你有脸活着吧你
[00:01:03 - 00:01:04] 对吧
[00:01:04 - 00:01:05] 老师我政治能考八十吗
[00:01:05 - 00:01:07] 这个有点难
[00:01:07 - 00:01:08] 你得天天看新聞聯播
[00:01:08 - 00:01:11] 再也放棄一次人生中500萬的機會
[00:01:11 - 00:01:12] 正式能超過80
[00:01:12 - 00:01:13] 老老叔叔正式能超過90
[00:01:13 - 00:01:15] 你爺爺肯定是個紅軍
[00:01:16 - 00:01:18] 你奶奶肯定是紅色娘子軍
[00:01:18 - 00:01:19] 是吧
[00:01:19 - 00:01:21] 你就有基因了你是不是
[00:01:21 - 00:01:21] 同學你要知道
[00:01:21 - 00:01:23] 正式可能考高分的
[00:01:23 - 00:01:24] 而到了英語同學
[00:01:24 - 00:01:25] 你會發現英語這一課
[00:01:25 - 00:01:27] 他考過高分難不難
[00:01:27 - 00:01:29] 是不是很難
[00:01:29 - 00:01:29] 對吧
[00:01:29 - 00:01:31] 老老實英語我能考四個多分
[00:01:31 - 00:01:32] 我能過限
[00:01:32 - 00:01:33] 你考的就可以了
[00:01:33 - 00:01:35] 老老叔叔能考50多
[00:01:35 - 00:01:36] 不錯了
[00:01:36 - 00:01:37] 老师问能考60多
[00:01:37 - 00:01:38] 您考的相当不错
[00:01:38 - 00:01:39] 老师问能考70多
[00:01:39 - 00:01:41] 你就牛逼了
[00:01:41 - 00:01:42] 老师问能考80多
[00:01:42 - 00:01:43] 你牛逼大了
[00:01:43 - 00:01:45] 老师问能考90多
[00:01:45 - 00:01:45] 你们先能考90多
[00:01:45 - 00:01:47] 告诉我 知道吗
[00:01:47 - 00:01:50] 我还带北京动物园给你买个摊位
[00:01:50 - 00:01:51] 你可以收门票了
[00:01:51 - 00:01:52] 知道吧
[00:01:52 - 00:01:53] 我们哪票就参观你去
[00:01:53 - 00:01:55] 下一期《人与自然》我们就播你了
[00:01:55 - 00:01:56] 走进科学就是走进你
[00:01:56 - 00:01:57] 一个新的物种再生了
[00:01:57 - 00:01:59] 就是你 知道吗
[00:01:59 - 00:01:59] 同学你要知道
[00:01:59 - 00:02:01] 女生她很难考那么高的分
[00:02:01 - 00:02:03] 但是数学这一科
[00:02:03 - 00:02:04] 真拉分
[00:02:04 - 00:02:05] 为什么数学拉分
[00:02:05 - 00:02:07] 大家从小到大都在学数学
[00:02:07 - 00:02:09] 你们发面发现数学有个很恶心的特点
[00:02:09 - 00:02:10] 什么特点
[00:02:11 - 00:02:14] 你会发现这一颗牛逼的是真牛逼
[00:02:14 - 00:02:17] 不行的是真不行啊
[00:02:17 - 00:02:20] 你们从中上课中见不见过数学真不行的人
[00:02:20 - 00:02:21] 见过了吧
[00:02:21 - 00:02:23] 咱们咋讲不会咋讲不会是吧
[00:02:23 - 00:02:25] 给你讲个听说话掐死的对吧
[00:02:25 - 00:02:27] 大家同学你们还有没有数学真牛逼的人
