BV号：BV1Wt421K71B
标题：BV1Wt421K71B
链接：https://www.bilibili.com/video/BV1Wt421K71B
识别语言：zh
语言置信度：1
分段数：97
生成时间：2026-04-03 10:52:30

[00:00:00 - 00:00:01] 同学们应该都注意到了
[00:00:01 - 00:00:04] 像物理化学现在几乎成了理工程的标配
[00:00:04 - 00:00:07] 不少物理类的考生就开始愁了
[00:00:07 - 00:00:08] 说那你这个专业咋选啊
[00:00:08 - 00:00:09] 不用担心啊
[00:00:09 - 00:00:10] 其实好选择的特别多
[00:00:10 - 00:00:13] 只是许多理科生因为误会他错过了
[00:00:13 - 00:00:15] 比如说像广东外语外国大学
[00:00:15 - 00:00:18] 好多理科生一看就觉得这肯定都文革
[00:00:18 - 00:00:19] 然后就放弃了
[00:00:19 - 00:00:22] 这真的是机会就在面前都没抓住
[00:00:22 - 00:00:25] 广外几乎所有的专业都招物理类的考生
[00:00:25 - 00:00:28] 而且对再选的科目几乎是没有限制的
[00:00:28 - 00:00:30] 不仅是历史类的学子 首选
[00:00:30 - 00:00:32] 也是物理类学子的优选
[00:00:32 - 00:00:34] 广外很突出的一个特点
[00:00:34 - 00:00:37] 就是它的强项和地域完美的给搭上了
[00:00:37 - 00:00:40] 大湾区那一体就是经济发达
[00:00:40 - 00:00:41] 国际化程度高的地方
[00:00:41 - 00:00:44] 肯定是需要外域背景强大的人
[00:00:44 - 00:00:48] 那么需求多 资源自然也就多
[00:00:48 - 00:00:50] 广外毕业生大都能进到很好的企业
[00:00:50 - 00:00:52] 到时候的钱呢 它也多呀
[00:00:52 - 00:00:54] 这两年全国高手毕业生新筹排行榜
[00:00:54 - 00:00:57] 广外就一直稳在全国前时
[00:00:57 - 00:01:00] 2023年毕业生平均薪酬都打倒了11000多了
[00:01:00 - 00:01:02] 根本不投机会
[00:01:02 - 00:01:04] 考广外还不用担心采坑
[00:01:04 - 00:01:06] 这个学校没有差专业
[00:01:06 - 00:01:08] 你可以去看看招生专业
[00:01:08 - 00:01:10] 基本就围绕它的强势学科建的
[00:01:10 - 00:01:11] 底子就不差
[00:01:11 - 00:01:13] 想学语言广外拥有华南地区
[00:01:13 - 00:01:15] 最多的外语语种数量
[00:01:15 - 00:01:17] 能够满足绝大多数同学
[00:01:17 - 00:01:19] 而且广外很早就开始了
[00:01:19 - 00:01:22] 富与复合人才的这种培养的尝试
[00:01:22 - 00:01:24] 像双学士学位 微专业这些模式
[00:01:24 - 00:01:26] 广外已经非常成熟了
[00:01:26 - 00:01:27] 你不想学语言
[00:01:27 - 00:01:29] 广外不仅有财经 装牌
[00:01:29 - 00:01:30] 像计算机样
[00:01:30 - 00:01:32] 网络安全量 法学
[00:01:32 - 00:01:33] 它认可度也非常高
[00:01:33 - 00:01:35] 对应的创新班也多
[00:01:35 - 00:01:36] 在培养中
[00:01:36 - 00:01:38] 广外还放大了语言的特色
[00:01:38 - 00:01:39] 不管你学的啥
[00:01:39 - 00:01:41] 只要是广外毕业的
[00:01:41 - 00:01:43] 企业几乎会默认你的外语实力
[00:01:43 - 00:01:43] 相当牛
[00:01:43 - 00:01:45] 优势这不就一下出来了
[00:01:45 - 00:01:47] 所以说从广外出去的同学
[00:01:47 - 00:01:49] 基本不愁工作的
[00:01:49 - 00:01:50] 过半的同学都留在了
[00:01:50 - 00:01:51] 越广澳大湾区
[00:01:51 - 00:01:54] 而且大部分都能进500强之类的企业
[00:01:54 - 00:01:55] 因为学校的特色
[00:01:55 - 00:01:58] 毕业生却外交部之类的机关事业单位工作
[00:01:58 - 00:01:59] 他也不再少数
[00:01:59 - 00:02:01] 去国际组织实习任职的机会
[00:02:01 - 00:02:02] 也都比较多
[00:02:02 - 00:02:04] 还有一个点也非常值得注意
[00:02:04 - 00:02:06] 像发展很快的跨境电商的行业
[00:02:06 - 00:02:08] 他很需要小鱼种人才
[00:02:08 - 00:02:09] 你包括公务员
[00:02:09 - 00:02:10] 你进入到外企
[00:02:10 - 00:02:12] 跨过公司啥的小鱼种
[00:02:12 - 00:02:14] 优势也是有的
[00:02:14 - 00:02:16] 再加上开小鱼种的院校的有限
[00:02:16 - 00:02:17] 招的人比较少
[00:02:17 - 00:02:19] 这个价值就显得更大了
[00:02:19 - 00:02:21] 广外不仅是语言类头部学校
[00:02:21 - 00:02:24] 那么实力的认可度都是特别高的
[00:02:24 - 00:02:25] 有的小鱼种啊
[00:02:25 - 00:02:27] 一年还就照十来个人
[00:02:27 - 00:02:28] 绝对的小鱼精
[00:02:28 - 00:02:29] 性价比非常高
[00:02:29 - 00:02:30] 广外的国际化呢
[00:02:30 - 00:02:33] 对于那些想学小鱼种的同学来说
[00:02:33 - 00:02:33] 是很有力的
[00:02:33 - 00:02:36] 光本科生交流项目都二百多个了
[00:02:36 - 00:02:38] 每年都有百分之二十多的同学呢
[00:02:38 - 00:02:40] 能够出国境交流
[00:02:40 - 00:02:41] 学校给钱也大方
[00:02:41 - 00:02:42] 一个人啊
[00:02:42 - 00:02:43] 最高能拿二十万的补助
[00:02:43 - 00:02:44] 力度是非常大的
[00:02:44 - 00:02:45] 不管是李克生
[00:02:45 - 00:02:46] 文科生
[00:02:46 - 00:02:47] 不管是想学语言
[00:02:47 - 00:02:48] 还是说想给自己
[00:02:48 - 00:02:49] 搞一个外语的背景
[00:02:49 - 00:02:52] 找一份心水不愁的工作
[00:02:52 - 00:02:52] 张老师啊
[00:02:52 - 00:02:54] 建议你们可以多了解了解
[00:02:54 - 00:02:55] 廣東外語外語大學
