BV号：BV1oU4y1f7RM
标题：BV1oU4y1f7RM
链接：https://www.bilibili.com/video/BV1oU4y1f7RM
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-04-03 20:26:40

[00:00:00 - 00:00:04] 在咱们国内高分低能的人太多了
[00:00:04 - 00:00:05] 真的
[00:00:05 - 00:00:06] 你说老师会不会取消富士
[00:00:06 - 00:00:07] 不可能
[00:00:07 - 00:00:08] 我告诉你不可能
[00:00:08 - 00:00:10] 我这么多年
[00:00:10 - 00:00:13] 就是对于研究生的教育的理解
[00:00:13 - 00:00:14] 和我基础到的人
[00:00:14 - 00:00:15] 我自己的感受来看
[00:00:15 - 00:00:17] 高分低能的人太多了
[00:00:17 - 00:00:19] 考研是最重要的事
[00:00:19 - 00:00:19] 对
[00:00:19 - 00:00:21] 考研真的很重要
[00:00:21 - 00:00:22] 但是各位同学
[00:00:22 - 00:00:23] 你们在考研之余
[00:00:23 - 00:00:25] 能不能去提高一下
[00:00:25 - 00:00:27] 你自己的其他方面的能力
[00:00:27 - 00:00:29] 就是我们肯看重能力
[00:00:29 - 00:00:30] 真的非常看重能力
[00:00:30 - 00:00:32] 它不是说你学历
[00:00:32 - 00:00:33] 学历是一个敲门砖
[00:00:33 - 00:00:36] 就是咱们眼里边一直在扩
[00:00:36 - 00:00:37] 几乎没有在往回缩的时候
[00:00:37 - 00:00:38] 知道吗
[00:00:38 - 00:00:41] 也就是说越来越多的人
[00:00:41 - 00:00:42] 会成为研究生
[00:00:42 - 00:00:44] 那么企业在选择的时候
[00:00:44 - 00:00:47] 就会在这一堆研究生当中
[00:00:47 - 00:00:48] 进行选择
[00:00:48 - 00:00:49] 进行取舍
[00:00:49 - 00:00:50] 那你告诉我
[00:00:50 - 00:00:52] 你我凭什么要用你的
[00:00:52 - 00:00:54] 我凭什么要给你升值加薪呢
[00:00:54 - 00:00:55] 所以说研究生学历
[00:00:55 - 00:00:56] 它是一个敲门砖
[00:00:56 - 00:00:58] 它不是一个能够让你持续
[00:00:58 - 00:01:00] 生官发财的一个东西
[00:01:01 - 00:01:03] 那你想去涨工资
[00:01:03 - 00:01:04] 那怎么办
[00:01:04 - 00:01:05] 你还得靠你的能力
[00:01:05 - 00:01:08] 这个能力它是方方面面的
