BV号：BV1nJ411H7Z5
标题：BV1nJ411H7Z5
链接：https://www.bilibili.com/video/BV1nJ411H7Z5
识别语言：zh
语言置信度：1
分段数：313
生成时间：2026-04-04 03:27:29

[00:00:02 - 00:00:06] 你这个律师是不是就是拿人钱才替人消败
[00:00:06 - 00:00:08] 看怎么说了
[00:00:08 - 00:00:09] 什么叫做按照
[00:00:09 - 00:00:11] 每个人有自己的标准
[00:00:11 - 00:00:14] 他们会觉得律师确实有时候是贪婪
[00:00:14 - 00:00:17] 但是往往是从所谓的这种贪婪
[00:00:17 - 00:00:20] 他能够保护整个的社会上
[00:00:20 - 00:00:22] 程序上的真正
[00:00:22 - 00:00:23] 对 大家就别踢自己
[00:00:23 - 00:00:24] 拦起娃娃娃分享
[00:00:24 - 00:00:26] 不要有太多不好的这个
[00:00:27 - 00:00:35] 大家好
[00:00:35 - 00:00:37] 欢迎收看小型杜比托口秀大开眼界
[00:00:37 - 00:00:39] 我是让学习变得更快乐的张雪峰老师
[00:00:39 - 00:00:42] 关注大开眼界了解更多职业背后的故事
[00:00:42 - 00:00:45] 为你的选择提供更多的帮助
[00:00:45 - 00:00:46] 我们本期抢到的嘉宾依然说
[00:00:46 - 00:00:48] 我们通常律师事务所的贺华人
[00:00:48 - 00:00:49] 我们的工程老师
[00:00:49 - 00:00:51] 光老师跟大家打个招呼吧
[00:00:51 - 00:00:52] 哈喽 大家好
[00:00:52 - 00:00:56] 光老师就是我最近总是喜欢看一些
[00:00:56 - 00:00:57] 法律类的电视剧
[00:00:57 - 00:00:58] 历史证据
[00:00:58 - 00:00:59] 对
[00:00:59 - 00:01:01] 包括 叫历史证据是吗
[00:01:01 - 00:01:02] 应该可以
[00:01:02 - 00:01:03] 叫的 历史证据
[00:01:03 - 00:01:05] 我不知道电视剧有这么一个分支
[00:01:05 - 00:01:06] 包括像咱们国内的也有
[00:01:06 - 00:01:08] 但是我看国外的也比较多
[00:01:08 - 00:01:11] 像什么赢迹之正义是个美剧
[00:01:11 - 00:01:12] 而不是个日剧
[00:01:12 - 00:01:15] 包括像美剧的一些里边跟历史有关的
[00:01:15 - 00:01:17] 就是我觉得社会上也好
[00:01:17 - 00:01:18] 还包括我个人也好
[00:01:18 - 00:01:20] 总是对历史有这么一个认识
[00:01:20 - 00:01:21] 不知道是不是真的
[00:01:21 - 00:01:26] 你们的历史是不是就是拿人钱才替人消灾
[00:01:26 - 00:01:27] 我们经常会看到一些
[00:01:27 - 00:01:31] 比如说恶性的案件也好
[00:01:31 - 00:01:33] 或者说是一些我们觉得
[00:01:33 - 00:01:35] 不是那么特别好的案子
[00:01:35 - 00:01:38] 那你像有即使是这个人再
[00:01:38 - 00:01:41] 自己大恶极再怎样
[00:01:41 - 00:01:43] 他也会有一个律师
[00:01:43 - 00:01:44] 要求一定要有一个律师
[00:01:44 - 00:01:46] 对 要求一定要有一个律师
[00:01:46 - 00:01:48] 那这种介绍就在国外比较多
[00:01:48 - 00:01:50] 介绍那种有钱人家
[00:01:50 - 00:01:52] 他的公子可能干了一个什么样的事
[00:01:52 - 00:01:53] 对吧
[00:01:53 - 00:01:54] 一个很不好的事
[00:01:54 - 00:01:57] 他就请一个特别大盆的律师去帮他消灾
[00:01:57 - 00:01:59] 你们是什么案子都接吗
[00:01:59 - 00:02:01] 就是律师是什么案子都接吗
[00:02:01 - 00:02:03] 看怎么说了
[00:02:03 - 00:02:05] 某種人每個人有自己的標準了
[00:02:05 - 00:02:08] 通常來講的話
[00:02:08 - 00:02:11] 即使你是一個犯罪嫌疑人
[00:02:11 - 00:02:13] 或者是如果拿企業來說的話
[00:02:13 - 00:02:17] 你是一個明顯違約的企業
[00:02:17 - 00:02:19] 很沒有誠信
[00:02:19 - 00:02:22] 或者是你確實感覺上
[00:02:22 - 00:02:24] 大家公眾有媒體
[00:02:24 - 00:02:26] 現在都有很多看起來新聞
[00:02:26 - 00:02:28] 基本上就是犯罪
[00:02:28 - 00:02:30] 尤其看上頭不先吃大的
[00:02:30 - 00:02:32] 有些證據都很充分看起來
[00:02:32 - 00:02:33] 但即使是这样的话
[00:02:33 - 00:02:36] 也有很多律师愿意去做这种案件
[00:02:36 - 00:02:39] 不代表他这个人本身有
[00:02:39 - 00:02:42] 也许他真的是做过一些不好的事情
[00:02:42 - 00:02:44] 但是他一样也有很多合法的权益
[00:02:44 - 00:02:47] 是需要我们去保护的合法的权益
[00:02:47 - 00:02:48] 对吧
[00:02:48 - 00:02:51] 你不能够比如你不能够随便的就是
[00:02:51 - 00:02:53] 你在看守所里去殴打他
[00:02:53 - 00:02:54] 这个不合适
[00:02:54 - 00:02:55] 你行训必供
[00:02:55 - 00:02:56] 这个不好
[00:02:56 - 00:03:00] 然后你一个企业你在这种案件中
[00:03:00 - 00:03:01] 你虽然违约了
[00:03:01 - 00:03:04] 但是你可能是个有限责任
[00:03:04 - 00:03:05] 你不能去追股东
[00:03:05 - 00:03:06] 打个比方
[00:03:06 - 00:03:07] 对
[00:03:07 - 00:03:07] 对
[00:03:07 - 00:03:09] 你不能随便的去追股东
[00:03:09 - 00:03:14] 如果你没有相关的条款的话
[00:03:14 - 00:03:17] 你不能够被对方当事人压得太厉害
[00:03:17 - 00:03:19] 虽然你可能做过一些措施
[00:03:19 - 00:03:20] 不管是自然人也好
[00:03:20 - 00:03:21] 你是公司也好
[00:03:21 - 00:03:23] 但是都需要去保护你的
[00:03:23 - 00:03:26] 其实它可能是欠别人一些钱
[00:03:26 - 00:03:29] 但是这个东西也要从马律的角度来讲
[00:03:29 - 00:03:29] 对
[00:03:29 - 00:03:30] 你并不是说你欠了钱
[00:03:30 - 00:03:33] 就一下就要把你踩到底
[00:03:33 - 00:03:35] 然后你什么都不行了
[00:03:35 - 00:03:36] 并不是这样的
[00:03:36 - 00:03:37] 你不能说你欠了钱
[00:03:37 - 00:03:39] 就可以去你家拿东西
[00:03:39 - 00:03:40] 就不可以
[00:03:40 - 00:03:42] 就像你假如真的
[00:03:42 - 00:03:43] 即使是你杀了一个人
[00:03:43 - 00:03:44] 对吧
[00:03:44 - 00:03:47] 那你前前后后的各种的情节
[00:03:47 - 00:03:50] 各种的问题
[00:03:50 - 00:03:52] 其实都是需要你的辩护律师
[00:03:52 - 00:03:54] 去给你发掘出来的
[00:03:54 - 00:03:56] 像我用我不太懂
[00:03:56 - 00:03:57] 就是比较说
[00:03:57 - 00:03:59] 一个人比如说在杀人犯
[00:03:59 - 00:03:59] 那一般情况下
[00:03:59 - 00:04:02] 他是自己请律师还是说法界给的职业
[00:04:02 - 00:04:04] 家属去请律师的多吧
[00:04:04 - 00:04:04] 大多数
[00:04:04 - 00:04:08] 虽然我也不是做形式辩护的律师
[00:04:08 - 00:04:10] 但是我了解的话
[00:04:10 - 00:04:12] 家属去请的多
[00:04:12 - 00:04:13] 就自己请的还是多
[00:04:13 - 00:04:15] 其实美国会有这个米兰达警告
[00:04:15 - 00:04:17] 就是你有权保持沉默
[00:04:17 - 00:04:18] 对吧
[00:04:18 - 00:04:21] 你说的每句话都将成为成堂的梦
[00:04:21 - 00:04:23] 你可以请一个律师
[00:04:23 - 00:04:24] 如果你没有钱
[00:04:24 - 00:04:26] 法情会给你指定一个律师
[00:04:26 - 00:04:28] 就这差不多是一样的
[00:04:28 - 00:04:30] 哎,那你像我说,咱们中国合不合适一下
[00:04:30 - 00:04:31] 就是有个这样看美剧有这样的
[00:04:31 - 00:04:33] 就是说我的律师来之前我不会说话的
[00:04:33 - 00:04:34] 比较理想吧
[00:04:34 - 00:04:37] 嗯,所以说的话大家一定要记录
[00:04:37 - 00:04:39] 就是说不管说是正义的一方要好
[00:04:39 - 00:04:42] 还是说你看起来不是那么很正义的一方要好
[00:04:42 - 00:04:43] 可能真的跟原来我们想的说
[00:04:43 - 00:04:46] 拿人钱才踢了球在那个还不太一样
[00:04:46 - 00:04:48] 就是让每个人斗我他自己的
[00:04:48 - 00:04:52] 每个人都有自己合法的诚意需要保护
[00:04:52 - 00:04:55] 对,所以说大家千万不要对这个一些
[00:04:55 - 00:04:59] 可能你认为不是那么特别正义的一方的律师
[00:04:59 - 00:05:01] 觉得这个律师出人品也不太好
[00:05:01 - 00:05:01] 对
[00:05:01 - 00:05:05] 其实那样的律师通常会承受更大的压力
[00:05:05 - 00:05:08] 它会在聚光灯之下
[00:05:08 - 00:05:10] 它的每一个动作实际上都被放大了
