BV号：BV1Nx4y187fr
标题：BV1Nx4y187fr
链接：https://www.bilibili.com/video/BV1Nx4y187fr
识别语言：zh
语言置信度：1
分段数：98
生成时间：2026-04-03 09:26:39

[00:00:00 - 00:00:02] 选专业的时候大家都想进招养行业
[00:00:02 - 00:00:03] 但是我想提醒大家
[00:00:03 - 00:00:05] 有些行业现在看着很吃香
[00:00:05 - 00:00:07] 等你毕业的时候就不一定了
[00:00:07 - 00:00:08] 所以说选业的时候
[00:00:08 - 00:00:09] 至少要考虑一下这个行业
[00:00:09 - 00:00:11] 十几二十年的发展
[00:00:11 - 00:00:13] 那有没有什么行业发展一直很好呢
[00:00:13 - 00:00:14] 以后前景也不错
[00:00:14 - 00:00:16] 哎 张老师就给你说一个
[00:00:16 - 00:00:17] 一样
[00:00:17 - 00:00:19] 今天给大家推荐的正好
[00:00:19 - 00:00:21] 也在这个领域非常有代表性的
[00:00:21 - 00:00:23] 一所教育部职属二尔幼高校
[00:00:23 - 00:00:26] 位于江苏南京的中国药科大学
[00:00:26 - 00:00:28] 药学咱们讲过很多次了
[00:00:28 - 00:00:29] 人生定了
[00:00:29 - 00:00:30] 你得吃药吧
[00:00:30 - 00:00:31] 这一会的需求
[00:00:31 - 00:00:32] 你少不了
[00:00:32 - 00:00:34] 而且现在生物医药也是一个封口
[00:00:34 - 00:00:38] 是国家七大战略性新兴产业之一
[00:00:38 - 00:00:38] 药物研发
[00:00:38 - 00:00:40] 林崇勇药研究
[00:00:40 - 00:00:41] 这些前沿领域
[00:00:41 - 00:00:43] 都需要大量的专业人才
[00:00:43 - 00:00:43] 另外
[00:00:43 - 00:00:45] 药品食品监督监管
[00:00:45 - 00:00:47] 进出口检验检疫
[00:00:47 - 00:00:47] 这样的部门
[00:00:47 - 00:00:50] 也需要大量药学相关的管理人才
[00:00:50 - 00:00:51] 那进这行
[00:00:51 - 00:00:52] 不怕没发展机会
[00:00:52 - 00:00:54] 再说回中国药大
[00:00:54 - 00:00:55] 它在药学领域
[00:00:55 - 00:00:56] 可以说是数一数二
[00:00:56 - 00:00:59] 被称为中国生物医药人才的摇篮
[00:00:59 - 00:01:01] 学科这一块更是明话说
[00:01:01 - 00:01:02] 第四轮学科评估
[00:01:02 - 00:01:05] 全国只有两所学校的药学是拿到了A家
[00:01:05 - 00:01:07] 中国药大就是其中之一
[00:01:07 - 00:01:09] 另外一所是协和
[00:01:09 - 00:01:12] 另外它的中药学是双一流学科
[00:01:12 - 00:01:14] 还有咱们经常提到的ESI排名
[00:01:14 - 00:01:18] 它也有10个学科进入到了全球的前1%
[00:01:18 - 00:01:19] 其中药理学与独立学
[00:01:19 - 00:01:22] 更是接近全球前1万分之一
[00:01:22 - 00:01:24] 在整个亚洲那是Number 1
[00:01:24 - 00:01:26] 专业方面它也很有实力
[00:01:26 - 00:01:29] 据我所知中国要大走的是专而精的路线
[00:01:29 - 00:01:32] 很多药学相关专业都是国家级一流专业
[00:01:32 - 00:01:34] 而且硕博点博士后流动战都有
[00:01:34 - 00:01:36] 实力那都是看得见的
[00:01:36 - 00:01:38] 他调节的同学也不用担心
[00:01:38 - 00:01:39] 这个学校虽然是大力招生
[00:01:39 - 00:01:41] 但是专业设置的还是很合理的
[00:01:41 - 00:01:43] 拿江苏举例
[00:01:43 - 00:01:45] 包括中外合作办学一共有五个专业组
[00:01:45 - 00:01:48] 每个组都不会超过六个专业
[00:01:48 - 00:01:50] 除了保颜率高的特色专业
[00:01:50 - 00:01:52] 就是热门的药学相关专业
[00:01:52 - 00:01:53] 没有冷门专业红宝
[00:01:53 - 00:01:55] 所以说不管被哪个专业组录取
[00:01:55 - 00:01:56] 都不用担心求济
[00:01:56 - 00:01:58] 咱们芬高的同学呢
[00:01:58 - 00:02:00] 我非常推荐他的创新班和实验班
[00:02:00 - 00:02:01] 含金量非常高
[00:02:01 - 00:02:03] 本博贯通本术贯通都有
[00:02:03 - 00:02:05] 保员率最低有60%
[00:02:05 - 00:02:08] 对于咱们以后想读研读博的同学来说
[00:02:08 - 00:02:09] 绝对是占了限定用事
[00:02:09 - 00:02:11] 尤其是药学
[00:02:11 - 00:02:13] 解除药学家实验班
[00:02:13 - 00:02:14] 本博贯通推药
[00:02:14 - 00:02:17] 九年读出来直接就是博士
[00:02:17 - 00:02:17] 一步到位
[00:02:17 - 00:02:18] 最后呢
[00:02:18 - 00:02:20] 再来说说大家多关心的就业
[00:02:20 - 00:02:21] 有同学可能知道啊
[00:02:21 - 00:02:23] 中国要大有好几家附属医院
[00:02:23 - 00:02:25] 所以说不管你平常时期
[00:02:25 - 00:02:26] 还是毕业以后找工作
[00:02:26 - 00:02:28] 资源都很多
[00:02:28 - 00:02:30] 而且你顶着中国要大的牌子
[00:02:30 - 00:02:31] 不愁找不到业内的好工作
[00:02:31 - 00:02:33] 国内外知名的要企
[00:02:33 - 00:02:34] 要监要检
[00:02:34 - 00:02:38] 医疗单位就有很多这个学校的毕业生
[00:02:38 - 00:02:38] 说了这么多
[00:02:38 - 00:02:39] 有同学可能就担心
[00:02:39 - 00:02:40] 这个学校这么好
[00:02:40 - 00:02:42] 分会不会太高啊
[00:02:42 - 00:02:43] 这点告诉大家
[00:02:43 - 00:02:44] 可以放心
[00:02:44 - 00:02:46] 要大赛R1里边的分数
[00:02:46 - 00:02:47] 还算是很友好的
[00:02:47 - 00:02:47] 同学们
[00:02:47 - 00:02:49] 打点虫就完事了
