BV号：BV1sb4y1x7uh
标题：BV1sb4y1x7uh
链接：https://www.bilibili.com/video/BV1sb4y1x7uh
识别语言：zh
语言置信度：1
分段数：121
生成时间：2026-04-03 20:20:47

[00:00:00 - 00:00:03] 雪芳老師大學時有沒有印象深刻的人或是呢
[00:00:03 - 00:00:05] 我印象最深刻就是我一個同學
[00:00:05 - 00:00:08] 然後的話他其實學的專業是我們學校
[00:00:08 - 00:00:10] 可以說是最一般的一個專業
[00:00:10 - 00:00:11] 哲學
[00:00:11 - 00:00:13] 學哲學的你覺得他能幹嘛呢
[00:00:13 - 00:00:13] 對吧
[00:00:13 - 00:00:15] 但是這哥們上大學的時候
[00:00:15 - 00:00:16] 真的非常非常的厲害
[00:00:16 - 00:00:19] 他做了我們當時一個考人
[00:00:19 - 00:00:21] 父寶班學校的總代理
[00:00:21 - 00:00:22] 然後的話呢
[00:00:22 - 00:00:23] 他通過他的努力
[00:00:23 - 00:00:25] 在大學畢業的時候
[00:00:25 - 00:00:27] 就通過代理的提成
[00:00:27 - 00:00:29] 就在郑州买了他人生的第一头房
[00:00:30 - 00:00:33] 那个事实是让我印象非常非常深刻的
[00:00:33 - 00:00:34] 他家真的穷到爆
[00:00:35 - 00:00:37] 但是这个人真的很努力
[00:00:37 - 00:00:38] 所以说的话我真的
[00:00:38 - 00:00:39] 这个人现在也很厉害
[00:00:39 - 00:00:42] 他现在在一个大型的日化企业做
[00:00:42 - 00:00:44] 也省得这样的一个总经理
[00:00:44 - 00:00:44] 真的很厉害
[00:00:44 - 00:00:46] 所以说我觉得他在上大学的时候
[00:00:47 - 00:00:48] 一定要去多锻炼自己的能力
[00:00:48 - 00:00:48] 对
[00:00:48 - 00:00:50] 所以说你的能力真的超乎你想象
[00:00:50 - 00:00:51] 雪芳老师
[00:00:51 - 00:00:53] 您觉得大学生在离开学校
[00:00:53 - 00:00:55] 投入社会工作之前除了学习
[00:00:55 - 00:00:57] 还应该锻炼哪方面能力
[00:00:57 - 00:00:58] 我觉得大家首先的话
[00:00:58 - 00:01:00] 第一你一定要有一个销售思维
[00:01:00 - 00:01:02] 就是不管说你将来做一个什么样的工作
[00:01:02 - 00:01:04] 你都要有一个销售思维
[00:01:04 - 00:01:06] 客服思维
[00:01:06 - 00:01:07] 就你得想明白
[00:01:07 - 00:01:09] 你不管是做什么产品
[00:01:09 - 00:01:10] 还是你做什么服务
[00:01:10 - 00:01:12] 你服务对对象是怎么想的
[00:01:12 - 00:01:13] 这个东西很重要
[00:01:13 - 00:01:14] 然后另外的话呢
[00:01:14 - 00:01:15] 要有一些横向的管理思维
[00:01:15 - 00:01:17] 就是说你不但要懂得
[00:01:17 - 00:01:19] 你自己一业无内成方面的事情
[00:01:19 - 00:01:20] 然后也要懂得
[00:01:20 - 00:01:21] 其他一业成方面的事情
[00:01:21 - 00:01:22] 比如说你像人力资源呢
[00:01:22 - 00:01:24] 你像比如像财务啊
[00:01:24 - 00:01:25] 你像会计作战啊
[00:01:25 - 00:01:28] 你包括像一些融资的一些想法
[00:01:28 - 00:01:30] 你最好是斗一些这样的想法
[00:01:30 - 00:01:32] 然后的话你只有有了这样的想法以后
[00:01:32 - 00:01:35] 你才能做到你想要的那个高度
[00:01:35 - 00:01:36] 雪芳老师
[00:01:36 - 00:01:38] 您给我们现在的学生粉丝提些建议吧
[00:01:38 - 00:01:41] 我真的建议大家去上大学的时候做做点兼职
[00:01:41 - 00:01:44] 因为你在找工作的时候
[00:01:44 - 00:01:46] 英文单位看的最重要的就是
[00:01:46 - 00:01:47] 你相关的实习经历
[00:01:47 - 00:01:49] 和你相关的兼职的这样的一个过程
[00:01:49 - 00:01:54] 尤其是像销售真的会很锻炼你的这样的一个耐力
[00:01:54 - 00:01:55] 就是会模拟你
[00:01:55 - 00:01:58] 你可能会遭受到无处思的这种妥浙也好
[00:01:58 - 00:01:59] 失败也好
[00:01:59 - 00:02:01] 但是这个真的都是以人的一种成长
[00:02:01 - 00:02:03] 然后如果你真的做得很好的话
[00:02:03 - 00:02:04] 也能去挣到一些钱
[00:02:04 - 00:02:06] 你比如说像刚才我说到
[00:02:06 - 00:02:07] 就是我们上大学的时候
[00:02:07 - 00:02:08] 有一个同学做考研复道班的代理
[00:02:08 - 00:02:11] 那如果大家想去做这样的事情的话
[00:02:11 - 00:02:12] 我们现在也有这样的一个计划
[00:02:12 - 00:02:13] 就是我们的研途基因计划
[00:02:13 - 00:02:14] 那大家可以在校园里边
[00:02:14 - 00:02:17] 能够做我们研途的校园的代理
[00:02:17 - 00:02:19] 然后将来也会锻炼你好你的一个能力
[00:02:19 - 00:02:21] 我相信这一份时期的经历
[00:02:21 - 00:02:24] 会为你将来步入到更好的职场
[00:02:24 - 00:02:27] 会给你做很多很多的工作和准备吧
[00:02:27 - 00:02:29] 什么是源头经营校原大使呢
[00:02:29 - 00:02:30] 呃 源头经营计划呢
[00:02:30 - 00:02:33] 是我们今年签推出来的一个就是
[00:02:33 - 00:02:36] 有关我们大学生朋友的一个成长的一个项目
[00:02:36 - 00:02:38] 然后我们在这样的项目当中的话
[00:02:38 - 00:02:39] 我们会培养大学生的很多
[00:02:39 - 00:02:42] 就是互联网企业的这样的一个营销私委
[00:02:42 - 00:02:43] 然后的话呢
[00:02:43 - 00:02:45] 也能够认识很多新的朋友
[00:02:45 - 00:02:46] 然后最重要的事情的话
[00:02:46 - 00:02:48] 我们还会给大家组织一些先用的福利和活动
[00:02:48 - 00:02:50] 你比如说
[00:02:50 - 00:02:50] 可能很多朋友都知道
[00:02:50 - 00:02:52] 我有一个张老师的黄金书
[00:02:52 - 00:02:54] 就是每个星期我会给大家分享一本
[00:02:54 - 00:02:56] 我这个星期读过的书
[00:02:56 - 00:02:58] 我这个书我为什么要读这个书
[00:02:58 - 00:02:59] 然后的话这个书带给我什么的感悟
[00:02:59 - 00:03:01] 我都会分析给大家
[00:03:01 - 00:03:02] 然后最重要的是我们如果有机会的话
[00:03:02 - 00:03:05] 可以参加我们组织的相关的
[00:03:05 - 00:03:06] 研学和产学的活动
[00:03:06 - 00:03:08] 就是我们可以带你去相当的
[00:03:08 - 00:03:09] 各个高校的研究生院
[00:03:09 - 00:03:12] 包括说一些比较优质的企业
[00:03:12 - 00:03:12] 去参观一下
[00:03:12 - 00:03:13] 就是你学什么专业的
[00:03:13 - 00:03:15] 我们就给你推荐到相关的企业
[00:03:15 - 00:03:17] 去参观甚至如果有机会的话
[00:03:17 - 00:03:19] 你可以到相關的結局試習都可以的
[00:03:19 - 00:03:20] 所以說我希望大家
[00:03:20 - 00:03:23] 不僅能夠在所謂的學歷上去提升自己
[00:03:23 - 00:03:25] 然後的話在能力上大家如果能提升自己的話
[00:03:25 - 00:03:26] 也能夠更好
[00:03:26 - 00:03:30] 所以說我希望我們沿途能夠做到這樣的事情
[00:03:30 - 00:03:32] 那麼怎樣加入呢
[00:03:32 - 00:03:34] 同學可以點擊下方的連結來報名
[00:03:34 - 00:03:36] 或者掃描我們屏幕上的二位馬來報名
