BV号：BV1QH4y1V7yo
标题：BV1QH4y1V7yo
链接：https://www.bilibili.com/video/BV1QH4y1V7yo
识别语言：zh
语言置信度：1
分段数：90
生成时间：2026-04-03 11:21:35

[00:00:00 - 00:00:02] 这几年啊 理工科的热度很高
[00:00:02 - 00:00:03] 咱们好多同学都冒着这种
[00:00:03 - 00:00:04] 要考理工大学
[00:00:04 - 00:00:06] 在这里呢 张老师要提醒各位
[00:00:06 - 00:00:08] 就是一定要仔细辨别
[00:00:08 - 00:00:09] 市面上有一些在理工的大学
[00:00:09 - 00:00:11] 是这几年才起来的
[00:00:11 - 00:00:13] 以前啊 很有可能就是个学院
[00:00:13 - 00:00:14] 不管是半学水平
[00:00:14 - 00:00:15] 还是社会的认可呢
[00:00:15 - 00:00:16] 都差点意思
[00:00:16 - 00:00:17] 有同学就说了
[00:00:17 - 00:00:19] 那张老师能不能推荐几个底润身
[00:00:19 - 00:00:21] 半学实力又强的
[00:00:21 - 00:00:22] 正经理工大学呢
[00:00:22 - 00:00:23] 我想想啊
[00:00:23 - 00:00:25] 确实有所值得推荐的
[00:00:25 - 00:00:27] 就是兰州理工大学
[00:00:27 - 00:00:28] 这个可是个百年老校
[00:00:28 - 00:00:31] 1958年就已經是大學了
[00:00:31 - 00:00:32] 那會兒叫甘肅工業大學
[00:00:32 - 00:00:35] 是個障礙八經的部署高校
[00:00:35 - 00:00:36] 1965年
[00:00:36 - 00:00:38] 原哈爾濱工業大學重型機械學院
[00:00:38 - 00:00:41] 部分專業又整建制先入
[00:00:41 - 00:00:43] 可以說是背景十分強悍的
[00:00:43 - 00:00:44] 發展到現在
[00:00:44 - 00:00:48] 它已經實現了甘肅省教育部和國防科工局共建
[00:00:48 - 00:00:51] 是甘肅省首批高水平大學建設高校
[00:00:51 - 00:00:54] 西北工程師的謠來說的就是它
[00:00:54 - 00:00:56] 起點高是一方面
[00:00:56 - 00:00:58] 而萊利公的平台也是很好的
[00:00:58 - 00:01:02] 它不僅是我國首帖學士碩士學位授予權高校
[00:01:02 - 00:01:06] 也是甘肅省第一家獲得工學博士學位授予權
[00:01:06 - 00:01:08] 工學博士後科研流動戰的高校
[00:01:08 - 00:01:13] 工程學、材料學、化學全部進入了ESI排名全球前百分之一
[00:01:13 - 00:01:15] 學和實力那是沒得說
[00:01:15 - 00:01:20] 之前我也講過學理工鏈位項最重要的就是要看它的專業水準
[00:01:20 - 00:01:23] 咱們看一下藍理工六十四個專業里邊
[00:01:23 - 00:01:28] 它一半以上都是國家級省級一流本科專業建設點
[00:01:28 - 00:01:29] 像机械店的工程
[00:01:29 - 00:01:30] 热能与动物工程
[00:01:30 - 00:01:32] 汉街基础与工程
[00:01:32 - 00:01:34] 这些都是它的优势专业
[00:01:34 - 00:01:37] 在水机业压行业里面的名头
[00:01:37 - 00:01:38] 那都是响当当的
[00:01:38 - 00:01:40] 还有这几年爆火的网络空间安全
[00:01:40 - 00:01:41] 机械专业工程
[00:01:41 - 00:01:42] 智能制造
[00:01:42 - 00:01:42] 微电子
[00:01:42 - 00:01:43] 它都有开设
[00:01:43 - 00:01:45] 这些行业的发展前景
[00:01:45 - 00:01:46] 就不用我多说了吧
[00:01:46 - 00:01:47] 专业好
[00:01:47 - 00:01:48] 学生培养这一块
[00:01:48 - 00:01:50] 自然也就有了保障
[00:01:50 - 00:01:51] 就说去年吧
[00:01:51 - 00:01:54] 人家不仅拿下了国家级教学成果20两
[00:01:54 - 00:01:57] 而且在最新的高校大学生竞赛榜单里面
[00:01:57 - 00:01:59] 排到了全国第64
[00:01:59 - 00:02:00] 地方院校第34位
[00:02:00 - 00:02:02] 把孩子放到这样的环境里
[00:02:02 - 00:02:04] 家长也就没有什么可担心的了
[00:02:04 - 00:02:06] 最后咱们再聊聊大家关心的就业
[00:02:06 - 00:02:07] 就这么说
[00:02:07 - 00:02:08] 想进国企事业边
[00:02:08 - 00:02:10] 蓝丽宏绝对是一个很好的跳板
[00:02:10 - 00:02:11] 不信的你去看看
[00:02:11 - 00:02:14] 今年国家电网在全国的录取名单当中
[00:02:14 - 00:02:18] 甘肃分公司第一批一共录取了500多个人
[00:02:18 - 00:02:21] 有七分之一都是蓝丽宏毕业的
[00:02:21 - 00:02:22] 还有什么中铁
[00:02:22 - 00:02:23] 中国电舰
[00:02:23 - 00:02:24] 东风汽车
[00:02:24 - 00:02:25] 国家零元
[00:02:25 - 00:02:26] 机会很多
[00:02:26 - 00:02:27] 找过好工作
[00:02:27 - 00:02:28] 不是问题
[00:02:28 - 00:02:30] 也有同学可能想往上读研
[00:02:30 - 00:02:32] 这方面我也帮大家了解了
[00:02:32 - 00:02:35] 蓝理工总的生造率能到24%左右
[00:02:35 - 00:02:37] 推免差不多是5%
[00:02:37 - 00:02:38] 要是能进基地班
[00:02:38 - 00:02:39] 卓越班的话
[00:02:39 - 00:02:40] 这个比例就更高了
[00:02:40 - 00:02:42] 30%都能保研
[00:02:42 - 00:02:44] 这在同层次的高效率本
[00:02:44 - 00:02:46] 算得上是终上水平了
[00:02:46 - 00:02:48] 总之蓝理工的性价比是很高的
[00:02:48 - 00:02:50] 大家可以多多关注一下
