BV号：BV1Ho3yzGEE4
标题：BV1Ho3yzGEE4
链接：https://www.bilibili.com/video/BV1Ho3yzGEE4
识别语言：zh
语言置信度：1
分段数：73
生成时间：2026-04-03 04:29:22

[00:00:00 - 00:00:01] 这是我想问一下
[00:00:01 - 00:00:04] 计算机和软件工程的电子信息
[00:00:04 - 00:00:06] 这三个专业有什么值
[00:00:06 - 00:00:07] 计算机和软件是一个专业
[00:00:07 - 00:00:09] 电子信息是电的信息
[00:00:09 - 00:00:11] 计算机没有物理电的信息有理
[00:00:11 - 00:00:13] 如果说您想就业口径宽
[00:00:13 - 00:00:16] 电的信息包含硬件 包含软件
[00:00:16 - 00:00:18] 计算机是有软件没有硬件
[00:00:18 - 00:00:19] 如果说你论就业口径宽
[00:00:19 - 00:00:21] 那肯定电的信息大于计算机
[00:00:21 - 00:00:22] 但是计算机它是口供的大专业
[00:00:22 - 00:00:24] 如果您想口供的话
[00:00:24 - 00:00:25] 就是计算机大于电的信息
[00:00:25 - 00:00:26] 至于报什么学校
[00:00:26 - 00:00:28] 看你怎么认算
[00:00:28 - 00:00:28] 另外
[00:00:28 - 00:00:30] 孩子 我想跟你说的是
[00:00:30 - 00:00:31] 不要听别人说什么
[00:00:31 - 00:00:33] 你要有自己的判断能力
[00:00:33 - 00:00:34] 孩子
[00:00:34 - 00:00:36] 你因为你如果说要有一个
[00:00:36 - 00:00:36] 所谓的221的话
[00:00:36 - 00:00:38] 它前提条件是什么
[00:00:38 - 00:00:40] 前提条件是同一个专业
[00:00:40 - 00:00:41] 最有的时候
[00:00:41 - 00:00:42] 大家经常跟我们讲说
[00:00:42 - 00:00:43] 老是221肯定了
[00:00:43 - 00:00:44] 221肯定了
[00:00:44 - 00:00:45] 就是每一年
[00:00:45 - 00:00:48] 因为马上要到了这个报考纪了
[00:00:48 - 00:00:49] 一旦到了报考纪
[00:00:49 - 00:00:50] 网上就会有一个争论
[00:00:50 - 00:00:51] 叫做院校公众要
[00:00:51 - 00:00:52] 还是专业公众要
[00:00:52 - 00:00:53] 然后的话就会有人说说
[00:00:53 - 00:00:55] 所谓的学校公众要
[00:00:55 - 00:00:57] 他说学校公众要的理由是什么呢
[00:00:57 - 00:00:58] 他说学校公众的理由是
[00:00:58 - 00:01:01] 张老师 你看很多很多阳光企的照片的时候
[00:01:01 - 00:01:03] 人家只要21985
[00:01:03 - 00:01:03] 他说的有没有错
[00:01:03 - 00:01:05] 他说的没有错 各位家长
[00:01:05 - 00:01:07] 确实是很多阳光企的照片的时候
[00:01:07 - 00:01:08] 只要21985
[00:01:08 - 00:01:11] 但是很多阳光企在招聘的时候说
[00:01:11 - 00:01:14] 我只要21985的前提条件是什么
[00:01:14 - 00:01:15] 前提条件是什么
[00:01:15 - 00:01:18] 前提条件来各位家长把四个字打为公平上
[00:01:18 - 00:01:20] 叫专业对口
[00:01:20 - 00:01:21] 叫专业对口
[00:01:21 - 00:01:23] 专业对口的情况下
[00:01:23 - 00:01:24] 我优先要21985
[00:01:24 - 00:01:26] 你专业不对口
[00:01:26 - 00:01:28] 你实际2191是没有意义的
[00:01:28 - 00:01:31] 所以说你说老师在专业对口的情况下
[00:01:31 - 00:01:34] 人家将会起更喜欢用RL985
[00:01:34 - 00:01:35] 这不废话吗
[00:01:35 - 00:01:37] 我们再比院校更重要
[00:01:37 - 00:01:38] 还是专业更重要
[00:01:38 - 00:01:39] 然后你跟我说老师
[00:01:39 - 00:01:41] 在专业相同的情况下
[00:01:41 - 00:01:41] 院校更重要
[00:01:41 - 00:01:43] 你这不废话吗
[00:01:43 - 00:01:45] 那在院校相同的情况下
[00:01:45 - 00:01:46] 什么专业还更重要呢
[00:01:46 - 00:01:47] 对吧
[00:01:47 - 00:01:49] 所以说你说这个东西没有意义
[00:01:49 - 00:01:51] 我们讲所谓的院校更重要
[00:01:51 - 00:01:52] 和专业更重要的前提条件是什么
[00:01:52 - 00:01:56] 是一个所谓好学校的冷门专业
[00:01:56 - 00:02:00] 和一個相對沒有名頭的熱門專業
[00:02:00 - 00:02:01] 你這種去對比
