BV号：BV1vqEtziEYZ
标题：BV1vqEtziEYZ
链接：https://www.bilibili.com/video/BV1vqEtziEYZ
识别语言：zh
语言置信度：1
分段数：75
生成时间：2026-04-03 04:53:45

[00:00:00 - 00:00:06] 那老师就比如说如果以后他想从事跟地理相关的这种工作的话
[00:00:06 - 00:00:08] 跟地理相关的话是三个专业
[00:00:08 - 00:00:09] 一个叫做自然地理学
[00:00:09 - 00:00:10] 一个叫人文地理学
[00:00:10 - 00:00:11] 一个叫地理新型科学
[00:00:11 - 00:00:12] 包括地理科学
[00:00:12 - 00:00:15] 家长地理类专业当中有这四个专业
[00:00:15 - 00:00:17] 我给你一个一个解释一下这四个专业是干嘛的
[00:00:17 - 00:00:18] 就是刚才我跟你说的
[00:00:18 - 00:00:19] 地理科学
[00:00:19 - 00:00:20] 自然地理
[00:00:20 - 00:00:20] 人文地理
[00:00:20 - 00:00:22] 和地理新型科学
[00:00:22 - 00:00:23] 地理科学是干嘛的
[00:00:23 - 00:00:24] 地理科学是地理老师
[00:00:24 - 00:00:25] 这个叫地理科学
[00:00:25 - 00:00:26] 它后边一文地理科学
[00:00:26 - 00:00:28] 后边加四个字叫示范类
[00:00:28 - 00:00:28] 知道吧
[00:00:28 - 00:00:29] 自然地理学
[00:00:29 - 00:00:33] 自然地理学就是山川河流地貌自然地理学
[00:00:33 - 00:00:34] 比如说我给你举个简单的例子
[00:00:34 - 00:00:36] 我女儿在去年暑假的时候
[00:00:36 - 00:00:38] 参加了一个节目叫喊暑假
[00:00:38 - 00:00:40] 她当时跑到卡石塔线
[00:00:40 - 00:00:43] 塔石库尔干塔德克族自治县
[00:00:43 - 00:00:45] 那边有山川地貌中科院地理所
[00:00:45 - 00:00:46] 在那边有科考站
[00:00:46 - 00:00:49] 然后的话专门研究我们高原上的冰川
[00:00:49 - 00:00:52] 就比如说我们的气温变化
[00:00:52 - 00:00:53] 让这个冰川融化
[00:00:53 - 00:00:55] 原来冰川是在这个县的
[00:00:55 - 00:00:58] 后来冰川慢慢融化融化融化到上面
[00:00:58 - 00:00:59] 上面很多山都吐了
[00:00:59 - 00:01:01] 就研究气候变化
[00:01:01 - 00:01:02] 对于自然地貓的影响
[00:01:02 - 00:01:03] 这个叫自然地理
[00:01:03 - 00:01:04] 知道吧
[00:01:04 - 00:01:05] 比如像沙漠
[00:01:05 - 00:01:07] 比如像自然地貓雪山
[00:01:07 - 00:01:08] 叫卡斯特
[00:01:08 - 00:01:09] 这叫自然地貓
[00:01:09 - 00:01:10] 这叫自然地理
[00:01:10 - 00:01:11] 人文地理是什么
[00:01:11 - 00:01:12] 人文地理指的是
[00:01:12 - 00:01:13] 比如说我经济开发区
[00:01:13 - 00:01:14] 我该怎么建
[00:01:14 - 00:01:16] 就是还在学的人文地理的那本书
[00:01:16 - 00:01:16] 然后的话
[00:01:16 - 00:01:18] 这个地方有什么封土人形
[00:01:18 - 00:01:19] 利用这个封土人形
[00:01:19 - 00:01:21] 我们如何去开发这个地方的
[00:01:21 - 00:01:21] 旅游资源
[00:01:21 - 00:01:23] 这个叫的人文地理
[00:01:23 - 00:01:23] 知道吧
[00:01:23 - 00:01:24] 然后地理新学科学是什么
[00:01:24 - 00:01:26] 地理新学科学是把测量出来的
[00:01:26 - 00:01:28] 地理数据给的数字画信息
[00:01:28 - 00:01:29] 画软件画网络画
[00:01:29 - 00:01:30] 比如说我通过测量
[00:01:30 - 00:01:32] 测量这个山有多高
[00:01:32 - 00:01:33] 我就标注这个山有多高
[00:01:33 - 00:01:34] 我测量这个道路有多长
[00:01:34 - 00:01:36] 我就知道这个道路有多长
[00:01:36 - 00:01:37] 然后的话通过计算机的技术手段
[00:01:37 - 00:01:39] 把我们测量出来的地理信息
[00:01:39 - 00:01:42] 叫做数据画软件化网络化信息化
[00:01:42 - 00:01:43] 为什么我跟你说
[00:01:43 - 00:01:44] 地信这个专业
[00:01:44 - 00:01:45] 它其实就是计算机
[00:01:45 - 00:01:49] 因为地信指的是用计算机编程的手段
[00:01:49 - 00:01:53] 将地理信息网络化数据化信息化
[00:01:53 - 00:01:56] 所以说计算机这个东西是我们实现
[00:01:56 - 00:02:01] 地理数据的网络化数字化 软件化 信息化的实际和手段
[00:02:01 - 00:02:02] 所以说它就是计算机
