BV号：BV1NzFVzPEX1
标题：BV1NzFVzPEX1
链接：https://www.bilibili.com/video/BV1NzFVzPEX1
识别语言：zh
语言置信度：1
分段数：164
生成时间：2026-04-03 00:23:44

[00:00:00 - 00:00:02] 来各位家长 我在直播间以前说过很多次
[00:00:02 - 00:00:03] 你说40岁
[00:00:03 - 00:00:04] 原来其实大家都听说的是什么
[00:00:04 - 00:00:06] 所谓的35岁中间危机
[00:00:06 - 00:00:07] 对吧
[00:00:07 - 00:00:08] 来各位家长 我问你
[00:00:08 - 00:00:09] 35岁到40岁
[00:00:09 - 00:00:12] 难道你以为是只有计算机会实验
[00:00:12 - 00:00:13] 别的不会吗
[00:00:13 - 00:00:15] 它是一个人生的阶段
[00:00:15 - 00:00:17] 就是你会发现我们刚开始毕业的时候
[00:00:17 - 00:00:18] 年轻人
[00:00:18 - 00:00:18] 对吧
[00:00:18 - 00:00:19] 我们30岁之前
[00:00:19 - 00:00:21] 我们所有的重点
[00:00:21 - 00:00:21] 时间
[00:00:21 - 00:00:22] 活力
[00:00:22 - 00:00:23] 都可以给公司
[00:00:23 - 00:00:24] 但是你到了35岁以后的话
[00:00:24 - 00:00:25] 人到中年
[00:00:25 - 00:00:27] 很有可能你已经成了家
[00:00:27 - 00:00:27] 对吧
[00:00:27 - 00:00:28] 你要问你的大假考虑
[00:00:28 - 00:00:29] 比如要为你的小家考虑
[00:00:29 - 00:00:31] 比如说人到了中年
[00:00:31 - 00:00:33] 你的父母都可能有的
[00:00:33 - 00:00:35] 可能不会不再健康
[00:00:35 - 00:00:36] 你要涉及到养老的问题
[00:00:36 - 00:00:37] 然后的话
[00:00:37 - 00:00:38] 你能有了家庭
[00:00:38 - 00:00:40] 你要考虑到你的另外一半
[00:00:40 - 00:00:41] 他的一些感受的问题
[00:00:41 - 00:00:42] 你可能有了孩子
[00:00:42 - 00:00:44] 你要考虑个孩子教育的问题
[00:00:44 - 00:00:46] 你人的经历是有限的
[00:00:46 - 00:00:47] 你在中年阶段
[00:00:47 - 00:00:49] 你在工作上投入的经历
[00:00:49 - 00:00:52] 是一定比你青年阶段要少的
[00:00:52 - 00:00:53] 但各位家长
[00:00:53 - 00:00:55] 你觉得这个是指示计算第一个专业的问题
[00:00:55 - 00:00:57] 我觉得这是所有专业的问题
[00:00:57 - 00:00:58] 这是我给你说的第一点
[00:00:58 - 00:01:00] 第二点 我直播间联卖的时候
[00:01:00 - 00:01:01] 曾经联卖过一个遼宁的家长
[00:01:01 - 00:01:03] 至于我们好几年前的一个联卖了
[00:01:03 - 00:01:04] 那个联卖我觉得很经典
[00:01:04 - 00:01:07] 一个遼宁的家长问的问题跟你一模一样
[00:01:07 - 00:01:09] 但是他有一个不一样的地方是什么呢
[00:01:09 - 00:01:12] 那个家长有一个弟弟是腾讯的
[00:01:12 - 00:01:13] 然后的话我就问他
[00:01:13 - 00:01:14] 我说家长你弟弟是腾讯的
[00:01:14 - 00:01:16] 他在腾讯应该干了很长时间了吧
[00:01:16 - 00:01:18] 头上对张老师他在腾讯已经干了十几年了
[00:01:18 - 00:01:20] 我说他深圳是不是已经买了房了
[00:01:20 - 00:01:22] 头上张老师对他腾讯那边
[00:01:22 - 00:01:23] 他挣的比较多
[00:01:23 - 00:01:26] 然后腾讯那边他现在在深圳买了两套房了
[00:01:26 - 00:01:27] 但是他现在40岁了
[00:01:27 - 00:01:28] 觉得自己干不动了
[00:01:28 - 00:01:29] 我说家长
[00:01:29 - 00:01:31] 那你干不动干不动了呗
[00:01:31 - 00:01:31] 为什么
[00:01:31 - 00:01:33] 你在深圳买了两套房了呀
[00:01:33 - 00:01:34] 我说句不好听的话
[00:01:34 - 00:01:35] 你深圳有两套房
[00:01:35 - 00:01:37] 你在腾讯干不动了
[00:01:37 - 00:01:38] 你到深圳的早堂子里边
[00:01:38 - 00:01:39] 你当个搓搓工
[00:01:39 - 00:01:40] 你有两套房了
[00:01:40 - 00:01:42] 也就是说这个行业
[00:01:42 - 00:01:44] 如果说你真的学到非常顶端
[00:01:44 - 00:01:46] 你在前几年的时候
[00:01:46 - 00:01:50] 你是可以挣还不错的收入去养你后边的
[00:01:50 - 00:01:52] 比如说你会发现现在在网上很多人干嘛呢
[00:01:52 - 00:01:55] 他30岁左右的时候在大厂辞职
[00:01:55 - 00:01:57] 因为他26岁 24岁 26岁
[00:01:57 - 00:02:00] 在大的好的学校的计算级研究生毕业
[00:02:00 - 00:02:01] 他第一年好好干
[00:02:01 - 00:02:02] 第二年好好干
[00:02:02 - 00:02:02] 第三年好好干
[00:02:02 - 00:02:03] 一直干到32岁
[00:02:03 - 00:02:05] 然后他干到32岁干嘛呢
[00:02:05 - 00:02:06] 辞职 口供口边
[00:02:06 - 00:02:07] 因为计算级这个主意
[00:02:07 - 00:02:09] 口供口边岗位特别多
[00:02:09 - 00:02:10] 你又是名秀毕业的
[00:02:10 - 00:02:12] 你又在大厂有实习的经验
[00:02:12 - 00:02:14] 学习那个工作的经验
[00:02:14 - 00:02:15] 再加面学习能力比较强
[00:02:15 - 00:02:16] 他32岁
[00:02:16 - 00:02:19] 攒够了300万回到县里边去口供了
[00:02:19 - 00:02:19] 来大家
[00:02:19 - 00:02:21] 你在网上有看过这种视频吗
[00:02:21 - 00:02:22] 好多这样的
[00:02:22 - 00:02:23] 我刚才写的说在大城市
[00:02:23 - 00:02:24] 我攒购了100万
[00:02:24 - 00:02:25] 攒购了200万
[00:02:25 - 00:02:26] 攒购了300万
[00:02:26 - 00:02:26] 然后的话
[00:02:26 - 00:02:28] 我考我们县城编辑的公园
[00:02:28 - 00:02:28] 哇
[00:02:28 - 00:02:30] 我那个存款有这个收入了
[00:02:30 - 00:02:31] 然后的话
[00:02:31 - 00:02:33] 我这个县城的公园编制
[00:02:33 - 00:02:34] 工资不高不高
[00:02:34 - 00:02:35] 无所谓
[00:02:35 - 00:02:36] 所以说你会发现有这样的
[00:02:36 - 00:02:37] 也就是说你学这种专业
[00:02:37 - 00:02:38] 你在前两年
[00:02:38 - 00:02:39] 在大县干的时候
[00:02:39 - 00:02:40] 很有可能已经是挣到钱来的
[00:02:40 - 00:02:41] 你学别的
[00:02:41 - 00:02:43] 你可能一辈子都挣不到那么多钱
[00:02:43 - 00:02:43] 但是你学这个
[00:02:43 - 00:02:44] 你干的好的话
[00:02:44 - 00:02:47] 你是通过5年到10年
[00:02:47 - 00:02:49] 是能挣到你将来可以要花的钱的
[00:02:49 - 00:02:50] 这是第二点
[00:02:50 - 00:02:51] 第三点
[00:02:51 - 00:02:53] 如果说你对计算机专业的理解
[00:02:53 - 00:02:54] 只是马农
[00:02:54 - 00:02:55] 那有可能
[00:02:55 - 00:02:56] 但是计算机专业
[00:02:56 - 00:02:57] 大家移动纪录
[00:02:57 - 00:02:58] 它是可以为各行各业富能的
[00:02:58 - 00:03:02] 如果说你能学计算机为其他行业富能
[00:03:02 - 00:03:03] 你到40岁的时候
[00:03:03 - 00:03:05] 你很可能不但不会失业
[00:03:05 - 00:03:09] 而且还会成为这个制造业领域的
[00:03:09 - 00:03:11] 数字化软件方面的专家
[00:03:11 - 00:03:12] 什么意思呢
[00:03:12 - 00:03:13] 各位家人
[00:03:13 - 00:03:13] 就是计算机这个专业
[00:03:13 - 00:03:14] 不是毕业以后
[00:03:14 - 00:03:15] 我只能当马农改成去
[00:03:15 - 00:03:17] 然后成千去更新更新更新更新
[00:03:17 - 00:03:19] 这个是无止境的
[00:03:19 - 00:03:21] 但是如果说我在某个行业
[00:03:21 - 00:03:22] 用计算机去负能
[00:03:22 - 00:03:23] 比如说价量我举个例子
[00:03:23 - 00:03:24] 你说老师我去计算机的
[00:03:24 - 00:03:26] 我是搞算法研究的
[00:03:26 - 00:03:28] 对于车辆的算法
[00:03:28 - 00:03:30] 我是很有心得的
[00:03:30 - 00:03:33] 我专门做汽车无人驾驶的算法研究
[00:03:33 - 00:03:35] 你干这个时间长了
[00:03:35 - 00:03:37] 你很有可能会成为汽车算法领域的专家
[00:03:37 - 00:03:39] 而不是所谓的被淘汰
[00:03:39 - 00:03:42] 因为一直干汽车算法领域的人
[00:03:42 - 00:03:45] 一共就没几个是屈指可属的
[00:03:45 - 00:03:46] 你听懂我的话了吗
[00:03:46 - 00:03:47] 所以说加长春
[00:03:47 - 00:03:49] 老师我计算机我干到35岁
[00:03:49 - 00:03:50] 干到40岁失业
[00:03:50 - 00:03:52] 有没有可能有可能
[00:03:52 - 00:03:54] 但是我总结的结论就是
[00:03:54 - 00:03:55] 你工作能力不强
[00:03:55 - 00:03:56] 你选择方向失误
[00:03:56 - 00:03:57] 是有可能会失业的
[00:03:57 - 00:03:59] 但是如果说你要是好好的
[00:03:59 - 00:04:01] 了解各行各业的一个发展前景
[00:04:01 - 00:04:03] 和你未来做好你人生关稿和选择的话
[00:04:03 - 00:04:05] 你可以不失业
[00:04:05 - 00:04:06] 看你自己
