BV号：BV1q7411s7S5
标题：BV1q7411s7S5
链接：https://www.bilibili.com/video/BV1q7411s7S5
识别语言：zh
语言置信度：1
分段数：392
生成时间：2026-04-04 03:17:34

[00:00:00 - 00:00:02] 大家好 欢迎收看本期的法律其实很好玩
[00:00:02 - 00:00:04] 那么有这么一个人叫做王某
[00:00:04 - 00:00:07] 有一天在家看电视的时候
[00:00:07 - 00:00:10] 突然就来了两个公安局的人
[00:00:10 - 00:00:12] 说王某你犯有重婚罪
[00:00:12 - 00:00:14] 现在我们要把你抓起来
[00:00:14 - 00:00:16] 王某说怎么可能我犯有重婚罪呢
[00:00:16 - 00:00:18] 我就一个老婆
[00:00:18 - 00:00:20] 我跟我原来那个老婆感情不好
[00:00:20 - 00:00:22] 离婚他也离不了
[00:00:22 - 00:00:23] 我们两个就分居了
[00:00:23 - 00:00:27] 我现在确实是跟一个女的住在一块
[00:00:27 - 00:00:30] 但是我们两个并没有去领结婚证
[00:00:30 - 00:00:33] 我就确实我们俩
[00:00:33 - 00:00:34] 但我没领结婚证
[00:00:34 - 00:00:36] 我不具备所谓的重婚
[00:00:36 - 00:00:37] 我没有第二婚
[00:00:37 - 00:00:39] 我怎么会重婚呢
[00:00:39 - 00:00:39] 我问机关说
[00:00:39 - 00:00:42] 可能你对重婚罪的理解有误
[00:00:42 - 00:00:46] 那么是不是只有结过两次婚才叫重婚
[00:00:46 - 00:00:47] 不
[00:00:47 - 00:00:50] 应该说是不是只有同时结两次婚才叫重婚
[00:00:50 - 00:00:53] 这就是我们本期要给大家讨论的故事
[00:01:05 - 00:01:05] 大家好
[00:01:05 - 00:01:07] 欢迎收看本期的法律其实很好玩
[00:01:07 - 00:01:09] 我身上学习变得更快乐的张雪峰老师
[00:01:09 - 00:01:11] 我们本期请到的嘉宾呢
[00:01:11 - 00:01:12] 依然是我们研途教育的千月老师
[00:01:12 - 00:01:13] 我们的颜雅小老师
[00:01:13 - 00:01:14] 严老师您跟大家打个招呼吧
[00:01:14 - 00:01:16] 好 大家好
[00:01:16 - 00:01:17] 严老师啊
[00:01:17 - 00:01:19] 这个重婚啊
[00:01:19 - 00:01:19] 这个
[00:01:19 - 00:01:21] 你想刚刚我们说的那个王某啊
[00:01:21 - 00:01:24] 他他他如果说就像他所说的啊
[00:01:24 - 00:01:26] 他他确实没有跟之前那个离婚
[00:01:26 - 00:01:27] 因为现在我们在说过
[00:01:27 - 00:01:29] 太多他都遇到这样的事情了
[00:01:29 - 00:01:31] 就是离婚好像现在也不是
[00:01:31 - 00:01:32] 到现在都不是一个
[00:01:32 - 00:01:33] 好像特别容易的事情
[00:01:33 - 00:01:34] 然后离不了
[00:01:34 - 00:01:35] 离不了完以后呢
[00:01:35 - 00:01:36] 他确实过不下去了
[00:01:36 - 00:01:40] 他也知道说我要是再跟另外一个人去结婚就是重婚
[00:01:40 - 00:01:42] 但是确实也生活在一块儿
[00:01:42 - 00:01:44] 那这个东西到底是不是重婚
[00:01:46 - 00:01:47] 我们刑法呢
[00:01:48 - 00:01:50] 这个就是说有配偶
[00:01:50 - 00:01:52] 而与他人结婚的
[00:01:53 - 00:01:54] 是重婚
[00:01:54 - 00:01:55] 对呀 但是他没与他人结婚
[00:01:55 - 00:01:57] 是的 你别急嘛
[00:01:57 - 00:01:58] 然后呢
[00:01:58 - 00:02:00] 后来就实践中因为有很多这种情况
[00:02:00 - 00:02:01] 就是他
[00:02:01 - 00:02:04] 不去跟别人领这个第二个结婚证
[00:02:04 - 00:02:08] 但是他跟别人真的是以夫妻名义同居
[00:02:08 - 00:02:10] 然后后来我们就做了一个司法解释说
[00:02:10 - 00:02:13] 这个重婚不仅包括
[00:02:13 - 00:02:15] 正式的领了第二个结婚证
[00:02:15 - 00:02:18] 也包括以夫妻名义同居的情况
[00:02:18 - 00:02:21] 那什么叫以夫妻名义同居
[00:02:21 - 00:02:24] 这个我觉得可就有说法了
[00:02:24 - 00:02:24] 比如说
[00:02:24 - 00:02:26] 经常两个人在一起
[00:02:26 - 00:02:28] 他有各种各样的爱情
[00:02:28 - 00:02:30] 他也不叫说老公啊老婆
[00:02:30 - 00:02:33] 那这个算不算以夫妻名义同居
[00:02:33 - 00:02:35] 如果你被人家听到
[00:02:35 - 00:02:37] 你比如说以前他们举证怎么举
[00:02:37 - 00:02:39] 我是他们小区的
[00:02:39 - 00:02:41] 他们俩另外外面租的房子
[00:02:41 - 00:02:41] 我在他们小区
[00:02:41 - 00:02:43] 我听到他们在小区里面
[00:02:43 - 00:02:44] 老公老婆这样的叫
[00:02:44 - 00:02:46] 这肯定是
[00:02:46 - 00:02:47] 但如果人家就叫宝宝贝贝
[00:02:47 - 00:02:49] 就叫宝宝贝贝
[00:02:49 - 00:02:50] 宝贝
[00:02:50 - 00:02:53] 这个你就不好定了
[00:02:53 - 00:02:53] 对呀
[00:02:53 - 00:02:54] 那么他是这样
[00:02:54 - 00:02:56] 就一般还是说按实址的情况
[00:02:56 - 00:02:58] 比如说实址的理解
[00:02:58 - 00:03:01] 你们两个在外面租了一个房子
[00:03:01 - 00:03:04] 然后你这个男的已经长期不回家了
[00:03:05 - 00:03:07] 你的家庭生活就在那一面
[00:03:07 - 00:03:08] 重心在那一面
[00:03:08 - 00:03:12] 那么这个就比较明显能够认为是一个宠魂
[00:03:12 - 00:03:14] 还有一些人他是这样
[00:03:14 - 00:03:17] 比如说他在他自己的这个家
[00:03:17 - 00:03:20] 他其实比如一周他有七天
[00:03:20 - 00:03:23] 他有一周七天还有六天都在他自己这个
[00:03:23 - 00:03:25] 他不喜欢的这个家里面
[00:03:25 - 00:03:27] 他只有一天在那边那个家里面
[00:03:27 - 00:03:31] 但是那边那个家那个房子是他租的
[00:03:31 - 00:03:34] 然后那边的开销可能主要是他负责的
[00:03:34 - 00:03:35] 然后他们可能还有个孩子
[00:03:35 - 00:03:37] 那这个就可以算
[00:03:37 - 00:03:39] 以夫妻名义同居
[00:03:39 - 00:03:42] 那我举个例子
[00:03:42 - 00:03:44] 你有想什么坏账呢
[00:03:44 - 00:03:48] 包二奶这个
[00:03:48 - 00:03:50] 算是重婚吗
[00:03:50 - 00:03:52] 包二奶咱们现在其实没有把他
[00:03:52 - 00:03:54] 就很多人没有去追过
[00:03:54 - 00:03:57] 包二奶其实大补大量都是
[00:03:57 - 00:03:59] 是重婚是重婚是重婚
[00:03:59 - 00:04:00] 很多都是
[00:04:00 - 00:04:02] 因为有很多他们包二奶
[00:04:02 - 00:04:04] 不是说一般的这种
[00:04:04 - 00:04:06] 只是有一个简单的婚外情
[00:04:06 - 00:04:08] 他又和他是有孩子的
[00:04:08 - 00:04:09] 他是有孩子的
[00:04:09 - 00:04:10] 然后他到那边去
[00:04:10 - 00:04:12] 也是一个爸爸的角色
[00:04:12 - 00:04:13] 当然女的比较少
[00:04:13 - 00:04:14] 一般是男的在外面包二奶
[00:04:14 - 00:04:16] 那么也是一个爸爸的角色
[00:04:16 - 00:04:19] 所以这种情况下的
[00:04:19 - 00:04:21] 女方如果追究的话
[00:04:21 - 00:04:23] 是可以把这个男的抓去坐牢的
[00:04:23 - 00:04:26] 但是如果女方不追究
[00:04:26 - 00:04:29] 他刑法上同婚他是一个公诉案件
[00:04:29 - 00:04:30] 还是一个
[00:04:30 - 00:04:32] 我跟你说这里面还有一个好玩的事情
[00:04:32 - 00:04:35] 咱们有一种案子叫侵告罪
[00:04:35 - 00:04:37] 就是你自己亲自告诉
[00:04:37 - 00:04:41] 侵告罪我们这个才认定为犯罪
[00:04:41 - 00:04:43] 如果你自己不告
[00:04:43 - 00:04:44] 哪怕大家觉得很恶心
[00:04:44 - 00:04:46] 你不告那么公安没有理由
[00:04:46 - 00:04:48] 没有权力带你去告
[00:04:48 - 00:04:49] 比如说侮辱肥胖
[00:04:49 - 00:04:51] 他在说你要自己告
[00:04:51 - 00:04:55] 那么当初想把重婚罪做成侵告罪
[00:04:55 - 00:04:57] 结果我们的全国妇联不统一
[00:04:57 - 00:04:59] 你知道全国妇联合会
[00:04:59 - 00:05:00] 全国妇联不统一
[00:05:00 - 00:05:01] 理由是什么呢
[00:05:01 - 00:05:03] 就说一般在一个家庭里面
[00:05:04 - 00:05:08] 这个重婚的都是有钱有势的一方
[00:05:08 - 00:05:09] 通常是相对强势的一方
[00:05:09 - 00:05:13] 相对强势的有钱有势
[00:05:13 - 00:05:14] 相对强势的一方
[00:05:14 - 00:05:17] 然后你让另外一方再去
[00:05:17 - 00:05:19] 搜集他的重婚的证据
[00:05:19 - 00:05:20] 很困难
[00:05:20 - 00:05:21] 很困难
[00:05:21 - 00:05:22] 所以他认为应该说
[00:05:22 - 00:05:24] 我只要有一点线索
[00:05:24 - 00:05:26] 我向你公安機關舉報
[00:05:26 - 00:05:28] 你公安機關應該來
[00:05:28 - 00:05:30] 蒐集這個人重婚的證據
[00:05:30 - 00:05:31] 然後你來起訴
[00:05:31 - 00:05:33] 這個是對女性的一個保護
[00:05:33 - 00:05:34] 所以他呢
[00:05:34 - 00:05:35] 從民意上講
[00:05:35 - 00:05:37] 他是從法律上講
[00:05:37 - 00:05:37] 理論上講
[00:05:37 - 00:05:39] 他是一個公訴罪
[00:05:39 - 00:05:40] 公訴罪應該是由公安
[00:05:40 - 00:05:41] 偵查
[00:05:41 - 00:05:42] 然後到檢察院
[00:05:42 - 00:05:43] 然後到那個哪
[00:05:43 - 00:05:44] 我跟你說個好玩的事情
[00:05:44 - 00:05:46] 那個你知道我們國家
[00:05:46 - 00:05:47] 新的婚姻
[00:05:47 - 00:05:49] 1997年這個刑法通過之後
[00:05:49 - 00:05:51] 廣東省第一例
[00:05:51 - 00:05:54] 有检察院起诉的重婚是什么样子的呢
[00:05:55 - 00:05:56] 一个男的 企业家
[00:05:57 - 00:05:59] 盖了六层
[00:05:59 - 00:06:00] 盖了六层楼
[00:06:00 - 00:06:00] 他有一个
[00:06:00 - 00:06:01] 他们不是好多人
[00:06:01 - 00:06:03] 他们当第一人就一栋楼吗
[00:06:03 - 00:06:04] 然后一个老婆一层
[00:06:05 - 00:06:06] 成功六层
[00:06:07 - 00:06:08] 第一层住的大老婆
[00:06:08 - 00:06:10] 上面五层各自
[00:06:10 - 00:06:11] 一层一个
[00:06:11 - 00:06:12] 一层一个
[00:06:12 - 00:06:13] 当时特别互动
[00:06:13 - 00:06:13] 我跟你说
[00:06:13 - 00:06:14] 你在说六的时候
[00:06:14 - 00:06:16] 我估计弹幕上就四个字
[00:06:16 - 00:06:17] 人声音价
[00:06:24 - 00:06:24] 我知道
[00:06:24 - 00:06:27] 说不定
[00:06:27 - 00:06:28] 我也要
[00:06:28 - 00:06:29] 我也要
[00:06:29 - 00:06:30] 看官不正
[00:06:30 - 00:06:32] 那当时很轰动
[00:06:32 - 00:06:33] 六个老婆
