BV号：BV1pa4y1R7oR
标题：BV1pa4y1R7oR
链接：https://www.bilibili.com/video/BV1pa4y1R7oR
识别语言：zh
语言置信度：1
分段数：48
生成时间：2026-04-03 13:02:44

[00:00:00 - 00:00:03] 你以为我们调技比例不到1%是怎么来的
[00:00:03 - 00:00:04] 这么
[00:00:04 - 00:00:06] 我们都会有一个预测
[00:00:06 - 00:00:08] 我给大家讲一个我们最麻烦的一个
[00:00:08 - 00:00:11] 去年我们有一个吉林的孩子
[00:00:11 - 00:00:12] 吉林因为他是老的生学考试
[00:00:12 - 00:00:14] 他抱卷受调技的
[00:00:14 - 00:00:15] 这孩子想到大连理工大学
[00:00:15 - 00:00:16] 他说赵老师
[00:00:16 - 00:00:18] 我们家报职院报大连理工大学
[00:00:18 - 00:00:19] 我们希望不调技
[00:00:19 - 00:00:20] 我们怎么做
[00:00:20 - 00:00:23] 大连理工大学带吉林省给招生计划
[00:00:23 - 00:00:26] 给专业一共给了大概将近40个
[00:00:26 - 00:00:28] 那我们要做的事情是什么呢
[00:00:28 - 00:00:30] 因为我们自己报的时候
[00:00:30 - 00:00:31] 我们有一套自己的数据库
[00:00:31 - 00:00:32] 我们自己那个数据库
[00:00:32 - 00:00:34] 不但有这个学校这个招待的最低分
[00:00:34 - 00:00:36] 我们也有这个学校这个招待的最高分
[00:00:36 - 00:00:39] 我们会去看
[00:00:39 - 00:00:42] 往年这个学校这个招待的最高分
[00:00:42 - 00:00:43] 文老师你们看最高分干嘛呢
[00:00:43 - 00:00:44] 大家注意
[00:00:44 - 00:00:46] 我们看最高分的意义是什么
[00:00:46 - 00:00:46] 大家注意啊
[00:00:46 - 00:00:48] 尤其是你这个省报外省的学校
[00:00:48 - 00:00:50] 我们看最高分的意义是
[00:00:50 - 00:00:52] 你这个省份的人
[00:00:52 - 00:00:55] 对另外一个省的这个学校
[00:00:55 - 00:00:56] 考到多少分
[00:00:56 - 00:01:00] 考到多少位次的人可能会对这个学校产生兴趣
[00:01:00 - 00:01:02] 这个省的第一肯定不帮那个学校
[00:01:02 - 00:01:03] 这个省第二不帮那个学校
[00:01:03 - 00:01:04] 第一省第三不帮那个学校
[00:01:04 - 00:01:08] 我们会看去年这个学校录的最高分
[00:01:08 - 00:01:09] 是多少分是多少位
[00:01:09 - 00:01:12] 也就是你们这个省大概从第多少位开始
[00:01:12 - 00:01:14] 开始对这个省感兴趣
[00:01:14 - 00:01:16] 然后我们在根据去年的报告情况
[00:01:16 - 00:01:21] 推断你大概会排到报这个学校的多少名
[00:01:21 - 00:01:24] 然后再推算比你分高的那些人
[00:01:24 - 00:01:26] 可能会报什么专业
[00:01:26 - 00:01:28] 再给你填六个专业
[00:01:28 - 00:01:29] 你不会被挑剔
[00:01:29 - 00:01:31] 我们是这么报
[00:01:31 - 00:01:34] 你以为我们挑剔比例不到1%是怎么来的
[00:01:34 - 00:01:35] 这么
