BV号：BV1oa411s7Cn
标题：BV1oa411s7Cn
链接：https://www.bilibili.com/video/BV1oa411s7Cn
识别语言：zh
语言置信度：1
分段数：66
生成时间：2026-04-03 18:58:28

[00:00:00 - 00:00:01] 接下来给大家介绍的这所学校
[00:00:01 - 00:00:03] 名头可是非常的想
[00:00:03 - 00:00:04] 大家可能都知道
[00:00:04 - 00:00:08] 那么有无所交通大学是同跟同源
[00:00:08 - 00:00:10] 同属一派的C9名校
[00:00:10 - 00:00:11] 西安交大
[00:00:11 - 00:00:13] 那么西安交大是1956年
[00:00:13 - 00:00:16] 交通大学的主体内先西安以后建立的
[00:00:16 - 00:00:18] 当时交通大学的三分之二以上的
[00:00:18 - 00:00:21] 施资级设备以及全部的学校
[00:00:21 - 00:00:22] 党案签字先
[00:00:22 - 00:00:26] 可以说西安交大是老交大的主要继承者
[00:00:26 - 00:00:28] 现在它的头衔随便另一个出来
[00:00:28 - 00:00:29] 都是极具分量的
[00:00:29 - 00:00:31] 交易部指数重点高校,
[00:00:31 - 00:00:33] 985首批9所高校之一,
[00:00:33 - 00:00:36] 21工程首批7所高校之一,
[00:00:36 - 00:00:38] 国家双一流A类建设高校,
[00:00:38 - 00:00:41] 大名盯着的九校联盟C9高校之一,
[00:00:41 - 00:00:43] 环台平洋大学联盟成员高校。
[00:00:43 - 00:00:47] 目前先交大有2月月是45个人,
[00:00:47 - 00:00:50] 8个国家一级重点学科,
[00:00:50 - 00:00:52] 数量是排名全国第7位的,
[00:00:52 - 00:00:53] 8个双一流学科,
[00:00:53 - 00:00:57] 第4轮学科评估当中有14个学科评估是货评A类,
[00:00:57 - 00:01:03] 其中動筆工程及工程若物理和電器工程是全國的第一的A家
[00:01:03 - 00:01:06] 數學力學機械工程工商管理
[00:01:06 - 00:01:08] 應用經濟學馬克思主義理論
[00:01:08 - 00:01:09] 材料科學與工程
[00:01:09 - 00:01:11] 電子科學與技術
[00:01:11 - 00:01:12] 控制科學與工程
[00:01:12 - 00:01:13] 計算機科學與技術
[00:01:13 - 00:01:15] 管理科學與工程
[00:01:15 - 00:01:17] 公共管理等位局A類
[00:01:17 - 00:01:19] 先交大科研實力也是沒得說
[00:01:19 - 00:01:23] 我們2021年發明專利轉化數量是全國排在第三的
[00:01:23 - 00:01:25] 2021年中國高等教育學會
[00:01:25 - 00:01:29] 高校学科竞赛排行位局全国第四
[00:01:29 - 00:01:31] 2016年到2020年
[00:01:31 - 00:01:33] 以第一文程单位获得三大奖
[00:01:33 - 00:01:36] 是有二十项居全国高校第五位
[00:01:36 - 00:01:38] 拥有国家重点实验室
[00:01:38 - 00:01:41] 有五个数量位列全国高校的第五位
[00:01:41 - 00:01:42] 先交大毕业生
[00:01:42 - 00:01:44] 更是广受各行各业的亲爱
[00:01:44 - 00:01:48] 2021届本科生出国出境生造率
[00:01:48 - 00:01:49] 约为14%
[00:01:49 - 00:01:51] 保原率是32%
[00:01:51 - 00:01:53] 生造率是66%
[00:01:53 - 00:01:56] 本科毕业就业率高达99.6%
[00:01:56 - 00:02:00] 有22%的毕业生进入了大型的央企和科研单位
[00:02:00 - 00:02:03] 30%的毕业生进入到世界企业无外墙企业工作
[00:02:03 - 00:02:07] 而2022年QS全球毕业生就业能力排行榜
[00:02:07 - 00:02:09] 并列中国大陆高校第9名
[00:02:09 - 00:02:12] 不得不提先交大的校锋和学锋是非常不错的
[00:02:13 - 00:02:14] 学习和科研的氛围浓厚
[00:02:14 - 00:02:19] 教育部本科教学工作审核评估专家组曾经这样评价
[00:02:19 - 00:02:22] 说先交大是一所能在浮躁世界中
[00:02:22 - 00:02:24] 放下一端平静舒多的地方
[00:02:24 - 00:02:26] 可以看得出这个学校的销锋和学锋
[00:02:26 - 00:02:28] 所以说无论是考虑学校实力
[00:02:28 - 00:02:30] 还是说我们的销锋学锋
[00:02:30 - 00:02:31] 无论是深度比例
[00:02:31 - 00:02:32] 还是说就业前景
[00:02:32 - 00:02:35] 先觉得都是非常值得报考的一所大学
[00:02:35 - 00:02:37] 高分的考证可以稍微关注一下
