BV号：BV1Cg411Z7se
标题：BV1Cg411Z7se
链接：https://www.bilibili.com/video/BV1Cg411Z7se
识别语言：zh
语言置信度：1
分段数：31
生成时间：2026-04-03 18:15:38

[00:00:00 - 00:00:02] 我经常跟我的学生说一句话
[00:00:02 - 00:00:03] 我说老弟你要记住
[00:00:03 - 00:00:06] 你现在在学习上所吃的苦
[00:00:06 - 00:00:08] 是为了让你到我这个年龄的时候
[00:00:08 - 00:00:10] 能够想点福
[00:00:10 - 00:00:11] 你现在在学习上吃苦
[00:00:11 - 00:00:13] 你将来工作在社会上
[00:00:13 - 00:00:14] 你就少吃苦
[00:00:14 - 00:00:15] 你学习上
[00:00:15 - 00:00:17] 你说老师我偷点来
[00:00:17 - 00:00:19] 将来这个社会会加倍还给你
[00:00:19 - 00:00:21] 当你看到这个社会
[00:00:21 - 00:00:24] 很多所谓的低级别的工作
[00:00:24 - 00:00:26] 你感觉他们很辛苦的时候
[00:00:26 - 00:00:27] 原因是什么
[00:00:27 - 00:00:29] 在前面学习的时候
[00:00:29 - 00:00:30] 没吃那么多苦
[00:00:30 - 00:00:32] 我学习的时候我少玩了
[00:00:32 - 00:00:34] 我每天努力学习
[00:00:34 - 00:00:35] 那凭什么将来长大了
[00:00:35 - 00:00:37] 我正的跟你一样多呢
[00:00:37 - 00:00:38] 凭什么呢
[00:00:38 - 00:00:40] 你现在要做的任务是什么
[00:00:40 - 00:00:42] 要做的任务是往自己身上加技能
[00:00:42 - 00:00:44] 你往自己身上加技能
[00:00:44 - 00:00:45] 你将来才会帮助到别人
[00:00:45 - 00:00:48] 才会由别人求你办事
[00:00:48 - 00:00:49] 你才能会交到朋友
[00:00:49 - 00:00:52] 我说你不要等到社会去读打你一顿
[00:00:52 - 00:00:55] 你才知道原来这个社会是这个样子的
[00:00:55 - 00:00:58] 等你在后悔的时候你已经晚了
