BV号：BV1Z56vBcEZs
标题：BV1Z56vBcEZs
链接：https://www.bilibili.com/video/BV1Z56vBcEZs
识别语言：zh
语言置信度：1
分段数：113
生成时间：2026-04-03 00:31:21

[00:00:00 - 00:00:02] 你们要有一级学科思维
[00:00:02 - 00:00:06] 你先跟我说你抱的是哪个一级学科
[00:00:06 - 00:00:07] 王都老师那为什么不看
[00:00:07 - 00:00:09] 底下就本科的这些专业
[00:00:09 - 00:00:10] 我跟他这样说
[00:00:10 - 00:00:11] 他大差不差
[00:00:11 - 00:00:13] 同一个一级学科下
[00:00:13 - 00:00:15] 他下面所学的细分专业
[00:00:15 - 00:00:17] 没有大家想象的那么细
[00:00:17 - 00:00:19] 几个别的专业会特别细
[00:00:19 - 00:00:20] 比如说给大家举个例子
[00:00:20 - 00:00:21] 临床医学
[00:00:21 - 00:00:23] 临床医学下面的类
[00:00:23 - 00:00:24] 马对学就是马对学
[00:00:24 - 00:00:26] 儿科学就是儿科学
[00:00:26 - 00:00:27] 精神医学就是精神医学
[00:00:27 - 00:00:28] 你学的精神医学
[00:00:28 - 00:00:29] 不可能当别的科的大夫
[00:00:29 - 00:00:30] 你学了儿科学
[00:00:30 - 00:00:31] 你不可能治精神病
[00:00:31 - 00:00:32] 你治精神病
[00:00:32 - 00:00:34] 你不可能治小孩
[00:00:34 - 00:00:36] 除非说这种极为特殊度专业
[00:00:36 - 00:00:37] 它下面的专业细分
[00:00:37 - 00:00:38] 分得很明昔
[00:00:38 - 00:00:40] 其他的功课专业
[00:00:40 - 00:00:41] 理工类专业
[00:00:41 - 00:00:43] 它下面的这些本科专业
[00:00:43 - 00:00:44] 分的没有那么细
[00:00:44 - 00:00:46] 我们经常给大家讲
[00:00:46 - 00:00:47] 本科阶段学习的
[00:00:47 - 00:00:48] 叫宽
[00:00:48 - 00:00:49] 研究生阶段
[00:00:49 - 00:00:50] 叫砖
[00:00:50 - 00:00:51] 模式阶段
[00:00:51 - 00:00:52] 叫坚
[00:00:52 - 00:00:54] 所以说你在本科报社院的时候
[00:00:54 - 00:00:56] 你只需要有一级学科的思维
[00:00:56 - 00:00:57] 就可以了
[00:00:57 - 00:00:57] 来
[00:00:57 - 00:00:59] 家长你回学后你跟你的孩子去
[00:00:59 - 00:01:00] 你不是有这个缩体门吗
[00:01:00 - 00:01:01] 对不对
[00:01:01 - 00:01:03] 你跟你的孩子你就选一级学科类
[00:01:03 - 00:01:05] 来你跟我说你要学哪个类
[00:01:05 - 00:01:07] 因为不同类是不一样的
[00:01:07 - 00:01:08] 比如说
[00:01:08 - 00:01:10] 张老师刚才你说的两个很混乱的
[00:01:10 - 00:01:11] 一个是生物科学
[00:01:11 - 00:01:13] 一个是这个生物医学工程
[00:01:13 - 00:01:14] 它完全不一样
[00:01:14 - 00:01:16] 给大家科普一下
[00:01:16 - 00:01:17] 生物科学是干嘛的
[00:01:17 - 00:01:19] 生物科学说白了就是生物
[00:01:19 - 00:01:20] 就是生物
[00:01:20 - 00:01:22] 什么叫生物呢
[00:01:22 - 00:01:23] 生物包含在研究生阶段
[00:01:23 - 00:01:25] 因为在本身阶段你看不出来啥
[00:01:25 - 00:01:27] 它叫这个生命科学生物技术
[00:01:27 - 00:01:28] 它在研究跟階段分什么
[00:01:28 - 00:01:29] 反正研究跟階段分成
[00:01:29 - 00:01:31] 植物学 动物学 生理学 生态学
[00:01:31 - 00:01:32] 水生生物学 神经生物学
[00:01:32 - 00:01:35] 发育生物学 遗传学 细胞生物学
[00:01:35 - 00:01:37] 生物化学分的生物学等等等等
[00:01:37 - 00:01:38] 这些专业这叫生物学
[00:01:38 - 00:01:40] 你会发现明显的是生物
[00:01:40 - 00:01:41] 为生物学 生化学分的生物学
[00:01:41 - 00:01:43] 细胞生物学 遗传学
[00:01:43 - 00:01:44] 水生物学 神经生物学
[00:01:44 - 00:01:46] 发育生物学 植物学 动物学等等等等
[00:01:46 - 00:01:48] 这个叫你会发现的明显是生物学
[00:01:48 - 00:01:50] 那生物遗学工程是什么
[00:01:50 - 00:01:52] 生物遗学工程是医疗吸血
[00:01:52 - 00:01:53] 什么叫做生物医学工程
[00:01:53 - 00:01:54] 什么叫做医学信息工程
[00:01:54 - 00:01:56] 我们刚才在电子信息类里边
[00:01:56 - 00:01:58] 看到一个专业叫医学信息工程
[00:01:58 - 00:01:58] 对吧
[00:01:58 - 00:02:00] 那什么叫做生物医学工程呢
[00:02:00 - 00:02:02] 生物医学工程说白的是医疗期限
[00:02:02 - 00:02:03] 什么叫医疗期限呢
[00:02:03 - 00:02:04] 来 各位朋友
[00:02:04 - 00:02:04] 手表
[00:02:04 - 00:02:05] 我们这个智能手表
[00:02:05 - 00:02:07] 它就是一个典型的医疗期限
[00:02:07 - 00:02:10] 因为我们身体里边
[00:02:10 - 00:02:11] 各个器官
[00:02:11 - 00:02:14] 它会发出这样的生物信息波
[00:02:14 - 00:02:15] 那么这个医疗期限
[00:02:15 - 00:02:17] 就能够敏锐地捕捉到我们
[00:02:17 - 00:02:19] 身体里边的生物信息波
[00:02:19 - 00:02:22] 那么他就会捕捉到这个生物信息波以后
[00:02:22 - 00:02:26] 第一件事他得分析这个生物信息波是什么意思
[00:02:26 - 00:02:28] 第二件事然后的话他要展示出来
[00:02:28 - 00:02:30] 比如说首先你看我的手表能检测我的心跳
[00:02:30 - 00:02:32] 当我心跳的时候
[00:02:32 - 00:02:35] 我生物信息波在身体里面就会有一个生物信息波
[00:02:35 - 00:02:36] 偶心当跳了一遍
[00:02:36 - 00:02:39] 手表就捕捉到了这个生物信息波
[00:02:39 - 00:02:41] 然后的话它显示在屏幕当中来
[00:02:41 - 00:02:44] 这就跟有的时候我们在医院里面做检查是一样的
[00:02:44 - 00:02:44] 对吧
[00:02:44 - 00:02:46] 它能扫描到我们的生物信息波
[00:02:46 - 00:02:47] 那么好了
