BV号：BV13f4y1R7tv
标题：BV13f4y1R7tv
链接：https://www.bilibili.com/video/BV13f4y1R7tv
识别语言：zh
语言置信度：1
分段数：102
生成时间：2026-04-04 01:54:00

[00:00:00 - 00:00:03] 这是一个教你怎么在高考的志愿填冒当中
[00:00:03 - 00:00:05] 如何选学校 如何选专业
[00:00:05 - 00:00:08] 如何报志愿不后悔的付费专栏
[00:00:11 - 00:00:13] 那这个时候你会发现
[00:00:13 - 00:00:17] 你的就业环境可能就不是那么很友好了
[00:00:17 - 00:00:20] 你可能就要去一些荒郊野外
[00:00:20 - 00:00:21] 去考察一下
[00:00:21 - 00:00:22] 去荒郊野外考察一下
[00:00:22 - 00:00:25] 比如说给大家举个最简单的例子
[00:00:25 - 00:00:27] 我大学同宿事
[00:00:27 - 00:00:29] 有一个同学学的就是地理信息系统
[00:00:29 - 00:00:29] 然后的话
[00:00:29 - 00:00:31] 他们专业实习的时候去哪实习
[00:00:31 - 00:00:35] 你看我学几排水,学环境工程我们实习到污水处理厂
[00:00:35 - 00:00:38] 到一些自来水厂去实习
[00:00:38 - 00:00:41] 他们说实习叫地理吸吸系统,到哪去实习呢
[00:00:41 - 00:00:44] 到河南的南面有一个山教的鸡公山
[00:00:44 - 00:00:46] 鸡公山风景当然非常的好
[00:00:46 - 00:00:49] 当然野外的环境也当然非常的野
[00:00:49 - 00:00:52] 我印象最深的就是那个哥们从鸡公山过来带回来一个什么礼物
[00:00:52 - 00:00:57] 他拿那个矿泉水瓶子,里边给我装了一个大概这么长的污工
[00:00:57 - 00:00:59] 大概这么长的一条无工
[00:00:59 - 00:01:00] 注意是无工
[00:01:00 - 00:01:02] 然后我看到那么
[00:01:02 - 00:01:04] 因为我没见过那么长的无工
[00:01:04 - 00:01:05] 在我们东北
[00:01:05 - 00:01:08] 可能也有像无工这样的一个东西
[00:01:08 - 00:01:09] 但是没有那么大
[00:01:09 - 00:01:11] 野外的东西那么大
[00:01:11 - 00:01:12] 我的天
[00:01:12 - 00:01:13] 怎么这么大路工
[00:01:13 - 00:01:15] 这是我当时见过的最大路工
[00:01:15 - 00:01:17] 说的是鸡皮割豆都起来了
[00:01:17 - 00:01:18] 我以为这个无工能卖多少钱
[00:01:18 - 00:01:19] 后来他们告诉我
[00:01:19 - 00:01:21] 这种无工也就卖五毛钱
[00:01:21 - 00:01:22] 基本上卖不了太多的钱
[00:01:22 - 00:01:24] 后来我知道说
[00:01:24 - 00:01:25] 原来中草药当中
[00:01:25 - 00:01:29] 原来中草药当中无功是一种非常重要的一种
[00:01:29 - 00:01:30] 中草药
[00:01:31 - 00:01:32] 然后的话有专门去养无功的
[00:01:32 - 00:01:33] 我才知道
