BV号：BV15y4y1t7Bq
标题：BV15y4y1t7Bq
链接：https://www.bilibili.com/video/BV15y4y1t7Bq
识别语言：zh
语言置信度：1
分段数：63
生成时间：2026-04-04 00:41:51

[00:00:00 - 00:00:02] 那么有很多学社会人文学科专业的同学
[00:00:02 - 00:00:03] 跟我说说张老师
[00:00:03 - 00:00:03] 我现在呢
[00:00:03 - 00:00:05] 就是想不怕专业
[00:00:05 - 00:00:08] 但是我也不知道我该跨什么
[00:00:08 - 00:00:09] 我也不知道我将来想干啥
[00:00:09 - 00:00:11] 那这个时候我该怎么办
[00:00:11 - 00:00:12] 我呢给你两点建议
[00:00:12 - 00:00:13] 第一点建议就是
[00:00:13 - 00:00:15] 对于你将来想从事的专业
[00:00:15 - 00:00:17] 因为社会人文学科专业嘛
[00:00:17 - 00:00:19] 像比如说中文啊外语啊
[00:00:19 - 00:00:21] 习文传播呀社会学呀对吧
[00:00:21 - 00:00:23] 像法律啊教育学历史学
[00:00:23 - 00:00:25] 这都属于社会人文学科对吧
[00:00:25 - 00:00:27] 那如果说你现在对自己将来未来
[00:00:27 - 00:00:29] 想就业的方向
[00:00:29 - 00:00:31] 想就業的這個行當不是很明確的話
[00:00:31 - 00:00:33] 我個人建議啊
[00:00:33 - 00:00:34] 你呢
[00:00:34 - 00:00:36] 到你們學校的圖書館
[00:00:36 - 00:00:40] 去把相關的學科的未來你考研可能會
[00:00:40 - 00:00:41] 涉及到的參考書呢
[00:00:41 - 00:00:43] 紛紛的借過來
[00:00:43 - 00:00:46] 你一定要把咱們學校圖書館這個資源給利用好啊
[00:00:46 - 00:00:48] 那麼你看一看哲學
[00:00:48 - 00:00:49] 講的是啥
[00:00:49 - 00:00:51] 這個宗教學
[00:00:51 - 00:00:52] 這個倫理學
[00:00:52 - 00:00:53] 你是否感興趣
[00:00:53 - 00:00:55] 我們再看一看這個歷史學
[00:00:55 - 00:00:56] 他講的是啥
[00:00:56 - 00:00:58] 中國史世界史
[00:00:58 - 00:00:59] 你能不能学的进去
[00:00:59 - 00:01:00] 我们再看看教育学
[00:01:00 - 00:01:01] 他讲的是什么
[00:01:01 - 00:01:03] 我们再看看新闻穿拨学
[00:01:03 - 00:01:04] 他考试的专业课讲的是什么
[00:01:04 - 00:01:05] 各位同学
[00:01:05 - 00:01:08] 你在看各个专业课书记的时候的话
[00:01:08 - 00:01:11] 你把你自己设定为一个考研的同学
[00:01:11 - 00:01:13] 这书你能不能看得进去
[00:01:13 - 00:01:14] 你说老师我对这个行当感兴趣
[00:01:14 - 00:01:16] 但是书我看不进去
[00:01:16 - 00:01:17] 书看不进去
[00:01:17 - 00:01:18] 你还不是考不上
[00:01:18 - 00:01:19] 你还不是白答吗
[00:01:19 - 00:01:20] 所以说第一呢
[00:01:20 - 00:01:22] 你要看一下你对什么专业感兴趣
[00:01:22 - 00:01:25] 他的专业课对书你能不能看得进去
[00:01:25 - 00:01:25] 第二呢
[00:01:25 - 00:01:27] 实际上你会发现
[00:01:27 - 00:01:29] 社会人们学科专业的就业壁垒呢
[00:01:29 - 00:01:30] 没有那么高
[00:01:30 - 00:01:32] 那你需要考虑的是什么呢
[00:01:32 - 00:01:35] 就是将来你要去哪个区域混
[00:01:35 - 00:01:37] 那么对于社会人的学科专业来讲
[00:01:37 - 00:01:41] 你选地区比你选专业要重要得多
[00:01:41 - 00:01:44] 所以说大家找准一个你想发展的地区
[00:01:44 - 00:01:47] 找准一个你将来能看得进去的专业课
[00:01:47 - 00:01:49] 你是把这个专业课好好复习一下
[00:01:49 - 00:01:51] 考一个还不错的需要的研究生
[00:01:51 - 00:01:54] 你将来的发展就会很不错
