BV号：BV18w4m1e7hR
标题：BV18w4m1e7hR
链接：https://www.bilibili.com/video/BV18w4m1e7hR
识别语言：zh
语言置信度：1
分段数：77
生成时间：2026-04-03 09:15:01

[00:00:00 - 00:00:05] 今天要给大家介绍的学校是被很多自媒体评价为今年来最努力的985大学
[00:00:05 - 00:00:08] 软科公布的2017年以来
[00:00:08 - 00:00:10] 中国大学发展速度排名里边
[00:00:10 - 00:00:13] 它仅次于清华、北大、浙大、上交大和复旦
[00:00:13 - 00:00:14] 位列全国第六
[00:00:14 - 00:00:18] 世界大学排名五年内上升了366位
[00:00:18 - 00:00:20] 现在排在全球第129位
[00:00:20 - 00:00:23] 它还经常被在校的同学调侃说学校比我们还要努力
[00:00:23 - 00:00:26] 各项办学指标连年非线性提升
[00:00:26 - 00:00:28] 它就是北京理工大学
[00:00:28 - 00:00:31] 北里公跟其他综合性大学还不太一样
[00:00:31 - 00:00:35] 从学校体谅还有学科布局这些方面就能看得出来
[00:00:35 - 00:00:37] 它走的是小儿经的路线
[00:00:37 - 00:00:39] 虽然说总体数据不占用式
[00:00:39 - 00:00:42] 但是各种人均制标一直排在全国的侵略
[00:00:42 - 00:00:43] 就说科研吧
[00:00:43 - 00:00:47] 北里公的年均科技投入基本都在61往上
[00:00:47 - 00:00:50] 挺多 但算不上最多
[00:00:50 - 00:00:53] 但它的人均科研经费超过200万元
[00:00:53 - 00:00:54] 位列全国第一
[00:00:54 - 00:00:56] 之前我看到一个数据说
[00:00:56 - 00:00:58] 13 五以来
[00:00:58 - 00:01:02] 北里公主持的国家重点研发计划等重大项目
[00:01:02 - 00:01:03] 一直稳居国内前例
[00:01:03 - 00:01:06] 牵头或国家科学技术奖21项
[00:01:06 - 00:01:09] 连续三年一等奖不断限
[00:01:09 - 00:01:10] 放眼全国行
[00:01:10 - 00:01:12] 能做出这种成绩的学校可不多
[00:01:12 - 00:01:14] 我知道很多考生和家长对于
[00:01:14 - 00:01:16] 这所学生的印象还停留在军工院形上
[00:01:16 - 00:01:18] 确实北里公有红色金
[00:01:18 - 00:01:19] 被誉为国防棋子
[00:01:19 - 00:01:20] 但是大家要知道
[00:01:20 - 00:01:23] 国内最顶尖最尖端的技术
[00:01:23 - 00:01:25] 基本上都会应用到国防预议
[00:01:25 - 00:01:27] 那随着居民中和发展
[00:01:27 - 00:01:30] 北京理工大学也逐渐加大了对外宣传
[00:01:30 - 00:01:31] 我们也才能逐渐了解到
[00:01:31 - 00:01:33] 它的研究的各项技术
[00:01:33 - 00:01:36] 应用在民用理学也都是行业底线
[00:01:36 - 00:01:38] 在大家最关心的学科专业上
[00:01:38 - 00:01:40] 非理工也很有看头
[00:01:40 - 00:01:42] 学科上它有九大学科们类
[00:01:42 - 00:01:45] 33个一级学科全部都有博士点
[00:01:45 - 00:01:47] 而且除了兵器这块王牌
[00:01:47 - 00:01:48] 信息与通学工程
[00:01:48 - 00:01:50] 控制科学与工程
[00:01:50 - 00:01:52] 这两个学科也都是A加学科
[00:01:52 - 00:01:53] 它的计算机
[00:01:53 - 00:01:53] 光电
[00:01:53 - 00:01:55] 集成电路也都是A类
[00:01:55 - 00:01:58] 可以说在报考热度最高的大信息类板块里边
[00:01:58 - 00:02:02] A类学科占比位局全国定间水平
[00:02:02 - 00:02:06] 专业上今年北历工的大类整合度是非常高
[00:02:06 - 00:02:09] 同一个大类里边就没有坑专业
[00:02:09 - 00:02:12] 像未来金工技术徐特利英裁班
[00:02:12 - 00:02:13] 那都是他的王牌专业
[00:02:13 - 00:02:17] 实行本朔博小般化国际化培养
[00:02:17 - 00:02:19] 而且还有预议措斗师
[00:02:19 - 00:02:21] 另外他在志愿田报上也非常人性化
[00:02:21 - 00:02:24] 不调技还有各种优惠政策
[00:02:24 - 00:02:28] 而且学校呢 还足足有六次转专业机会提供给大家
[00:02:28 - 00:02:29] 八成左右都能转成功
[00:02:29 - 00:02:31] 你品一品 这是什么含义量
[00:02:31 - 00:02:34] 大家都知道北里公在深造就业上
[00:02:34 - 00:02:35] 口碑意识都很好
[00:02:35 - 00:02:37] 像它的深造率有70%
[00:02:37 - 00:02:39] 保员率也能到45%
[00:02:39 - 00:02:40] 在整个高校团都很突出
[00:02:40 - 00:02:42] 就业率也是接近100%
[00:02:42 - 00:02:44] 所以说只要你能进啊
[00:02:44 - 00:02:46] 不管是深造就业都有保障
[00:02:46 - 00:02:48] 也能说北里公是最努力的985
[00:02:48 - 00:02:51] 其实像这种实力强发展优快的学校
[00:02:51 - 00:02:52] 不用我多说
[00:02:52 - 00:02:53] 咱们Furgo能上的同学
[00:02:53 - 00:02:55] 直接报 别犹豫
