BV号：BV17i4y1f7i8
标题：BV17i4y1f7i8
链接：https://www.bilibili.com/video/BV17i4y1f7i8
识别语言：zh
语言置信度：1
分段数：66
生成时间：2026-04-03 20:31:42

[00:00:00 - 00:00:03] 文科很多孩子特别想学这个转译
[00:00:03 - 00:00:04] 叫什么呢
[00:00:04 - 00:00:05] 叫做新闻传播力
[00:00:05 - 00:00:07] 因为现在说实话
[00:00:07 - 00:00:10] 大家都知道自媒体发展很好
[00:00:10 - 00:00:12] 那我们现在做的这个事
[00:00:12 - 00:00:14] 大家看我的直播
[00:00:14 - 00:00:15] 大家注意
[00:00:15 - 00:00:16] 你现在在看我的直播
[00:00:16 - 00:00:18] 这是一个新闻性质
[00:00:18 - 00:00:20] 还是一个传播性质
[00:00:20 - 00:00:23] 这明显是一个传播性质的事
[00:00:23 - 00:00:25] 新闻和传播不是一回事
[00:00:25 - 00:00:27] 所以说大家将来要注意
[00:00:27 - 00:00:28] 孩子如果将来报纸院的时候
[00:00:28 - 00:00:30] 如果说你要报这一类专业的话
[00:00:30 - 00:00:32] 千万不要瞎报啊
[00:00:32 - 00:00:34] 因为有些学校是新闻墙
[00:00:34 - 00:00:36] 有些学校是传播墙
[00:00:36 - 00:00:39] 而且选业校不要瞎选
[00:00:39 - 00:00:40] 这种专业选业校的时候
[00:00:40 - 00:00:41] 跟其他是不一样的
[00:00:41 - 00:00:44] 来我们看一下新闻传播大家要注意啊
[00:00:44 - 00:00:46] 就是新闻传播将来就业的时候
[00:00:46 - 00:00:47] 在选择院校的时候
[00:00:47 - 00:00:50] 不要一味的去所谓的怎么样
[00:00:50 - 00:00:51] 去追名校
[00:00:51 - 00:00:53] 因为这个专业在就业的时候
[00:00:53 - 00:00:55] 名校没什么特别大的用处
[00:00:55 - 00:00:56] 我们来看一下新闻传播类
[00:00:56 - 00:00:59] 这些专业都叫新闻传播类
[00:00:59 - 00:01:01] 但是大家一定要注意我们现在说的独立专业
[00:01:01 - 00:01:04] 其实是新闻学广告学传播学
[00:01:04 - 00:01:09] 现在有些学校为了能够赶上新媒体的时代
[00:01:09 - 00:01:11] 又加了一个专业叫网络与新媒体
[00:01:11 - 00:01:13] 这个专业其实是偏实践的
[00:01:13 - 00:01:15] 他不偏研究
[00:01:15 - 00:01:17] 他偏实践不偏研究
[00:01:17 - 00:01:19] 偏实践不偏研究
[00:01:19 - 00:01:23] 就是大家你要知道一个老师能在大学里面当老师
[00:01:23 - 00:01:24] 他得怎么样
[00:01:24 - 00:01:25] 他得读到博士
[00:01:26 - 00:01:28] 他得读到博士
[00:01:28 - 00:01:29] 但是大家想一想
[00:01:29 - 00:01:31] 如果说一个人读到博士的话
[00:01:31 - 00:01:32] 大概这经历是怎样的一个经历
[00:01:32 - 00:01:35] 他得先从本科是四年
[00:01:35 - 00:01:36] 再加上研究生
[00:01:36 - 00:01:39] 我们一般情况下学朔读博多的多
[00:01:39 - 00:01:40] 是三年
[00:01:40 - 00:01:41] 再加上一个博士
[00:01:41 - 00:01:44] 博士最起码是三年
[00:01:44 - 00:01:45] 都得是十年
[00:01:45 - 00:01:48] 这个人十年前学的新闻传播理论
[00:01:49 - 00:01:50] 跟他现在一样吗
[00:01:50 - 00:01:51] 不一样
[00:01:51 - 00:01:53] 十年前有这么多自媒体平台吗
[00:01:53 - 00:01:54] 没有
[00:01:55 - 00:01:55] 知道吗
[00:01:55 - 00:01:57] 所以说这个专业
[00:01:57 - 00:01:59] 所以说这个专业大家一定要注意
[00:01:59 - 00:02:01] 这个专业大家一定要注意
[00:02:01 - 00:02:02] 千万千万
[00:02:02 - 00:02:03] 一定要注意一下
[00:02:03 - 00:02:06] 就是它是要讲究实践的
[00:02:06 - 00:02:07] 要讲究实践的
