BV号：BV1NL4y1F7fz
标题：BV1NL4y1F7fz
链接：https://www.bilibili.com/video/BV1NL4y1F7fz
识别语言：zh
语言置信度：1
分段数：88
生成时间：2026-04-03 19:31:10

[00:00:00 - 00:00:02] 他不开心重要 还是我成绩重要
[00:00:02 - 00:00:04] 我成绩不好 他养我吗
[00:00:04 - 00:00:05] 我干嘛要顾及你的面子
[00:00:05 - 00:00:07] 要有信心
[00:00:07 - 00:00:08] 你要没信心的话
[00:00:08 - 00:00:10] 完了 我当年摩托的时候
[00:00:10 - 00:00:11] 我一摩全球109
[00:00:11 - 00:00:12] 二摩全球209
[00:00:12 - 00:00:13] 三摩全球309
[00:00:13 - 00:00:14] 高考级60
[00:00:14 - 00:00:16] 我所有的老师都放弃我了
[00:00:16 - 00:00:18] 我家长都快放弃我了
[00:00:18 - 00:00:19] 最后一个月
[00:00:19 - 00:00:20] 唯一没有放弃我的人
[00:00:20 - 00:00:21] 是我
[00:00:21 - 00:00:23] 我把我的客桌搬到脚台上
[00:00:23 - 00:00:25] 老师说你为什么把客桌搬到脚台上
[00:00:25 - 00:00:26] 我说你管我
[00:00:26 - 00:00:27] 你又比你开出我呀
[00:00:27 - 00:00:28] 老师你看最后一个月了
[00:00:28 - 00:00:29] 也没必要 是吧
[00:00:29 - 00:00:30] 我为什么搬到家台上
[00:00:30 - 00:00:32] 因为我们后边有同学开始摆烂了
[00:00:32 - 00:00:33] 上课啊
[00:00:33 - 00:00:34] 打不住
[00:00:34 - 00:00:35] 上课就了锅巴喝酒
[00:00:35 - 00:00:37] 我兄弟来和一起喝点
[00:00:37 - 00:00:38] 我他们不是女生
[00:00:38 - 00:00:39] 我要有我自己的命运
[00:00:39 - 00:00:41] 所以说锅巴我在客桌搬到家台上
[00:00:41 - 00:00:43] 我最后一个月疯狂耍起
[00:00:43 - 00:00:44] 老师在侧脖撒尿呢
[00:00:44 - 00:00:45] 我堵在侧脖门口
[00:00:45 - 00:00:46] 老师你干啥
[00:00:46 - 00:00:47] 我说我有问题不会
[00:00:47 - 00:00:48] 我问你
[00:00:48 - 00:00:48] 老师你有病吧
[00:00:48 - 00:00:49] 我就说去
[00:00:49 - 00:00:51] 我在办公室里边问老师问题
[00:00:51 - 00:00:52] A老师跟我讲了
[00:00:52 - 00:00:52] 我没听懂
[00:00:52 - 00:00:53] 我问B老师
[00:00:53 - 00:00:54] B老师跟我讲了
[00:00:54 - 00:00:56] 我没听懂我们C老师
[00:00:56 - 00:00:57] 我同学跟我说
[00:00:59 - 00:01:01] 他不开心重要 还是我成绩重要
[00:01:01 - 00:01:04] 何有跟张老师当年一样的风狗
[00:01:04 - 00:01:05] 王子李学
[00:01:05 - 00:01:07] 我当年就是那条风狗
[00:01:07 - 00:01:09] 哇 这天最后那一个月学的呀
[00:01:09 - 00:01:11] 最后一个月今天发卷
[00:01:11 - 00:01:13] 老师发卷子的速度赶不上我做卷子
[00:01:13 - 00:01:14] 疯狂学
[00:01:14 - 00:01:16] 我高二是全校第四十
[00:01:16 - 00:01:18] 我高三上学期全校第九十
[00:01:18 - 00:01:20] 下学期一模一百九
[00:01:20 - 00:01:21] 二模二百九 三模三百九
[00:01:21 - 00:01:23] 所有人都觉得我不行
[00:01:23 - 00:01:24] 我觉得我行
[00:01:24 - 00:01:25] 所以最后一个人
[00:01:25 - 00:01:25] 他
[00:01:25 - 00:01:27] 三倍狗
[00:01:27 - 00:01:28] 看早的一个人
[00:01:28 - 00:01:29] 所以说
[00:01:29 - 00:01:30] 这事干
[00:01:30 - 00:01:31] 明白吧
[00:01:31 - 00:01:32] 张总是有句话话超里去
[00:01:32 - 00:01:34] 搞完考试这个玩意儿
[00:01:34 - 00:01:35] 同学跟我说
[00:01:35 - 00:01:36] 张总说最高考600
[00:01:36 - 00:01:37] 我说同学你相信
[00:01:37 - 00:01:39] 你高考也能考600
[00:01:39 - 00:01:40] 你一定有这股劲
[00:01:40 - 00:01:41] 就是干
[00:01:41 - 00:01:42] 就是一个字就是干
[00:01:42 - 00:01:43] 这最后一步也真的
[00:01:43 - 00:01:44] 狭入相逢有什么事
[00:01:44 - 00:01:46] 我自己听什么事都一句
[00:01:46 - 00:01:48] 经常在学校里边有这么一句话
[00:01:48 - 00:01:49] 叫
[00:01:49 - 00:01:52] 将来的你会感谢现在努力的你自己
[00:01:52 - 00:01:54] 我现在的我就很感谢当年
[00:01:54 - 00:01:55] 高三最后一步
[00:01:55 - 00:01:56] 中共的东西
[00:01:56 - 00:01:57] 我没有放弃
[00:01:57 - 00:02:00] 这说的话 当你不放弃自己的时候
[00:02:00 - 00:02:04] 这个世界任何人都没有一个方式
[00:02:04 - 00:02:05] 你最后一遍 加油
