BV号：BV1M24y1U7rh
标题：BV1M24y1U7rh
链接：https://www.bilibili.com/video/BV1M24y1U7rh
识别语言：zh
语言置信度：1
分段数：56
生成时间：2026-04-03 16:38:04

[00:00:00 - 00:00:02] 说老师讲讲学金融金银行怎么样
[00:00:02 - 00:00:03] 你觉得金银行怎么样
[00:00:03 - 00:00:05] 你能给孩子完成多少钱任务
[00:00:05 - 00:00:05] 你先说这个
[00:00:05 - 00:00:07] 你不说这个就没有意义
[00:00:07 - 00:00:09] 你要让孩子金银行
[00:00:09 - 00:00:10] 你能给他完成多少钱任务呢
[00:00:10 - 00:00:11] 500万
[00:00:11 - 00:00:11] 1000万
[00:00:11 - 00:00:12] 2000万
[00:00:12 - 00:00:13] 你能给孩子完成多少钱任务呢
[00:00:13 - 00:00:14] 小地方银行
[00:00:14 - 00:00:15] 你能给孩子从5000万
[00:00:15 - 00:00:16] 你就富航长
[00:00:16 - 00:00:18] 你就成天爱来来
[00:00:18 - 00:00:19] 不来拉倒
[00:00:19 - 00:00:19] 无所谓
[00:00:19 - 00:00:20] 我去跑客户了
[00:00:20 - 00:00:21] 知道吧
[00:00:21 - 00:00:22] 领导问你你干吗去了
[00:00:22 - 00:00:23] 我跑客户去了
[00:00:23 - 00:00:24] 我爸要钓鱼
[00:00:24 - 00:00:26] 我陪我爸钓鱼去了
[00:00:26 - 00:00:27] 要不然他就把这5000万
[00:00:27 - 00:00:28] 从我这银行取得去
[00:00:28 - 00:00:29] 领导说你去吧
[00:00:29 - 00:00:31] 缺鱼吗
[00:00:31 - 00:00:31] 缺鱼吗
[00:00:31 - 00:00:32] 你领导就问缺鱼吗
[00:00:32 - 00:00:33] 不行的话
[00:00:33 - 00:00:35] 我直接穿个泳衣
[00:00:35 - 00:00:37] 我在底下让鱼给你按上去
[00:00:37 - 00:00:37] 对吧
[00:00:37 - 00:00:38] 缺鱼吗
[00:00:39 - 00:00:40] 你看我长得像鱼吗
[00:00:40 - 00:00:41] 要不我要个粥
[00:00:42 - 00:00:42] 对吧
[00:00:43 - 00:00:44] 只要爸爸开心
[00:00:44 - 00:00:45] 我们就开心
[00:00:45 - 00:00:45] 对吧
[00:00:46 - 00:00:47] 爸爸说今天怎么
[00:00:47 - 00:00:48] 怎么没有鱼啊
[00:00:49 - 00:00:49] 对吧
[00:00:51 - 00:00:52] 哎
[00:00:52 - 00:00:53] 老张讲的现实不现实
[00:00:53 - 00:00:54] 哎
[00:00:54 - 00:00:55] 我们在银行干的人
[00:00:55 - 00:00:55] 哎
[00:00:55 - 00:00:57] 老张讲的现实不现实
[00:00:57 - 00:00:58] 你爸从五千万
[00:00:58 - 00:00:59] 缺鱼我给你往里整鱼
[00:00:59 - 00:01:00] 你爸存了一个亿
[00:01:00 - 00:01:01] 我是鱼
[00:01:06 - 00:01:06] 对吧
[00:01:06 - 00:01:07] 你看我长得像鱼嘛
[00:01:07 - 00:01:08] 我是鱼
