BV号：BV1GL4y1v7oF
标题：BV1GL4y1v7oF
链接：https://www.bilibili.com/video/BV1GL4y1v7oF
识别语言：zh
语言置信度：1
分段数：93
生成时间：2026-04-03 22:46:49

[00:00:00 - 00:00:02] 在高考报支援的时候到底是该听家长的
[00:00:02 - 00:00:03] 还是该听考生的
[00:00:03 - 00:00:04] 我们也做了一个调查
[00:00:04 - 00:00:08] 那么将近80%的朋友认为应该听考生的
[00:00:08 - 00:00:11] 还有20%多的朋友认为该听家长的
[00:00:11 - 00:00:13] 那对于这个问题我怎么看呢
[00:00:13 - 00:00:14] 首先我想说的是在报支援的时候
[00:00:14 - 00:00:18] 如果说家长和考生之间出现了所谓的矛盾也好
[00:00:18 - 00:00:19] 分歧也好
[00:00:19 - 00:00:22] 首先大家要秉承着一个观点叫做相互理解
[00:00:22 - 00:00:24] 就是各位考生我经常在讲座上说
[00:00:24 - 00:00:26] 我说你要明白
[00:00:26 - 00:00:28] 当你的父母给你出些主意的时候的话
[00:00:28 - 00:00:29] 也许他们不懂
[00:00:29 - 00:00:32] 也许他们了解的不如你多
[00:00:32 - 00:00:37] 但是你不能怀疑他们是为你好的出心
[00:00:37 - 00:00:39] 他们一定不会害你
[00:00:39 - 00:00:42] 因为当你说你将来大学毕业
[00:00:42 - 00:00:43] 万一找着工作也好
[00:00:43 - 00:00:44] 干嘛
[00:00:44 - 00:00:45] 谁养你
[00:00:45 - 00:00:46] 还是你爹你妈养你
[00:00:46 - 00:00:46] 对不对
[00:00:46 - 00:00:48] 所以说他给你出这个主意
[00:00:48 - 00:00:50] 也许是你不认同
[00:00:50 - 00:00:52] 但是你千万不要怀疑
[00:00:52 - 00:00:54] 他给你出这个主意的出心
[00:00:54 - 00:00:55] 这一点很重要
[00:00:55 - 00:00:58] 而家长也要理解现在的孩子
[00:00:58 - 00:00:59] 因为现在互联网比较发达
[00:00:59 - 00:01:01] 孩子们可能获得各种信息的渠道
[00:01:01 - 00:01:03] 也都比较多
[00:01:03 - 00:01:04] 当他有一些自己想法的时候
[00:01:04 - 00:01:06] 他绝对是有一定道理的
[00:01:06 - 00:01:08] 用我们东北话讲
[00:01:08 - 00:01:09] 就是这一届的小孩
[00:01:09 - 00:01:11] 主义是越来越正
[00:01:11 - 00:01:11] 对不对
[00:01:11 - 00:01:14] 那你说到底该听家长还是该听考生的
[00:01:14 - 00:01:15] 其实我在报支院的时候
[00:01:15 - 00:01:17] 我经过一个家长说这句话
[00:01:17 - 00:01:19] 我说当我们给孩子设计一些
[00:01:19 - 00:01:22] 所谓我们认为比较好的初入的时候
[00:01:22 - 00:01:23] 我们要明白
[00:01:23 - 00:01:26] 学习的主题是谁
[00:01:26 - 00:01:27] 是孩子
[00:01:27 - 00:01:29] 你说你给他设计好说
[00:01:29 - 00:01:30] 你考这个专业
[00:01:30 - 00:01:30] 把将来毕业以后
[00:01:30 - 00:01:31] 改成改成改成
[00:01:32 - 00:01:33] 孩子愿意干吗
[00:01:34 - 00:01:35] 那你让孩子学那个专业
[00:01:35 - 00:01:36] 还得愿意学吗
[00:01:37 - 00:01:38] 他如果到时候万一
[00:01:38 - 00:01:39] 他不愿意学
[00:01:40 - 00:01:41] 出现了验学的情绪
[00:01:42 - 00:01:43] 挂了坑
[00:01:43 - 00:01:44] 得毕业不了业
[00:01:44 - 00:01:45] 也将来找不着工作
[00:01:45 - 00:01:47] 你说你设计到都挺好
[00:01:47 - 00:01:48] 但你设计的前提不到底是
[00:01:48 - 00:01:49] 咱们还得把这个专业
[00:01:49 - 00:01:51] 给他学明白学好
[00:01:51 - 00:01:52] 对不对
[00:01:52 - 00:01:53] 所以说有的时候
[00:01:53 - 00:01:54] 我就跟家长和考生说
[00:01:54 - 00:01:55] 就是当他们出现分析的时候
[00:01:55 - 00:01:57] 首先你要明白
[00:01:57 - 00:01:59] 学习的主体一定是孩子
[00:01:59 - 00:02:02] 当然有的时候孩子在了解一些专业的时候
[00:02:02 - 00:02:04] 包括了解一些专业前景就业前景的时候
[00:02:04 - 00:02:08] 很有可能了解的相对比较骗你一些
[00:02:08 - 00:02:10] 这个时候我也一般会跟孩子说
[00:02:10 - 00:02:12] 实际上现在这个行业也好
[00:02:12 - 00:02:13] 这个专业也好
[00:02:13 - 00:02:14] 现在这个专业就业是怎样
[00:02:14 - 00:02:15] 怎样怎样的
[00:02:15 - 00:02:16] 你比如说有的时候
[00:02:16 - 00:02:18] 你可能觉得说我要上一个专业
[00:02:18 - 00:02:20] 我要上一个R要上一个985
[00:02:20 - 00:02:22] 但是你这个专业所在的学校
[00:02:22 - 00:02:24] 所在的省份
[00:02:24 - 00:02:27] 所在的那个地区这个相关的产业呢
[00:02:27 - 00:02:29] 其实并不是很发达
[00:02:29 - 00:02:30] 那你实习也好
[00:02:30 - 00:02:31] 你找工作也好
[00:02:31 - 00:02:33] 都可能会遇到各种各样的问题
[00:02:33 - 00:02:36] 所以说这个东西一定要依据情况而入
[00:02:36 - 00:02:39] 如果说大家对于越小与专业不了解的话
[00:02:39 - 00:02:41] 该找专业的人士资讯
[00:02:41 - 00:02:42] 就找专业的人士资讯
[00:02:42 - 00:02:43] 那你问找谁
[00:02:43 - 00:02:44] 找我呀
