BV号：BV13dzaBkEwf
标题：BV13dzaBkEwf
链接：https://www.bilibili.com/video/BV13dzaBkEwf
识别语言：zh
语言置信度：1
分段数：64
生成时间：2026-04-03 00:33:01

[00:00:00 - 00:00:02] 什么叫做新型研究型大学呢
[00:00:02 - 00:00:03] 就是本科生人数少
[00:00:03 - 00:00:06] 研究生人数跟本科生人数几乎持平
[00:00:06 - 00:00:08] 这就是新型研究型大学
[00:00:08 - 00:00:09] 它保原率特别高
[00:00:09 - 00:00:10] 保原率特别高
[00:00:10 - 00:00:11] 新型研究型大学
[00:00:11 - 00:00:12] 因为各位家长你要知道
[00:00:12 - 00:00:13] 什么叫做研究型大学
[00:00:13 - 00:00:14] 什么叫做研究型大学
[00:00:14 - 00:00:16] 研究型大学的特点就是
[00:00:16 - 00:00:18] 研究生人数比本科生人数多
[00:00:18 - 00:00:19] 比如说像北大清华
[00:00:19 - 00:00:21] 北大清华就是典型的研究型大学
[00:00:21 - 00:00:23] 北大清华一届本科生招多少人
[00:00:23 - 00:00:25] 一届本科生招个几千人
[00:00:25 - 00:00:25] 对吧
[00:00:25 - 00:00:26] 一两千人左右
[00:00:26 - 00:00:27] 对吧
[00:00:27 - 00:00:28] 两三千人差不多了
[00:00:28 - 00:00:30] 但是他研究生招多少人
[00:00:30 - 00:00:31] 研究生招的人数非常多
[00:00:31 - 00:00:31] 上班
[00:00:31 - 00:00:34] 所以这种学校就是研究生比本行生人数多
[00:00:34 - 00:00:35] 这叫研究生大学
[00:00:35 - 00:00:36] 你这个学校招的任务不是教学
[00:00:36 - 00:00:37] 你的任务
[00:00:37 - 00:00:38] 这个学校的任务招是科研
[00:00:38 - 00:00:39] 那么什么叫教研型大学
[00:00:39 - 00:00:41] 教研型大学就像郑州大学这种
[00:00:41 - 00:00:43] R1 共产大学叫教研型
[00:00:43 - 00:00:44] 什么叫教研型
[00:00:44 - 00:00:46] 又有教学又有科研叫教研型
[00:00:46 - 00:00:48] 反正七个学校招的任务就是科研
[00:00:48 - 00:00:50] 那就是研究型
[00:00:50 - 00:00:52] 然后的话我这个学校的任务就是教学
[00:00:52 - 00:00:53] 这个就是教学型大学
[00:00:53 - 00:00:54] 比如说我们在双飞院校
[00:00:54 - 00:00:55] 大多数都是教学性大学
[00:00:55 - 00:00:58] 你看双飞学校最大特点是什么
[00:00:58 - 00:00:59] 本科生招生人数一大堆
[00:00:59 - 00:01:00] 研究生招生人数
[00:01:00 - 00:01:02] 几乎是本科生人数腰斩甚至更多
[00:01:02 - 00:01:04] 有的学校甚至连读研资格都没有
[00:01:04 - 00:01:06] 招生研究生资格都没有
[00:01:06 - 00:01:09] 这种学校就是纯粹的叫教学性大学
[00:01:09 - 00:01:10] 那么新型研究性大学
[00:01:10 - 00:01:12] 研究学大学的特点就是
[00:01:12 - 00:01:13] 研究生招得比本科生多
[00:01:13 - 00:01:15] 所以说南方科技大 善美科技大
[00:01:15 - 00:01:17] 这种叫做新型研究学大学
[00:01:17 - 00:01:18] 这两个学校大家注意
[00:01:18 - 00:01:19] 保研率特别高
[00:01:19 - 00:01:20] 保研率特别高
[00:01:20 - 00:01:21] 不输985
[00:01:21 - 00:01:24] 再加上它们所在的地方比较牛
[00:01:24 - 00:01:26] 对吧比如说南方科技大
[00:01:26 - 00:01:27] 南方科技大在哪里
[00:01:27 - 00:01:28] 在深圳
[00:01:28 - 00:01:29] 上海科技大在哪里
[00:01:29 - 00:01:30] 在上海
[00:01:30 - 00:01:32] 深圳和上海共同的特点是什么
[00:01:32 - 00:01:34] 就是政府超级有钱
[00:01:34 - 00:01:37] 为学校科研提供大量的资金
