BV号：BV1UjaUzmEu4
标题：BV1UjaUzmEu4
链接：https://www.bilibili.com/video/BV1UjaUzmEu4
识别语言：zh
语言置信度：1
分段数：84
生成时间：2026-04-03 04:02:57

[00:00:00 - 00:00:03] 我是今年就是剛上錄取到大一的
[00:00:03 - 00:00:07] 然後我是錄取到了山東大學的那個管理科學工程類
[00:00:07 - 00:00:14] 然後他的下分的就是一個是三流的話是分供鏈管理和工程管理
[00:00:14 - 00:00:18] 然後他在我那個開學軍訓的時候有一個就是
[00:00:18 - 00:00:22] 治管班就是說是智能工程創新的那個班級
[00:00:22 - 00:00:23] 然後是選拔制的
[00:00:23 - 00:00:27] 然後就是我想問一下就是我未來就是這個專業
[00:00:27 - 00:00:29] 是不是就是發展的方向是什麼方向
[00:00:29 - 00:00:32] 同学是这样,你这个东西是工学和管理学的结合
[00:00:32 - 00:00:35] 你质量管理的话,它其实说白了,它是工业工程
[00:00:35 - 00:00:38] 工业工程的话是机械和管理学的结合
[00:00:38 - 00:00:40] 你可以把质量管理看成什么呢?
[00:00:40 - 00:00:41] 你可以把质量管理看成
[00:00:41 - 00:00:43] 我如何用运筹学和管理学的方式
[00:00:43 - 00:00:46] 让我企业在生产这个产品的时候
[00:00:46 - 00:00:47] 它的良品率提高
[00:00:47 - 00:00:49] 这是质量管理和工业工程
[00:00:49 - 00:00:51] 工程项目管理的话是土木
[00:00:51 - 00:00:54] 因为山东大学的校长是土木的
[00:00:54 - 00:00:55] 它是土木
[00:00:55 - 00:00:58] 所以说的话,就是它是属于土木工程项目的工程项目管理
[00:00:58 - 00:01:00] 它是同木和管理鞋的结合
[00:01:00 - 00:01:03] 我如何用运头学和管理学的方式
[00:01:03 - 00:01:05] 让我统工程的生产效率更高
[00:01:05 - 00:01:08] 比如说我什么时候刚进进场进多少
[00:01:08 - 00:01:09] 水泥进场进多少
[00:01:09 - 00:01:11] 沙子进场进多少
[00:01:11 - 00:01:12] 灰进场进多少
[00:01:12 - 00:01:16] 我每天混凝土的生产的效率是怎么样
[00:01:16 - 00:01:18] 这样的话我能赶上各种东西进场
[00:01:18 - 00:01:20] 然后的话我生产
[00:01:20 - 00:01:22] 房地产或者是机械这种东西
[00:01:22 - 00:01:24] 它的效率能怎么样提高
[00:01:24 - 00:01:27] 一个是倾向于支持工业生产的
[00:01:27 - 00:01:30] 一个是倾销与用的基础是建设生产的
[00:01:30 - 00:01:32] 公关质管理跟工程管理
[00:01:32 - 00:01:33] 其实它俩是工业管理它差不多
[00:01:33 - 00:01:35] 公关质管理的话什么
[00:01:35 - 00:01:37] 你可以把公关质管理成理解成为
[00:01:37 - 00:01:37] 来 同学
[00:01:37 - 00:01:38] 比如说我们这个书
[00:01:38 - 00:01:40] 我们这个书
[00:01:40 - 00:01:41] 你看我们生产这个书的话
[00:01:41 - 00:01:42] 首先第一是不是这个纸张
[00:01:42 - 00:01:43] 这个纸张的话
[00:01:43 - 00:01:45] 你会发现我皮我皮用的这个纸
[00:01:45 - 00:01:47] 跟我里边用的这个纸它不一样
[00:01:47 - 00:01:48] 其次的话它有颜料
[00:01:48 - 00:01:50] 其次的话它有颜料
[00:01:50 - 00:01:51] 然后的话那你就生命什么呢
[00:01:51 - 00:01:54] 就是比如说我给颜料的这个企业
[00:01:54 - 00:01:55] 有没有替代方
[00:01:55 - 00:01:58] 我现在生产源我一级工商二级工商
[00:01:58 - 00:01:59] 这个叫工文链管理
[00:01:59 - 00:02:01] 如果我一级工商生产出现了问题的话
[00:02:01 - 00:02:04] 那我有没有其他的工商能够顶上
[00:02:04 - 00:02:05] 这个就是整个的工文链管理
[00:02:05 - 00:02:06] 因为你工链的话
[00:02:06 - 00:02:07] 就我一个产品生产可有
[00:02:07 - 00:02:09] A0件B0件C0件D0件
[00:02:09 - 00:02:10] 这4个0件
[00:02:10 - 00:02:11] 假如说这个产品就是4个0件
[00:02:11 - 00:02:12] 那么A0件
[00:02:12 - 00:02:14] 你的A1级工房
[00:02:14 - 00:02:15] 夹1顶丁
[00:02:15 - 00:02:17] 2级工房夹1顶丁
[00:02:17 - 00:02:18] 那你能不能
[00:02:18 - 00:02:20] 去在一级工商当中
[00:02:20 - 00:02:22] 因为它这个工文链它不是一直固定的
[00:02:22 - 00:02:23] 因为它每一年这个企业
[00:02:23 - 00:02:26] 我ABCD4个零件在做供应方的时候
[00:02:26 - 00:02:27] 我招标
[00:02:27 - 00:02:28] 我招标的时候
[00:02:28 - 00:02:31] 我能不能找到更优质的企业
[00:02:31 - 00:02:33] 他给我提供ABCD4个零件
[00:02:33 - 00:02:34] 一只脸更高
[00:02:34 - 00:02:35] 二扎哥更便宜
[00:02:35 - 00:02:36] 你能不能把这个供应链
[00:02:36 - 00:02:38] 它的生产空间
[00:02:38 - 00:02:39] 它的生产流程
[00:02:39 - 00:02:40] 它的生产逻辑
[00:02:40 - 00:02:41] 给我这个工厂生产
[00:02:41 - 00:02:42] 提供比较好的支持
[00:02:42 - 00:02:43] 这个叫供应链环理
