BV号：BV1fV4y1p7PQ
标题：BV1fV4y1p7PQ
链接：https://www.bilibili.com/video/BV1fV4y1p7PQ
识别语言：zh
语言置信度：1
分段数：57
生成时间：2026-04-03 17:53:32

[00:00:00 - 00:00:01] 我今年有一个省份的家长
[00:00:01 - 00:00:02] 他在干一个什么事
[00:00:02 - 00:00:05] 比如说那个省份是7月2号
[00:00:05 - 00:00:06] 截止报考
[00:00:06 - 00:00:08] 我们跟那个家长沟通完了
[00:00:08 - 00:00:09] 方恩也给他了
[00:00:09 - 00:00:10] 沟通的也挺好
[00:00:10 - 00:00:11] 我们30号的时候
[00:00:11 - 00:00:12] 就已经决定要报什么
[00:00:12 - 00:00:13] 寻找报什么专业了
[00:00:13 - 00:00:14] 然后的话呢
[00:00:14 - 00:00:14] 我们就说说
[00:00:14 - 00:00:15] 你7月1号的时候
[00:00:15 - 00:00:16] 给孩子把职员报上
[00:00:16 - 00:00:17] 家长说行 我知道了
[00:00:17 - 00:00:18] 我们的老师很负责
[00:00:18 - 00:00:19] 1号 上午问他
[00:00:19 - 00:00:20] 你报了吗
[00:00:20 - 00:00:20] 没有
[00:00:20 - 00:00:20] 中午问他
[00:00:20 - 00:00:21] 你报了吗
[00:00:21 - 00:00:21] 没有
[00:00:21 - 00:00:22] 晚上问他
[00:00:22 - 00:00:22] 你报了吗
[00:00:22 - 00:00:23] 没有
[00:00:23 - 00:00:24] 后来我们的老师在找他
[00:00:24 - 00:00:24] 他就不理我
[00:00:24 - 00:00:26] 然后老师跟我反映这个情况
[00:00:26 - 00:00:27] 说张老师怎么办
[00:00:27 - 00:00:28] 这家长不理我了
[00:00:28 - 00:00:28] 我说不行
[00:00:28 - 00:00:30] 你必须要找到这个家长
[00:00:30 - 00:00:31] 必须要确认家长报完了
[00:00:31 - 00:00:33] 我们有一个老师就猜
[00:00:33 - 00:00:34] 说张老师有没有可能
[00:00:34 - 00:00:37] 他接到了这样的一个所谓的骗局
[00:00:37 - 00:00:38] 大家你要注意
[00:00:38 - 00:00:40] 在高考后报纸院那个时候
[00:00:40 - 00:00:42] 骗局非常多
[00:00:42 - 00:00:43] 我那个家长就遇到了这样的骗局
[00:00:43 - 00:00:44] 有人跟他说
[00:00:44 - 00:00:45] 你呀
[00:00:45 - 00:00:46] 在我这花钱
[00:00:46 - 00:00:49] 我能在报名系统关闭之前
[00:00:49 - 00:00:53] 十分钟给你看哪个学校的豪尊
[00:00:53 - 00:00:54] 也没报满
[00:00:54 - 00:00:55] 找你去改职院
[00:00:55 - 00:00:55] 大家记住
[00:00:55 - 00:00:56] 这是骗局
[00:00:56 - 00:00:57] 不要信 不要信
[00:00:57 - 00:00:59] 千万不要信
[00:00:59 - 00:01:00] 这个人很行啊
[00:01:00 - 00:01:01] 外门协道的事
[00:01:01 - 00:01:02] 千万不要瞎搞
[00:01:02 - 00:01:03] 做人要狡叹实义
[00:01:03 - 00:01:04] 凭实力说话
[00:01:04 - 00:01:06] 后来被我们及时给制止了
