BV号：BV1Ah4y1B7rg
标题：BV1Ah4y1B7rg
链接：https://www.bilibili.com/video/BV1Ah4y1B7rg
识别语言：zh
语言置信度：1
分段数：50
生成时间：2026-04-03 13:32:43

[00:00:00 - 00:00:01] 尤其是到了高三的家长
[00:00:01 - 00:00:02] 我跟他这样说
[00:00:02 - 00:00:04] 我先对于孩子的成绩起伏
[00:00:04 - 00:00:06] 一定要有一颗平常心去对待
[00:00:06 - 00:00:07] 不要去过于着急
[00:00:07 - 00:00:08] 然后的话这个时候要怎么样的
[00:00:08 - 00:00:10] 要跟孩子去复盘
[00:00:10 - 00:00:11] 就是考好了也要复盘
[00:00:11 - 00:00:12] 考差了也要复
[00:00:12 - 00:00:13] 就是这次为什么要考好了
[00:00:13 - 00:00:14] 因为说是什么考差了
[00:00:14 - 00:00:16] 我们是不是说
[00:00:16 - 00:00:18] 逊或者是去教育
[00:00:18 - 00:00:19] 而是跟孩子要有一个良好的互动
[00:00:19 - 00:00:20] 就是去沟通
[00:00:20 - 00:00:21] 我们做任何事的话
[00:00:21 - 00:00:22] 都要去复盘嘛
[00:00:22 - 00:00:22] 对吧
[00:00:22 - 00:00:24] 你比如说今天我直播间这么多链接
[00:00:24 - 00:00:25] 哪个产品卖的好了
[00:00:25 - 00:00:27] 哪个产品卖的不好了
[00:00:27 - 00:00:27] 这个我们
[00:00:27 - 00:00:29] 我们也会去复盘
[00:00:29 - 00:00:31] 不是说护盘的时候是怪谁
[00:00:31 - 00:00:33] 而是护盘的时候我们分析
[00:00:33 - 00:00:35] 下次怎么才能做得更好
[00:00:35 - 00:00:36] 心态要把握好
[00:00:36 - 00:00:37] 没有必要
[00:00:37 - 00:00:39] 真的没有必要
[00:00:39 - 00:00:40] 就有的时候大家你要知道
[00:00:40 - 00:00:42] 有的时候就怕什么
[00:00:42 - 00:00:43] 就怕我们各位家长
[00:00:43 - 00:00:46] 以一种所谓的教语的形态
[00:00:46 - 00:00:47] 去跟孩子沟通聊天
[00:00:47 - 00:00:49] 就是聊 你知道吧
[00:00:49 - 00:00:49] 你就跟他沟通
[00:00:49 - 00:00:50] 你就跟他聊
[00:00:50 - 00:00:52] 家平时这个家庭氛围
[00:00:52 - 00:00:54] 相对稍微轻松一些
[00:00:54 - 00:00:55] 就没有必要有眼力
[00:00:55 - 00:00:56] 或者说是觉得说
[00:00:56 - 00:00:57] 你靠好了就怎么样
[00:00:57 - 00:00:58] 只好就怎么样
[00:00:58 - 00:00:59] 会给孩子这种压力
[00:00:59 - 00:01:01] 就是有的时候我们加长自己
[00:01:01 - 00:01:02] 明儿时在我直播间
[00:01:02 - 00:01:03] 宣泄宣泄就算了
[00:01:03 - 00:01:05] 但是你千万不要把这种情绪
[00:01:05 - 00:01:05] 带给孩子
[00:01:05 - 00:01:06] 这个就比较麻烦了
