BV号：BV1Q7RnYWELU
标题：BV1Q7RnYWELU
链接：https://www.bilibili.com/video/BV1Q7RnYWELU
识别语言：zh
语言置信度：1
分段数：48
生成时间：2026-04-03 05:40:49

[00:00:00 - 00:00:01] 我这里边我再给大家强调一下
[00:00:01 - 00:00:02] 就是在低分数段
[00:00:02 - 00:00:04] 在就业的时候的话
[00:00:04 - 00:00:05] 它也是有就业地域性的
[00:00:05 - 00:00:07] 理工课它是有就业地域性的
[00:00:07 - 00:00:08] 我给大家举个简单的例子
[00:00:08 - 00:00:10] 比如说我同样是民办
[00:00:10 - 00:00:11] 我当地经济好
[00:00:11 - 00:00:12] 我的企业多
[00:00:12 - 00:00:15] 我的就业机会可以汇得到民办大学
[00:00:15 - 00:00:17] 但如果我当地经济不好
[00:00:17 - 00:00:18] 我当地就业机会少
[00:00:18 - 00:00:20] 我就没有办法
[00:00:20 - 00:00:22] 公办都学校都不一定能找到工作
[00:00:22 - 00:00:23] 他民办的学校都很难找
[00:00:23 - 00:00:24] 那你说老师
[00:00:24 - 00:00:26] 那你想一个江浙的企业
[00:00:26 - 00:00:28] 他得多么爱一个地方的学生
[00:00:28 - 00:00:31] 好到一个特别偏远的地方
[00:00:31 - 00:00:33] 去找一个民办需要的学生
[00:00:33 - 00:00:34] 难度很大的
[00:00:34 - 00:00:35] 难度是非常大的
[00:00:35 - 00:00:36] 知道吧
[00:00:36 - 00:00:37] 难度是非常大的
[00:00:37 - 00:00:39] 所以说的话就是在理工内专业
[00:00:39 - 00:00:41] 第一分数段就业的时候
[00:00:41 - 00:00:42] 也得看就业地域性
[00:00:42 - 00:00:44] 但是高分数段是没有问题的
[00:00:44 - 00:00:46] 高分数段就业是没有地域性的
[00:00:46 - 00:00:47] 很多家长说
[00:00:47 - 00:00:47] 张老师
[00:00:47 - 00:00:48] 我到哈尔滨
[00:00:48 - 00:00:49] 我到哈尔滨上
[00:00:49 - 00:00:49] 哈尔滨工业大学上
[00:00:49 - 00:00:50] 哈尔滨工商大学
[00:00:50 - 00:00:51] 我将来就业
[00:00:51 - 00:00:52] 能不能在南方就业
[00:00:52 - 00:00:53] 是黑在南方就业的
[00:00:53 - 00:00:55] 但是第一分数段是不行的
[00:00:55 - 00:00:56] 第一分数段是不行的
[00:00:56 - 00:00:57] 理工内
[00:00:57 - 00:00:59] 高分數段沒有就業抵禦性
[00:00:59 - 00:01:01] 中高分數段沒有就業抵禦性
[00:01:01 - 00:01:03] 但是理工類第一分數段
[00:01:03 - 00:01:04] 它是也有就業抵禦性
[00:01:04 - 00:01:06] 這個大家一定要去注意一下
[00:01:06 - 00:01:07] 好吧
[00:01:07 - 00:01:08] 這個大家一定要去注意一下
