BV号：BV1iC1LYZEDp
标题：BV1iC1LYZEDp
链接：https://www.bilibili.com/video/BV1iC1LYZEDp
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 07:50:23

[00:00:00 - 00:00:01] 你知道幼学这个专业是干嘛的吗
[00:00:02 - 00:00:06] 我给他查过一些就是做
[00:00:06 - 00:00:09] 他说的是如果要做药品研发这方面的话
[00:00:09 - 00:00:11] 可能要往研究生方面考的
[00:00:11 - 00:00:13] 硕士都不够幼品研发
[00:00:13 - 00:00:14] 得到博
[00:00:14 - 00:00:17] 你要真的想做药品研发得到博士
[00:00:17 - 00:00:19] 你硕士都没有能力
[00:00:19 - 00:00:20] 正常来讲的话
[00:00:20 - 00:00:23] 幼学这个专业叫做本科毕业是卖药的
[00:00:23 - 00:00:24] 硕士毕业的话呢
[00:00:24 - 00:00:26] 是做研发度理
[00:00:26 - 00:00:27] 它做不了体力研发
[00:00:27 - 00:00:30] 博士毕业甚至是博士后才会努力研发
[00:00:30 - 00:00:33] 然后我刚才为什么在问你这个分书段的时候
[00:00:33 - 00:00:34] 我在问我说你印你多少分
[00:00:34 - 00:00:37] 二的话大概你的英语成绩怎么样
[00:00:37 - 00:00:41] 是因为如果说张老师我就想去卖药
[00:00:41 - 00:00:43] 你在大学期间不用把英语学好
[00:00:43 - 00:00:45] 不用把专业学好
[00:00:45 - 00:00:47] 你把你的酒量练好
[00:00:47 - 00:00:48] 这是最重要的
[00:00:48 - 00:00:50] 如果说你说老师我想去做研发的话
[00:00:50 - 00:00:52] 那不好意思你的英语成绩得高
[00:00:52 - 00:00:53] 你英语成绩不高的话
[00:00:53 - 00:00:54] 你将来考研的时候
[00:00:54 - 00:00:56] 你将来读博的时候可能会有影响
[00:00:56 - 00:00:59] 我们医药防疫的朋友可以告诉这位家长老张讲的对不对
[00:00:59 - 00:01:02] 所以说你一旦学了药学这个专业的话
[00:01:02 - 00:01:04] 除非说你已经某定了说我们这孩子是属于内容外向型的
[00:01:04 - 00:01:06] 他是可以去卖药的
[00:01:06 - 00:01:07] 否则的话基本上就得考虑一下
[00:01:07 - 00:01:08] 1.你的医院校党词
[00:01:08 - 00:01:09] 2.你的医域成绩
[00:01:09 - 00:01:10] 好吧
