BV号：BV1sV4y1q7Ce
标题：BV1sV4y1q7Ce
链接：https://www.bilibili.com/video/BV1sV4y1q7Ce
识别语言：zh
语言置信度：1
分段数：22
生成时间：2026-04-03 14:13:08

[00:00:00 - 00:00:03] 你没发现这个包子让你蒸完以后再炸了一下
[00:00:03 - 00:00:04] 给烤梳子了嘛
[00:00:04 - 00:00:11] 梳子好了好吃你尝尝
[00:00:11 - 00:00:12] 哎
[00:00:12 - 00:00:13] 不是哎
[00:00:13 - 00:00:15] 哎你们什么时候听我吃包子
[00:00:15 - 00:00:17] 是这个声音
[00:00:17 - 00:00:18] 哈哈哈哈
[00:00:18 - 00:00:19] 哎
[00:00:23 - 00:00:24] 哎
[00:00:26 - 00:00:27] 我跟你说你们再不好好的
[00:00:27 - 00:00:28] 我
[00:00:28 - 00:00:29] 我这不见听东西
[00:00:29 - 00:00:31] 你信不信我拿包子砸你
[00:00:31 - 00:00:35] 哈哈哈
[00:00:39 - 00:00:40] 你以为我搞笑就算了
[00:00:40 - 00:00:42] 你们跟着我一起搞笑是吧
[00:00:43 - 00:00:45] 那一会盘子让我砸碎了
[00:00:48 - 00:00:49] 哎我这这
[00:00:49 - 00:00:50] 不是你压口那么好吗
[00:00:50 - 00:00:52] 这直到的是饱子
[00:00:52 - 00:00:54] 不知道以为我才能剪了个石头在这块
