BV号：BV18M411b7hf
标题：BV18M411b7hf
链接：https://www.bilibili.com/video/BV18M411b7hf
识别语言：zh
语言置信度：1
分段数：29
生成时间：2026-04-03 16:30:55

[00:00:00 - 00:00:02] 学历高 上学上的好
[00:00:02 - 00:00:04] 永远都是有出路
[00:00:04 - 00:00:05] 我就问你一个问题
[00:00:05 - 00:00:07] 当年你们各位家长
[00:00:07 - 00:00:08] 你们在上学的时候
[00:00:08 - 00:00:10] 你们班学习好的那个人
[00:00:10 - 00:00:11] 他现在混的差吗
[00:00:11 - 00:00:13] 当年人家考大学
[00:00:13 - 00:00:14] 人家能找到什么样的工作
[00:00:14 - 00:00:16] 人家是什么样子
[00:00:16 - 00:00:16] 对吧
[00:00:16 - 00:00:17] 说句不好听
[00:00:17 - 00:00:19] 很多家长当年上学的时候
[00:00:19 - 00:00:20] 你跟你儿子一样
[00:00:20 - 00:00:20] 天天玩
[00:00:20 - 00:00:22] 天天遮纳遮纳的
[00:00:22 - 00:00:22] 对吧
[00:00:22 - 00:00:23] 对
[00:00:23 - 00:00:24] 我是不能以偏概权
[00:00:24 - 00:00:26] 但什么就偏
[00:00:26 - 00:00:28] 学习好的人混的差
[00:00:28 - 00:00:28] 这是偏
[00:00:28 - 00:00:31] 學習好的人混的好這是偏嗎
[00:00:31 - 00:00:32] 什麼叫以偏蓋權
[00:00:32 - 00:00:34] 說學習不好的將來
[00:00:34 - 00:00:35] 混的會比學習好的人強
[00:00:35 - 00:00:37] 這叫以偏蓋權
[00:00:37 - 00:00:39] 學習好的人人也將來錄更歡
[00:00:39 - 00:00:41] 選的更多這叫偏嗎
