BV号：BV1kwQBY2EKn
标题：BV1kwQBY2EKn
链接：https://www.bilibili.com/video/BV1kwQBY2EKn
识别语言：zh
语言置信度：1
分段数：37
生成时间：2026-04-03 05:37:28

[00:00:00 - 00:00:02] 我是山东的考生女孩
[00:00:02 - 00:00:04] 文科的正史帝
[00:00:04 - 00:00:07] 然后孩子就特别喜欢学英语
[00:00:07 - 00:00:10] 但是我觉得学这个语言专业
[00:00:10 - 00:00:12] 我们就业形式不太好
[00:00:12 - 00:00:16] 所以就是想选择一个跟英语有关的专业
[00:00:16 - 00:00:16] 多少分
[00:00:16 - 00:00:19] 这次一模考试考了606
[00:00:19 - 00:00:21] 然后在烟台排30多名
[00:00:21 - 00:00:22] 家长我跟你说
[00:00:22 - 00:00:27] 现在很多酒吧舞学校都开了一个什么东西
[00:00:27 - 00:00:29] 就是外语家
[00:00:29 - 00:00:32] 我们现在所有的学校都在开设这样的一个东西
[00:00:32 - 00:00:36] 叫做新工科 新铃科 新医科和新本科
[00:00:36 - 00:00:37] 给你举个例子来加上
[00:00:37 - 00:00:38] 比如说你像南开
[00:00:38 - 00:00:40] 南开的话它就开了这样的一个外语家
[00:00:40 - 00:00:42] 外语家的话你可以加社会认文
[00:00:42 - 00:00:44] 然后的话现在有的学校可以加理工
[00:00:44 - 00:00:47] 所以说的话你要看一个什么样的学校
[00:00:47 - 00:00:48] 就是一定要看一下这个学校
[00:00:48 - 00:00:52] 它有在培养方案当中会不会设置这样的外语家
[00:00:52 - 00:00:54] 这样的一个不可培养人才的模式
[00:00:54 - 00:00:56] 所以说你就选这样的学校去就可以
[00:00:56 - 00:00:58] 然后的话 但是家长是这样子
[00:00:58 - 00:01:00] 你得让孩子自己认可这个事情
[00:01:00 - 00:01:01] 你要明确告诉他
[00:01:01 - 00:01:03] 语言这个东西它是一副工具
[00:01:03 - 00:01:04] 家长我相信咱们家孩子
[00:01:04 - 00:01:05] 是有这个思维意识的
[00:01:05 - 00:01:07] 因为它高分段
[00:01:07 - 00:01:08] 所以说的话就是
[00:01:08 - 00:01:09] 你要告诉他
[00:01:09 - 00:01:11] 你一定要是外语家
[00:01:11 - 00:01:14] 尽量外语家自然科学学科
[00:01:14 - 00:01:15] 你会很有发展
[00:01:15 - 00:01:17] 你会很有潜力家长
